Time, X, Y, Z
0.006652832,-0.03006392,1.003076,-0.1385193
0.007568359,-0.0300565,1.003094,-0.1385343
0.01776123,-0.03010716,1.003225,-0.1386614
0.02758789,-0.03002683,1.003415,-0.1387765
0.02886963,-0.03001961,1.00344,-0.1387954
0.04003906,-0.02993945,1.00351,-0.1388764
0.04760742,-0.02994601,1.003547,-0.1389285
0.05133057,-0.02994454,1.003575,-0.1389664
0.06512451,-0.02996309,1.003461,-0.1390446
0.06756592,-0.02997965,1.003429,-0.1390676
0.07336426,-0.03002704,1.003341,-0.1391317
0.08447266,-0.03009002,1.003227,-0.1391658
0.08758545,-0.03008789,1.003168,-0.1391411
0.09558105,-0.0300901,1.003028,-0.1391599
0.1065063,-0.03018622,1.002943,-0.1390856
0.107605,-0.0302119,1.002935,-0.1390708
0.1176147,-0.03043849,1.00287,-0.1389127
0.1276245,-0.03053594,1.002892,-0.1387167
0.1287842,-0.0305453,1.00289,-0.138696
0.1400146,-0.03061978,1.00283,-0.1386101
0.147583,-0.03065036,1.002874,-0.1385283
0.151062,-0.03066669,1.002891,-0.1384891
0.1621704,-0.03066618,1.002933,-0.1385801
0.1676025,-0.03073758,1.002942,-0.1386005
0.1732178,-0.03081533,1.002941,-0.138606
0.1843872,-0.03089832,1.002929,-0.1385251
0.1876221,-0.03093573,1.002916,-0.1384817
0.1953735,-0.03102516,1.002932,-0.1383692
0.206665,-0.0310448,1.002863,-0.1382945
0.2075806,-0.03102648,1.002882,-0.1382852
0.2194214,-0.03092485,1.002821,-0.1383474
0.2276001,-0.03086219,1.002739,-0.1383441
0.2288818,-0.03085664,1.00273,-0.1383467
0.2398682,-0.03089022,1.002691,-0.1384277
0.2476196,-0.03082573,1.002659,-0.1385088
0.2509766,-0.03080387,1.002638,-0.138542
0.262146,-0.03076717,1.002666,-0.1386729
0.2675781,-0.03067122,1.002695,-0.1387104
0.2734375,-0.03057669,1.002722,-0.138777
0.2845459,-0.03045857,1.002626,-0.1388793
0.2875977,-0.03048564,1.002628,-0.1388551
0.2955322,-0.03054176,1.002623,-0.1388158
0.3067627,-0.03052485,1.002685,-0.1390124
0.3076172,-0.03052412,1.002695,-0.1390485
0.317749,-0.03045546,1.002717,-0.1393225
0.3275757,-0.03038761,1.002737,-0.1396709
0.3288574,-0.03037832,1.002742,-0.1397118
0.3400269,-0.0303334,1.002826,-0.1400798
0.3475952,-0.03032314,1.003,-0.1403296
0.3512573,-0.0303064,1.003077,-0.1404848
0.3624268,-0.03041652,1.00323,-0.1409385
0.3676147,-0.03043797,1.003207,-0.1412111
0.3756714,-0.03048408,1.003195,-0.1416667
0.3842773,-0.03054,1.003296,-0.1420827
0.3875732,-0.03058083,1.003373,-0.1422971
0.3954468,-0.03065979,1.003503,-0.1428367
0.4066162,-0.03073237,1.003415,-0.1432932
0.4075928,-0.03071401,1.003447,-0.1433199
0.4177856,-0.0306805,1.00324,-0.1438411
0.4276123,-0.03079206,1.003172,-0.1443141
0.4289551,-0.03079914,1.003156,-0.1443868
0.4401245,-0.03078542,1.003245,-0.1449411
0.4475708,-0.03082738,1.003227,-0.1452348
0.4514771,-0.03086387,1.0032,-0.1454517
0.4624634,-0.03108004,1.003006,-0.1455787
0.4675903,-0.03109008,1.00274,-0.1458019
0.4742432,-0.03114753,1.002409,-0.1460868
0.4849243,-0.03110949,1.002204,-0.1467357
0.4876099,-0.03109599,1.002056,-0.1469879
0.4959717,-0.03106719,1.001691,-0.147632
0.5073242,-0.03113318,1.001137,-0.1485431
0.5075684,-0.03107059,1.001095,-0.148587
0.5183716,-0.03076647,1.000338,-0.1496776
0.5275879,-0.03043801,0.9996141,-0.150466
0.5318604,-0.03029436,0.9992239,-0.1507554
0.5404053,-0.03006511,0.9985648,-0.1512624
0.5476074,-0.02995976,0.9975957,-0.1521034
0.5518799,-0.02985676,0.9969577,-0.1526673
0.5626221,-0.02974603,0.9951355,-0.1537347
0.5675659,-0.02971309,0.9942122,-0.1539916
0.5737915,-0.02969108,0.9926896,-0.1545731
0.5848999,-0.02969056,0.9901183,-0.1552457
0.5875854,-0.0297475,0.9892377,-0.1555222
0.5959473,-0.02980628,0.9865525,-0.1564304
0.6069946,-0.03006382,0.9843515,-0.1574165
0.607605,-0.03010786,0.98422,-0.1575087
0.6183472,-0.03067923,0.9815069,-0.1588291
0.6276245,-0.03069231,0.9794146,-0.1594654
0.6295776,-0.03072884,0.9789557,-0.159632
0.6404419,-0.03123642,0.9764695,-0.1602776
0.647583,-0.03169727,0.9745817,-0.1606782
0.6514893,-0.03200076,0.9732921,-0.1609765
0.6625977,-0.03272996,0.9710032,-0.1615159
0.6676025,-0.03294603,0.9697642,-0.1618191
0.6737061,-0.03328796,0.9680594,-0.1622198
0.6871948,-0.03405386,0.9652846,-0.1626177
0.6876221,-0.03416279,0.9650883,-0.1626074
0.6958618,-0.03482534,0.9628859,-0.1628712
0.7070313,-0.03571587,0.9607679,-0.1632717
0.7075806,-0.03572331,0.9607646,-0.1632624
0.7182617,-0.03640459,0.9591907,-0.1633881
0.7276001,-0.03701361,0.9578092,-0.1632736
0.7294312,-0.03713859,0.9575391,-0.1632609
0.7404175,-0.03741797,0.9561507,-0.1632044
0.7476196,-0.03747092,0.9550565,-0.1631044
0.7515259,-0.03754026,0.9543324,-0.1630458
0.7626953,-0.03800696,0.9527433,-0.1629258
0.7675781,-0.03821415,0.9522141,-0.1627842
0.7740479,-0.03851774,0.9513378,-0.1625938
0.7848511,-0.03912308,0.9506445,-0.1623755
0.7875977,-0.03929915,0.9505428,-0.1623276
0.7960205,-0.03989302,0.9500937,-0.1621159
0.8070679,-0.04018622,0.9495196,-0.1621746
0.8076172,-0.04020149,0.9494746,-0.1621864
0.8182983,-0.04061231,0.9487434,-0.1622859
0.8275757,-0.04085111,0.9481598,-0.1624033
0.8293457,-0.04089951,0.9480494,-0.1624247
0.8430176,-0.04106653,0.947165,-0.1622558
0.8475952,-0.04109395,0.9471376,-0.1620571
0.8513794,-0.04116818,0.9469591,-0.1618906
0.8625488,-0.0411371,0.9469972,-0.1613628
0.8676147,-0.0411345,0.9470217,-0.1611337
