Time, X, Y, Z
27.146,-0.153246,0.86,0.1468155
27.146,-0.2180499,0.86,0.1892026
36.43994,-0.1533552,0.86,0.1474893
38.64001,-0.1942589,0.86,0.1642702
40.81995,-0.1503508,0.86,0.1678158
42.79993,-0.2021625,0.86,0.1602038
45.47998,-0.1639975,0.86,0.1556291
47.76001,-0.2084758,0.86,0.1917941
49.64001,-0.1624712,0.86,0.155784
56.71997,-0.1543203,0.86,0.2097471
65.64001,-0.2223889,0.86,0.1953267
70.31995,-0.193642,0.86,0.1584858
77.02002,-0.2077713,0.86,0.2070532
80.31995,-0.1780346,0.86,0.163305
85.95996,-0.2056147,0.86,0.205843
89.59998,-0.155203,0.86,0.1444354
92.07996,-0.2016786,0.86,0.1397153
115.34,-0.1691375,0.86,0.1885593
117.62,-0.2004916,0.86,0.142605
120.38,-0.1836247,0.86,0.1848347
122.28,-0.2147187,0.86,0.151847
124.7,-0.1676547,0.86,0.187077
126.88,-0.1632312,0.86,0.1439773
132.08,-0.1855685,0.86,0.1963581
134.88,-0.2149983,0.86,0.1573487
137.02,-0.2229643,0.86,0.2005989
138.98,-0.1578581,0.86,0.2054465
141.2,-0.1956709,0.86,0.1877987
143.3199,-0.1626977,0.86,0.2013951
145.4,-0.220831,0.86,0.1368158
147.5,-0.1587425,0.86,0.1725012
149.6,-0.2102033,0.86,0.135713
173.96,-0.1573851,0.86,0.1375381
177.08,-0.1778334,0.86,0.1690226
187.2,-0.2230399,0.86,0.15119
189.24,-0.1615459,0.86,0.1767583
190.98,-0.1994946,0.86,0.177169
193.02,-0.1643214,0.86,0.18589
197.7999,-0.208977,0.86,0.1924192
200.4399,-0.156185,0.86,0.1782148
202.98,-0.2016079,0.86,0.1823512
206.28,-0.1687588,0.86,0.2054282
208.38,-0.1543706,0.86,0.1381694
213.4,-0.174593,0.86,0.1698755
216.26,-0.1505924,0.86,0.2024747
219.62,-0.2246471,0.86,0.1798241
222.36,-0.176936,0.86,0.185625
245.4399,-0.1964713,0.86,0.1437885
247.34,-0.154,0.86,0.1779015
249.5599,-0.212105,0.86,0.1381763
251.4199,-0.1818852,0.86,0.159972
253.62,-0.2199338,0.86,0.1900238
256.7,-0.1685184,0.86,0.1794498
258.7999,-0.1639962,0.86,0.1411448
264.5,-0.2196165,0.86,0.1362031
267.74,-0.1515662,0.86,0.1710434
299.26,-0.1794609,0.86,0.1993746
300.8199,-0.2203556,0.86,0.1551894
307.84,-0.1850003,0.86,0.1391974
309.9199,-0.1959099,0.86,0.1846492
311.64,-0.1607404,0.86,0.2091486
313.28,-0.213858,0.86,0.1838786
