Time, X, Y, Z
0,-0.1544727,1.043191,-0.01487848
0.009643555,-0.1543109,1.043121,-0.0149771
0.02001953,-0.1542416,1.043132,-0.01494217
0.02062988,-0.1540493,1.043222,-0.01488698
0.03613281,-0.1539471,1.043259,-0.01490146
0.03991699,-0.1538823,1.043289,-0.01490968
0.04333496,-0.1538124,1.04333,-0.01491982
0.05249023,-0.1536639,1.043354,-0.01495486
0.05993652,-0.1534857,1.043358,-0.01506093
0.06469727,-0.1533407,1.043365,-0.01513886
0.07458496,-0.1530994,1.043306,-0.01526245
0.07995605,-0.1529882,1.043279,-0.01534462
0.08581543,-0.1528128,1.043236,-0.01545551
0.0970459,-0.1524779,1.04337,-0.01555544
0.09997559,-0.1523804,1.043395,-0.01555228
0.1080322,-0.1521553,1.043464,-0.0154883
0.1190186,-0.1519044,1.043522,-0.0154416
0.1199951,-0.1518907,1.043533,-0.01543126
0.130249,-0.1517578,1.04368,-0.01527619
0.1400146,-0.1516908,1.04365,-0.01513025
0.1412354,-0.151672,1.043643,-0.01511478
0.1523438,-0.1515265,1.043471,-0.01507655
0.1600342,-0.1513679,1.043204,-0.01504964
0.1634521,-0.1512864,1.043064,-0.01502886
0.1748047,-0.1513996,1.043002,-0.01477471
0.1799316,-0.1513574,1.042971,-0.01470274
0.185791,-0.1513126,1.042936,-0.01460645
0.1967773,-0.1514012,1.042998,-0.01446003
0.1999512,-0.15145,1.043027,-0.01436469
0.2081299,-0.1516049,1.043108,-0.01408142
0.2199707,-0.1517471,1.043079,-0.01393545
0.2225342,-0.1517443,1.043068,-0.01390579
0.2299805,-0.1517556,1.043065,-0.01390287
0.2399902,-0.1518312,1.043047,-0.0138278
0.2414551,-0.1518521,1.043045,-0.01380816
0.2523193,-0.1518888,1.043079,-0.01379138
0.2600098,-0.1519321,1.043075,-0.01377305
0.2634277,-0.1519525,1.043081,-0.01376641
0.2746582,-0.1519736,1.043135,-0.01381549
0.2800293,-0.1519738,1.043177,-0.01388103
0.2857666,-0.1519743,1.043226,-0.01395947
0.2969971,-0.1519618,1.043197,-0.0140785
0.2999268,-0.1519625,1.043202,-0.01409465
0.3079834,-0.1519626,1.043208,-0.01414976
0.3189697,-0.1519904,1.043254,-0.01424873
0.3199463,-0.1519875,1.043262,-0.01425642
0.3302002,-0.1519267,1.04336,-0.01436061
0.3399658,-0.1518527,1.043479,-0.01438358
0.3413086,-0.1518409,1.04349,-0.01439008
0.352417,-0.1518455,1.043499,-0.01448557
0.3599854,-0.1518858,1.043488,-0.01457965
0.3637695,-0.1519095,1.043483,-0.01463801
0.3778076,-0.1519905,1.043601,-0.0147593
0.3800049,-0.1519896,1.04367,-0.01475224
0.385376,-0.1520181,1.043777,-0.01477775
0.3968506,-0.1519726,1.043859,-0.01483619
0.4000244,-0.1519484,1.043862,-0.01485693
0.4082031,-0.1518732,1.043858,-0.01491687
0.4195557,-0.1517911,1.043669,-0.01505694
0.4199219,-0.151789,1.043664,-0.01506189
0.4307861,-0.1518115,1.043487,-0.0151014
0.4399414,-0.1517918,1.043428,-0.01511216
0.4418945,-0.1517845,1.043409,-0.01511478
0.4530029,-0.1516494,1.043371,-0.01514944
0.4599609,-0.1514982,1.043361,-0.01511407
0.4639893,-0.1513869,1.043355,-0.01508832
0.4752197,-0.1512424,1.043373,-0.01504242
0.4799805,-0.1512292,1.043374,-0.01499584
0.4862061,-0.1512112,1.043374,-0.01492122
0.4973145,-0.1511695,1.043277,-0.01482263
0.5,-0.1511834,1.043242,-0.01479882
0.5085449,-0.1512545,1.043125,-0.01471648
0.5197754,-0.151242,1.042913,-0.0146693
0.5200195,-0.1512512,1.042911,-0.01466003
0.5318604,-0.1517285,1.042814,-0.01424071
0.539917,-0.1518098,1.042841,-0.01406083
0.5418701,-0.1518245,1.042833,-0.01402858
0.5529785,-0.1518914,1.042659,-0.01390412
0.5599365,-0.1518853,1.042654,-0.01383308
0.5639648,-0.1518796,1.042658,-0.01378447
0.5751953,-0.1519411,1.042559,-0.01366568
0.5799561,-0.1519131,1.042516,-0.01364684
0.5863037,-0.1518738,1.042448,-0.01362622
0.59729,-0.1519081,1.042376,-0.01365522
0.5999756,-0.1519422,1.042355,-0.01363739
0.6086426,-0.1520818,1.042282,-0.01356637
0.6196289,-0.1521262,1.042186,-0.0136553
0.6199951,-0.1521282,1.042182,-0.01365879
0.6308594,-0.1522702,1.04219,-0.01379168
0.6400146,-0.1522736,1.042162,-0.0138872
0.6419678,-0.1522798,1.042151,-0.01390848
0.6529541,-0.1522961,1.04197,-0.01416305
0.6600342,-0.1522822,1.041914,-0.01438752
0.6641846,-0.1522742,1.041891,-0.01454484
0.6751709,-0.1522743,1.041865,-0.01473245
0.6799316,-0.1522738,1.041794,-0.0148986
0.6876221,-0.152256,1.041641,-0.01524577
0.6971436,-0.1521234,1.041654,-0.01547375
0.6999512,-0.1520986,1.041636,-0.01554555
0.7084961,-0.1520715,1.041586,-0.01571186
0.7196045,-0.1520529,1.041524,-0.01598407
0.7199707,-0.152052,1.041522,-0.01599412
0.7307129,-0.1519098,1.041512,-0.01619539
0.7399902,-0.1518292,1.041707,-0.01615971
0.7419434,-0.151795,1.041733,-0.01615229
0.7529297,-0.1519396,1.041455,-0.0162953
0.7600098,-0.1520371,1.041077,-0.01623504
0.7641602,-0.1521376,1.040803,-0.01617396
0.7755127,-0.1520618,1.040084,-0.01611435
0.7800293,-0.1520541,1.039665,-0.01624915
0.7868652,-0.15206,1.038954,-0.01652005
0.7982178,-0.1523015,1.03826,-0.01679219
0.7999268,-0.1523072,1.038218,-0.01681033
0.8096924,-0.152131,1.038351,-0.01690938
0.8199463,-0.1520349,1.038212,-0.01676118
0.8205566,-0.1520248,1.03821,-0.01675186
0.8322754,-0.1520263,1.038355,-0.0168574
0.8399658,-0.1519809,1.038304,-0.01697589
0.8453369,-0.1519322,1.038164,-0.01709364
0.8543701,-0.151764,1.038134,-0.01718734
0.8599854,-0.1515772,1.038034,-0.01726213
0.8651123,-0.1513485,1.037968,-0.0173102
0.8762207,-0.1512416,1.038486,-0.01720168
0.8800049,-0.151272,1.038224,-0.01735187
0.8875732,-0.1514235,1.036765,-0.0180257
0.8981934,-0.1517654,1.035591,-0.01886529
0.9000244,-0.1518045,1.035456,-0.01897
0.9095459,-0.1517598,1.0354,-0.01901139
0.9199219,-0.1517252,1.03516,-0.01872814
0.9206543,-0.1517286,1.035155,-0.01870121
0.9318848,-0.151659,1.034934,-0.01868039
0.9399414,-0.1512691,1.035063,-0.01861158
0.9428711,-0.1510772,1.03515,-0.01856953
0.9539795,-0.1507468,1.035764,-0.01750685
0.9599609,-0.1503597,1.03587,-0.01727903
0.96521,-0.1498942,1.035928,-0.01718234
0.9760742,-0.149261,1.03561,-0.01759315
0.9799805,-0.1491506,1.035346,-0.01763591
0.9875488,-0.1490199,1.03464,-0.01759484
1,-0.1489946,1.033407,-0.01707618
1.000977,-0.1489923,1.033334,-0.01704788
1.009521,-0.1490039,1.033208,-0.01644443
1.02002,-0.1489062,1.033485,-0.01587047
1.020386,-0.1488843,1.033552,-0.01579802
1.031006,-0.1484245,1.034288,-0.01522489
1.039917,-0.1480183,1.034372,-0.01502508
1.042358,-0.1478649,1.034289,-0.01499926
1.053345,-0.1475927,1.034436,-0.01467425
1.059937,-0.1474179,1.034713,-0.01450816
1.064331,-0.1472869,1.035027,-0.01439252
1.075684,-0.1469254,1.034826,-0.01444244
1.079956,-0.1467803,1.034671,-0.01441191
1.086792,-0.1465849,1.034406,-0.01421353
1.097656,-0.1464865,1.034066,-0.01435298
1.099976,-0.1464778,1.034008,-0.01439981
1.108765,-0.1463212,1.033756,-0.01486617
1.119995,-0.1460072,1.033577,-0.01528832
1.119995,-0.1460072,1.033577,-0.01528832
1.130981,-0.1455194,1.033352,-0.01535943
1.140015,-0.1449189,1.032875,-0.01522
1.142212,-0.1447924,1.032772,-0.01517798
1.15564,-0.1442902,1.032136,-0.01490591
1.160034,-0.1441846,1.032082,-0.01478404
1.164185,-0.1440696,1.032029,-0.01464389
1.175293,-0.1438885,1.031913,-0.01421714
1.179932,-0.1438191,1.031889,-0.01409277
1.18689,-0.1436072,1.03176,-0.01410522
1.197632,-0.1433856,1.031166,-0.01410121
1.199951,-0.1433242,1.031078,-0.01407984
1.208984,-0.1429102,1.0308,-0.01428972
1.219971,-0.142634,1.030258,-0.01439437
1.220093,-0.1426321,1.030256,-0.014394
1.231201,-0.1424946,1.029714,-0.01441544
1.23999,-0.1424334,1.02939,-0.01424591
1.242432,-0.1423936,1.029305,-0.01412462
1.253174,-0.1421042,1.029294,-0.01366359
1.26001,-0.1418878,1.029237,-0.01340759
1.264282,-0.1417416,1.02916,-0.0132709
1.275391,-0.1415769,1.029136,-0.01300605
1.280029,-0.1414966,1.029064,-0.01293029
1.286743,-0.1413979,1.028886,-0.01285933
1.297974,-0.1411048,1.028669,-0.01280831
1.299927,-0.1410444,1.028645,-0.01279049
1.310791,-0.1406782,1.028605,-0.01280272
1.319702,-0.140449,1.028516,-0.0127866
1.319946,-0.1404417,1.028513,-0.01278602
1.330811,-0.1399438,1.028429,-0.01285437
1.339966,-0.1396326,1.02836,-0.01317336
1.341919,-0.1395765,1.028344,-0.01325698
1.353027,-0.1392458,1.028196,-0.01358183
1.359985,-0.1390758,1.028166,-0.01379912
1.36438,-0.1389611,1.028157,-0.0139766
1.375488,-0.1387588,1.028003,-0.01436089
1.380005,-0.1386568,1.027915,-0.01454301
1.386841,-0.1384562,1.02774,-0.01485987
1.398193,-0.13805,1.02748,-0.01538219
1.400024,-0.1379712,1.027443,-0.01547648
1.40918,-0.1377549,1.027071,-0.01597652
1.419922,-0.1373881,1.026827,-0.01627266
1.42041,-0.1373729,1.026821,-0.01627785
1.431396,-0.1368599,1.02659,-0.01647095
1.439941,-0.136511,1.026212,-0.01682948
1.442505,-0.1363809,1.026005,-0.01703008
1.453735,-0.1356917,1.025771,-0.01778567
1.459961,-0.1352706,1.025731,-0.01824878
1.466675,-0.134711,1.025751,-0.01878504
1.476196,-0.1338349,1.025677,-0.01925811
1.47998,-0.1334642,1.025579,-0.01952064
1.487183,-0.1331494,1.025133,-0.02035864
1.498291,-0.1324579,1.024738,-0.02073465
1.5,-0.1323252,1.024673,-0.02076726
1.509277,-0.1311755,1.024427,-0.02091935
1.52002,-0.130305,1.024383,-0.02157135
1.520508,-0.1302565,1.024378,-0.02161959
1.531494,-0.1294785,1.024285,-0.02249657
1.539917,-0.1288669,1.024374,-0.0233589
1.542847,-0.1285767,1.024475,-0.02376354
1.553833,-0.1280594,1.024838,-0.02453211
1.559937,-0.1278462,1.025066,-0.0249019
1.565063,-0.1277264,1.025301,-0.02523124
1.57605,-0.1277271,1.025822,-0.02581051
1.579956,-0.1277389,1.026008,-0.02604795
1.58728,-0.1275383,1.026149,-0.02640143
1.598389,-0.1273804,1.026304,-0.02693126
1.599976,-0.127359,1.026327,-0.02701461
1.609497,-0.1272702,1.026259,-0.02728076
1.619995,-0.1272966,1.02599,-0.0273499
1.623047,-0.1273009,1.025929,-0.02732886
1.63147,-0.1272675,1.025726,-0.02719279
1.640015,-0.1271659,1.025536,-0.02710184
1.642334,-0.1271142,1.025465,-0.02708282
1.653564,-0.1269758,1.025302,-0.02712718
1.660034,-0.1268471,1.025193,-0.02721918
1.664551,-0.1267416,1.025082,-0.02728745
1.675537,-0.1268213,1.02497,-0.02717456
1.679932,-0.1268556,1.024885,-0.02714738
1.686646,-0.1267527,1.024973,-0.02734147
1.697632,-0.1266157,1.025146,-0.02767593
1.699951,-0.1265903,1.025208,-0.02775316
1.708618,-0.1264335,1.025405,-0.02802569
1.719849,-0.1260909,1.025536,-0.02829707
1.719971,-0.1260859,1.025537,-0.02830011
1.730957,-0.1255702,1.025798,-0.02883615
1.73999,-0.1250726,1.02601,-0.02949096
1.742065,-0.1249441,1.026046,-0.02965321
1.753418,-0.1242891,1.026287,-0.03052735
1.76001,-0.1238659,1.026446,-0.03108968
1.764526,-0.1234839,1.026569,-0.03151827
1.780029,-0.1223058,1.026901,-0.03242743
1.78125,-0.1222131,1.026926,-0.03249438
1.786255,-0.1219092,1.027009,-0.03271374
1.794434,-0.1215011,1.027017,-0.032681
1.799927,-0.1213543,1.027048,-0.03269072
1.805786,-0.1210871,1.027118,-0.03276004
1.816895,-0.1205898,1.02701,-0.03303331
1.819946,-0.1205976,1.026928,-0.03311892
1.827881,-0.1203613,1.026794,-0.0333807
1.838989,-0.1200751,1.026865,-0.03383151
1.839966,-0.1200595,1.026826,-0.03375299
1.850342,-0.119738,1.026733,-0.03385741
1.859985,-0.119586,1.026675,-0.03383906
1.861328,-0.1195708,1.026664,-0.03383449
1.872314,-0.1193173,1.026544,-0.03392667
1.880005,-0.118864,1.026326,-0.03425229
1.883423,-0.1186407,1.026217,-0.03439836
1.894531,-0.1182529,1.025591,-0.03467295
1.900024,-0.1181633,1.025226,-0.03472181
1.905762,-0.1179941,1.024814,-0.03483908
1.916748,-0.1178327,1.024545,-0.03520052
1.919922,-0.1178252,1.024444,-0.035235
1.928833,-0.1177041,1.024109,-0.03542212
1.938843,-0.1175556,1.023799,-0.03536542
1.939941,-0.1174268,1.02374,-0.03539313
1.950195,-0.1169454,1.023353,-0.03549378
1.959961,-0.1164444,1.022798,-0.03543566
1.961182,-0.1163871,1.022738,-0.03542967
1.972168,-0.1157168,1.022242,-0.03560452
1.97998,-0.1152373,1.021925,-0.03576538
1.983521,-0.1149573,1.021734,-0.03584917
1.994629,-0.1144197,1.021308,-0.03593932
2,-0.1143094,1.021064,-0.03599265
2.005859,-0.1140819,1.020766,-0.0360741
2.016846,-0.1138279,1.020593,-0.03626606
2.02002,-0.1137094,1.020545,-0.0363345
2.027832,-0.1134148,1.020372,-0.03648387
2.038818,-0.1130963,1.020021,-0.0363576
2.039917,-0.113022,1.019984,-0.03642039
2.050049,-0.1125405,1.019628,-0.03658691
2.059937,-0.1121796,1.01926,-0.03676848
2.061035,-0.1121432,1.019227,-0.03678583
