Time, X, Y, Z
0,0.120777,1.056402,-0.008545369
0.009643555,0.1209366,1.056147,-0.008635968
0.02001953,0.1209359,1.056086,-0.008594632
0.02062988,0.1208955,1.056069,-0.008589864
0.03613281,0.1208459,1.056072,-0.008619696
0.03991699,0.1208076,1.05608,-0.008638442
0.04333496,0.120762,1.056092,-0.008655459
0.05249023,0.1206196,1.056194,-0.008748651
0.05993652,0.1205408,1.056274,-0.008756638
0.06469727,0.1204814,1.056341,-0.00876227
0.07458496,0.1204094,1.056387,-0.008745819
0.07995605,0.1203376,1.056526,-0.008799136
0.08581543,0.1202842,1.056697,-0.008868188
0.0970459,0.1202969,1.056746,-0.008871287
0.09997559,0.1202708,1.056741,-0.008843541
0.1080322,0.1201162,1.056713,-0.008694947
0.1190186,0.1201184,1.056723,-0.008628547
0.1199951,0.1201131,1.05673,-0.008618712
0.130249,0.1200279,1.056816,-0.008480161
0.1400146,0.1200275,1.056847,-0.008391082
0.1412354,0.1200353,1.056848,-0.008387774
0.1523438,0.12012,1.056824,-0.008403391
0.1600342,0.1202474,1.05665,-0.008496612
0.1634521,0.1203115,1.056561,-0.008540064
0.1748047,0.1201806,1.056669,-0.008649886
0.1799316,0.120274,1.056556,-0.008758813
0.185791,0.1203823,1.056424,-0.008897752
0.1967773,0.1204114,1.056485,-0.008987814
0.1999512,0.1203996,1.056514,-0.009005725
0.2081299,0.1203505,1.056593,-0.009055078
0.2199707,0.1202759,1.05661,-0.009131968
0.2225342,0.1202949,1.056604,-0.009162545
0.2299805,0.1203591,1.056626,-0.00920105
0.2399902,0.1203652,1.056596,-0.00929445
0.2414551,0.1203638,1.056592,-0.009316415
0.2523193,0.1203392,1.056652,-0.009317338
0.2600098,0.1202519,1.056841,-0.009324878
0.2634277,0.1202042,1.056961,-0.009326965
0.2746582,0.1202143,1.056954,-0.009362847
0.2800293,0.1202375,1.056959,-0.009367764
0.2857666,0.1202656,1.056966,-0.00937283
0.2969971,0.1202087,1.057095,-0.009399593
0.2999268,0.1202063,1.057091,-0.009379476
0.3079834,0.1202065,1.057052,-0.00931555
0.3189697,0.1202065,1.056916,-0.00927645
0.3199463,0.1202113,1.056909,-0.009272605
0.3302002,0.1202707,1.056847,-0.009236038
0.3399658,0.1203579,1.056918,-0.009153962
0.3413086,0.1203716,1.05692,-0.009147614
0.352417,0.1204689,1.056912,-0.009083003
0.3599854,0.1205057,1.056859,-0.009107709
0.3637695,0.1205293,1.056828,-0.00912866
0.3778076,0.1206342,1.056757,-0.009188026
0.3800049,0.1205798,1.056873,-0.009207636
0.385376,0.1205282,1.057001,-0.009247452
0.3968506,0.1205561,1.056951,-0.009252578
0.4000244,0.1205722,1.05694,-0.009246916
0.4082031,0.1206231,1.056912,-0.009227395
0.4195557,0.1206422,1.056785,-0.009238988
0.4199219,0.1206421,1.056781,-0.009238243
0.4307861,0.1206167,1.056679,-0.009221405
0.4399414,0.1205831,1.056569,-0.009209871
0.4418945,0.1205791,1.056545,-0.009206444
0.4530029,0.1205892,1.056489,-0.009194404
0.4599609,0.1206188,1.05645,-0.009107143
0.4639893,0.1206398,1.056421,-0.009044737
0.4752197,0.1205752,1.056597,-0.008963138
0.4799805,0.1205797,1.056607,-0.008946985
0.4862061,0.1205953,1.056614,-0.008925349
0.4973145,0.1206333,1.056631,-0.008966088
0.5,0.1206296,1.056608,-0.008995771
0.5085449,0.1206092,1.056515,-0.009125143
0.5197754,0.1206521,1.056548,-0.009155035
0.5200195,0.1206437,1.056552,-0.009148002
0.5318604,0.1201622,1.0568,-0.008719742
0.539917,0.1201169,1.056948,-0.008640617
0.5418701,0.1201091,1.056967,-0.008626044
0.5529785,0.1200776,1.056965,-0.008579224
0.5599365,0.1200512,1.05708,-0.008604079
0.5639648,0.1200278,1.057172,-0.008624196
0.5751953,0.1200447,1.056988,-0.008692414
0.5799561,0.1201363,1.056868,-0.008740485
0.5863037,0.1202799,1.056683,-0.008806616
0.59729,0.1204017,1.056516,-0.00882867
0.5999756,0.120414,1.056491,-0.00881514
0.6086426,0.1204524,1.056468,-0.008771896
0.6196289,0.1205284,1.056458,-0.008820564
0.6199951,0.1205307,1.056457,-0.008822381
