Time, X, Y, Z
35.32135,-0.2510683,0.9099208,0.1628547
40.50134,-0.2544303,0.8780884,0.1845445
45.88135,-0.2233443,0.8860804,0.1474151
51.58136,-0.2225412,0.8753771,0.256794
62.50134,-0.2301987,0.9056574,0.1618105
70.00134,-0.2341515,0.9339401,0.1836496
74.92133,-0.2134574,0.9034988,0.1536224
78.26135,-0.2196831,0.8888276,0.2168412
89.94135,-0.1110341,0.8805515,-0.03096459
94.32135,-0.1784861,0.9224916,0.1117643
107.9013,-0.2056073,0.9240347,0.1532729
110.8613,-0.1913944,0.9155812,0.1627774
142.2014,-0.2122471,0.8833801,0.1841825
145.6413,-0.2460793,0.8859757,0.1641983
151.4013,-0.2002407,0.9039372,0.1161915
176.5013,-0.222503,0.8972984,0.1757639
205.9614,-0.1737919,0.9368995,0.1709927
209.0213,-0.1255983,0.9239125,0.1298465
213.7014,-0.1769333,0.9006576,0.2003912
216.4213,-0.1423956,0.9124922,0.1646898
219.0084,-0.02156881,0.8859156,0.1221689
225.9213,-0.192237,0.9201705,0.1333308
228.9614,-0.267334,0.8959232,0.1587253
232.7813,-0.2176917,0.9085342,0.2020605
236.7613,-0.1620869,0.8877225,0.1215913
240.9614,-0.2369942,0.9093939,0.203507
245.0814,-0.1872656,0.8912128,0.2006788
247.1213,-0.1777542,0.9091386,0.1303243
253.5413,-0.1893397,0.8801777,0.2002806
256.6413,-0.2326297,0.9067994,0.1930625
259.8013,-0.22895,0.9126486,0.1578389
287.3614,-0.08644754,0.906608,0.08850761
295.9614,-0.1072406,0.9290141,0.09627759
299.2014,-0.1701316,0.9290997,0.1345063
302.0814,-0.06030072,0.8955145,0.04134253
304.4024,-0.05268748,0.9064484,0.07093206
312.0013,-0.1958101,0.9030685,0.1101871
319.0213,-0.1937916,0.9136915,0.1391435
321.6413,-0.1582982,0.8983269,0.1445043
324.9814,-0.1942813,0.9280869,0.07835864
326.9413,-0.09590373,0.9598059,0.1849973
331.1613,-0.1475122,0.950499,0.108212
340.7014,-0.1579083,0.8880523,0.1826195
342.4213,0.0008838476,0.8858748,0.008696366
351.2413,-0.2213125,0.9419311,0.1373683
359.5613,-0.1485352,0.9352332,0.09978531
362.0413,-0.2547778,0.9220557,0.2167495
386.7014,-0.1790869,0.8715731,0.1774715
406.3813,-0.2135638,0.9028757,0.1054614
412.5413,-0.09408458,0.9354842,0.1190323
418.9213,-0.1982326,0.9155152,0.112073
421.3613,-0.1876701,0.8748528,0.1121229
424.2817,-0.2150471,0.8970497,0.1152518
429.5013,-0.2146454,0.8912317,0.1473966
431.7014,-0.222561,0.8942872,0.1401544
435.4213,-0.2080811,0.894846,0.1216789
437.4213,-0.1570619,0.9278703,0.0846244
446.3613,-0.1022066,0.9011491,0.1263555
449.8013,-0.2014374,0.8940095,0.135437
452.3013,-0.1385593,0.9360577,0.09578822
458.2654,0.08975038,1.103997,-0.003118135
462.2813,-0.1025856,0.9189078,0.048074
468.3214,-0.1789674,0.8888361,0.1906592
472.3414,-0.2183656,0.8775358,0.1263213
479.0128,-0.1779404,0.8851553,0.09178489
483.9213,-0.195787,0.8903676,0.1405705
