Time, X, Y, Z
0.001342773,-0.1042903,0.8926896,-0.1869603
0.006469727,-0.10435,0.8925838,-0.1871973
0.0177002,-0.1045819,0.8924956,-0.1873895
0.0213623,-0.1046839,0.8925096,-0.1873946
0.02862549,-0.1049258,0.8927119,-0.1873323
0.03979492,-0.1051924,0.8925908,-0.1874802
0.0413208,-0.1052521,0.8925695,-0.187476
0.05090332,-0.1055059,0.892748,-0.1872638
0.06134033,-0.1053703,0.8926632,-0.1870991
0.06414795,-0.1053258,0.8926164,-0.1870544
0.07287598,-0.1052884,0.8925253,-0.1869265
0.08135986,-0.1051799,0.892313,-0.1867941
0.08410645,-0.1051361,0.8921981,-0.1867304
0.09533691,-0.1051346,0.8920365,-0.186566
0.1013184,-0.105177,0.8919811,-0.1865529
0.1062622,-0.1052616,0.891968,-0.1865836
0.1176147,-0.1052609,0.8919963,-0.1865917
0.1213379,-0.1051715,0.892033,-0.1866392
0.128418,-0.1049356,0.8921313,-0.1868036
0.1396484,-0.1047247,0.8922415,-0.1869466
0.1413574,-0.1046551,0.8922618,-0.1869976
0.1506348,-0.1041861,0.8923621,-0.1872127
0.1613159,-0.1040116,0.8925195,-0.1871706
0.1617432,-0.1040116,0.8925265,-0.1871665
0.1729126,-0.1039452,0.8925405,-0.1871023
0.1813354,-0.1038844,0.8923858,-0.1871268
0.1838989,-0.1038627,0.8923125,-0.1871558
0.1950684,-0.1038208,0.8920242,-0.1873734
0.201355,-0.1037717,0.891856,-0.1875277
0.2060547,-0.1037643,0.8917196,-0.1876428
0.2200317,-0.1041419,0.891626,-0.1877687
0.2213135,-0.1042129,0.8916374,-0.1877684
0.2281494,-0.10477,0.8917603,-0.1876596
0.2387085,-0.105094,0.8919903,-0.1876432
0.241333,-0.1051423,0.8920674,-0.1876463
0.2497559,-0.1053154,0.8921359,-0.1876497
0.2609863,-0.1055257,0.8921387,-0.1874615
0.2613525,-0.105533,0.8921381,-0.1874518
0.2722778,-0.1056476,0.8919939,-0.1874125
0.281311,-0.1057623,0.8918772,-0.1874321
0.2833252,-0.105793,0.8918616,-0.1874266
0.2943726,-0.1058323,0.891775,-0.1873133
