Time, X, Y, Z
0.001342773,0.1285424,0.9189171,-0.06144646
0.006469727,0.1284683,0.918936,-0.06149957
0.0177002,0.1284372,0.9190013,-0.06153607
0.0213623,0.1284178,0.9190341,-0.06149215
0.02862549,0.1283417,0.9190498,-0.0613429
0.03979492,0.1282918,0.9190441,-0.06133386
0.0413208,0.1282674,0.9190463,-0.06130862
0.05090332,0.1280915,0.9190053,-0.06102338
0.06134033,0.1281852,0.9188063,-0.06095448
0.06414795,0.1282167,0.9187294,-0.06095177
0.07287598,0.1281591,0.9185236,-0.06105664
0.08135986,0.128187,0.9183875,-0.06111628
0.08410645,0.1281993,0.9183584,-0.06111789
0.09533691,0.1282901,0.9183327,-0.06103069
0.1013184,0.1283487,0.9182416,-0.06103876
0.1062622,0.1283836,0.9180979,-0.06108823
0.1176147,0.1284818,0.9177957,-0.06111336
0.1213379,0.1285764,0.9177197,-0.06112775
0.128418,0.1287962,0.9175973,-0.06105888
0.1396484,0.1289739,0.9173198,-0.06089795
0.1413574,0.1290333,0.9172785,-0.06089246
0.1506348,0.1293345,0.9169321,-0.06095287
0.1613159,0.1294588,0.9165502,-0.06080443
0.1617432,0.1294592,0.9165361,-0.06079745
0.1729126,0.1294342,0.9162107,-0.06064427
0.1813354,0.1294442,0.9159323,-0.06058115
0.1838989,0.1294635,0.9158368,-0.06057313
0.1950684,0.1295097,0.9155853,-0.0606249
0.201355,0.1296071,0.9154727,-0.06068426
0.2060547,0.1297098,0.9153806,-0.06073523
0.2200317,0.1298062,0.9152205,-0.06074041
0.2213135,0.1297932,0.9152133,-0.06073329
0.2281494,0.1296847,0.9151661,-0.06071562
0.2387085,0.1295618,0.9150953,-0.06072113
0.241333,0.1295221,0.9150798,-0.06071627
0.2497559,0.1293572,0.9150872,-0.06060553
0.2609863,0.129049,0.9152114,-0.06026462
0.2613525,0.1290363,0.9152174,-0.06024918
0.2722778,0.1286994,0.9153458,-0.05990353
0.281311,0.1284501,0.9154475,-0.05972919
0.2833252,0.1283908,0.9154796,-0.05968198
0.2943726,0.1282309,0.9156429,-0.05947348
0.3013306,0.1282177,0.9157431,-0.05940071
0.3056641,0.1282284,0.9157934,-0.05936226
0.3166504,0.1283391,0.9159188,-0.05924913
0.3213501,0.1283985,0.916023,-0.05909142
0.3278809,0.128511,0.9162263,-0.05900937
0.3388672,0.128593,0.9164591,-0.05910155
0.3413086,0.1285532,0.9165093,-0.05909395
0.3499146,0.1283683,0.916774,-0.05901167
0.3610229,0.1285588,0.9171257,-0.05910403
0.3613281,0.1285639,0.9171339,-0.05910775
0.37323,0.1286029,0.9174476,-0.05921027
0.3813477,0.1287844,0.9174253,-0.05943924
0.3833618,0.1288356,0.9174138,-0.05949077
0.3945313,0.1289268,0.9175103,-0.0595682
0.4013062,0.1289127,0.9176073,-0.05958843
0.4056396,0.1288652,0.9176623,-0.05965638
0.4165649,0.1287657,0.9177061,-0.05979669
0.4213257,0.1287605,0.9176776,-0.05992499
0.4276123,0.1286434,0.9175664,-0.06010929
0.4388428,0.1284472,0.9175819,-0.0602999
0.4413452,0.1283678,0.917617,-0.06030998
0.4499512,0.1281238,0.9176508,-0.06036055
0.4609985,0.1280929,0.9175287,-0.06056082
0.4613647,0.1280975,0.9175172,-0.06057572
0.472168,0.1282834,0.9170721,-0.06114778
0.4813232,0.1283915,0.9169545,-0.06136805
0.4832153,0.1282874,0.9168766,-0.06141359
0.4942017,0.1282619,0.9166928,-0.06168109
0.5013428,0.1284419,0.9168988,-0.06171685
0.505249,0.1284362,0.9169338,-0.06169766
0.5166626,0.128522,0.9172344,-0.06152579
0.5213623,0.1284323,0.917282,-0.06148982
0.5292969,0.1284178,0.9173656,-0.06156766
0.5386963,0.1284146,0.9173778,-0.061683
0.5413208,0.1283292,0.9173123,-0.06177929
0.5498657,0.1282484,0.9170747,-0.06206974
0.5609741,0.1280459,0.9168237,-0.062287
0.5613403,0.1280861,0.9167886,-0.0622533
0.5718994,0.1281476,0.9162421,-0.06256154
0.5813599,0.128176,0.9158489,-0.06273925
0.5831909,0.1280839,0.9157732,-0.06273258
0.5944824,0.1278055,0.9153948,-0.06310573
0.6013184,0.1275241,0.9151334,-0.06347024
0.6057739,0.1271626,0.9150134,-0.06352553
0.6169434,0.126508,0.9146147,-0.06381181
0.6213379,0.1264345,0.9149616,-0.06385896
0.6280518,0.1264723,0.9153258,-0.06398505
0.6393433,0.1263685,0.9157,-0.06411177
0.6413574,0.1263321,0.9157289,-0.06416461
0.6505737,0.1262523,0.9159994,-0.06429473
0.6613159,0.1261178,0.9165053,-0.06420079
0.6616821,0.1260838,0.9165261,-0.06414554
0.6729126,0.1257688,0.9168997,-0.06402379
0.6813354,0.1253267,0.9170036,-0.06403914
0.6870728,0.1249337,0.917106,-0.06411862
0.6950073,0.1245512,0.917181,-0.06423301
0.701355,0.1242507,0.9173532,-0.06345293
0.7049561,0.1239864,0.9172559,-0.06355318
0.7161255,0.123663,0.917513,-0.06352341
0.7213135,0.1232651,0.91732,-0.06376812
0.7272339,0.1224961,0.9168506,-0.06416649
