Time, X, Y, Z
12.32546,-0.1527584,0.9167446,0.1949323
14.62546,-0.2181632,0.9214378,0.196717
16.96546,-0.2067225,0.9114906,0.1498341
19.02546,-0.1756284,0.9022436,0.2052014
21.18546,-0.1976981,0.914551,0.160524
23.28546,-0.1694368,0.9151211,0.1884961
25.46546,-0.2216862,0.9171309,0.1692097
28.36546,-0.1647272,0.899212,0.1752109
30.76546,-0.2057119,0.9116873,0.1687581
33.04546,-0.1934276,0.9123846,0.1613304
35.12546,-0.2068,0.9339148,0.2090986
37.32546,-0.2216206,0.9006085,0.1755867
39.44546,-0.1973294,0.9175528,0.2093469
41.38546,-0.1840968,0.9135134,0.1759666
43.44546,-0.2026657,0.9158061,0.1769818
65.52545,-0.178996,0.9174682,0.2061041
67.50546,-0.1594694,0.9035277,0.1591781
69.42546,-0.2269501,0.9173083,0.1501499
71.16545,-0.1759166,0.9169217,0.1869133
73.00546,-0.1976782,0.9176317,0.1554356
74.78546,-0.1777277,0.9137036,0.158902
76.62546,-0.2216429,0.9136809,0.1631614
78.38547,-0.1861785,0.9093584,0.1797775
80.26546,-0.2019887,0.91145,0.1801358
81.94547,-0.1770371,0.9106622,0.1530808
83.70546,-0.2282367,0.9106597,0.2116287
85.44547,-0.2187712,0.9064589,0.1591789
87.12546,-0.1740178,0.9170992,0.1700898
88.84546,-0.2140066,0.9081736,0.2094363
90.68546,-0.2131304,0.8985779,0.1845506
112.7655,-0.2244018,0.9062487,0.1340501
114.4455,-0.2228879,0.9153721,0.17822
116.0655,-0.186871,0.9057499,0.1715895
117.7655,-0.2115365,0.9152949,0.1786181
119.2455,-0.1623826,0.9050015,0.2024291
121.2855,-0.1684206,0.9080876,0.1918299
123.0455,-0.2169094,0.9003085,0.1999427
124.6655,-0.179836,0.9060616,0.1866473
126.3055,-0.2157592,0.9084179,0.1779023
128.0055,-0.2104093,0.90277,0.2094227
129.7455,-0.166824,0.901177,0.1513824
131.2855,-0.2242548,0.9095803,0.1778222
133.0055,-0.1719309,0.9134446,0.2063766
134.8255,-0.2110673,0.9001643,0.1610508
136.5255,-0.1864183,0.905296,0.2176513
158.0655,-0.2241995,0.9116697,0.1529901
159.6655,-0.1658757,0.921528,0.1998122
161.2855,-0.2051712,0.918983,0.2025242
163.1855,-0.2091213,0.9155608,0.1784447
164.8455,-0.1650944,0.9028289,0.2023192
166.5655,-0.2057611,0.9201847,0.1867969
168.1455,-0.1754795,0.9124908,0.2138837
169.8655,-0.2349765,0.9150036,0.1879971
171.4855,-0.1744824,0.9068342,0.1658251
173.2055,-0.2233183,0.9176993,0.1482331
174.7855,-0.1854433,0.9066623,0.1963733
176.5255,-0.2486835,0.9144545,0.2070925
178.2255,-0.2262068,0.9243552,0.1696478
179.8855,-0.1734979,0.9000501,0.206878
181.6255,-0.1941122,0.9110882,0.1723278
