Time, X, Y, Z
12.32546,-0.15,0.86,0.2
14.62546,-0.2033595,0.86,0.1838226
16.96546,-0.2007877,0.86,0.1388834
19.02546,-0.1662376,0.86,0.1953923
21.18546,-0.1764838,0.86,0.1513157
23.28546,-0.1577289,0.86,0.1857179
25.46546,-0.2077356,0.86,0.1600153
28.36546,-0.1566882,0.86,0.1866631
30.76546,-0.2087275,0.86,0.1759105
33.04546,-0.1726055,0.86,0.1465447
35.12546,-0.1918204,0.86,0.2013541
37.32546,-0.222025,0.86,0.164579
39.44546,-0.1827729,0.86,0.1984308
41.38546,-0.1676868,0.86,0.1597898
43.44546,-0.2065868,0.86,0.1711073
65.52545,-0.1772917,0.86,0.201721
67.50546,-0.1531187,0.86,0.1494682
69.42546,-0.2233555,0.86,0.1381315
71.16545,-0.1518046,0.86,0.1769547
73.00546,-0.2055007,0.86,0.1437741
74.78546,-0.1632074,0.86,0.1464372
76.62546,-0.220617,0.86,0.1381898
78.38547,-0.1666482,0.86,0.1664541
80.26546,-0.2006676,0.86,0.1771673
81.94547,-0.1650496,0.86,0.141317
83.70546,-0.2176828,0.86,0.2020707
85.44547,-0.2079654,0.86,0.1432754
87.12546,-0.1552276,0.86,0.1444921
88.84546,-0.2079523,0.86,0.2021384
90.68546,-0.1958815,0.86,0.1656996
112.7655,-0.2225687,0.86,0.1416978
114.4455,-0.2034826,0.86,0.1818268
116.0655,-0.1652157,0.86,0.1500104
117.7655,-0.2229612,0.86,0.1807762
119.2455,-0.1617063,0.86,0.207122
121.2855,-0.1593663,0.86,0.154823
123.0455,-0.2132919,0.86,0.1997318
124.6655,-0.1670385,0.86,0.1674661
126.3055,-0.2209658,0.86,0.1583388
128.0055,-0.1989199,0.86,0.2023557
129.7455,-0.1561587,0.86,0.1549852
131.2855,-0.2047646,0.86,0.1480593
133.0055,-0.1675245,0.86,0.1958669
134.8255,-0.1947108,0.86,0.1351287
136.5255,-0.1736915,0.86,0.1762739
158.0655,-0.219928,0.86,0.1416378
159.6655,-0.1580336,0.86,0.1947635
161.2855,-0.207417,0.86,0.2027206
163.1855,-0.210084,0.86,0.1631198
164.8455,-0.172561,0.86,0.1954783
166.5655,-0.1974979,0.86,0.168586
168.1455,-0.1736759,0.86,0.2096057
169.8655,-0.2206874,0.86,0.164733
171.4855,-0.1600226,0.86,0.1409505
173.2055,-0.2237409,0.86,0.1387556
174.7855,-0.1751099,0.86,0.1844075
176.5255,-0.2173523,0.86,0.1939861
178.2255,-0.2173186,0.86,0.1477099
179.8855,-0.1610788,0.86,0.180568
181.6255,-0.1699281,0.86,0.1382261
