Time, X, Y, Z
0.005458832,0.1279849,1.036342,0.001640454
0.005870819,0.1279752,1.036332,0.001625299
0.0171814,0.1280417,1.036524,0.002114668
0.02545929,0.1279559,1.036376,0.002104655
0.02796173,0.1279217,1.03635,0.002138019
0.03935623,0.1278782,1.036299,0.00198558
0.04545975,0.127731,1.036166,0.001947105
0.05030823,0.1276391,1.03607,0.001903772
0.06128311,0.1275778,1.036187,0.002117366
0.06546021,0.1275657,1.036117,0.002262443
0.07254028,0.1275055,1.036037,0.002456486
0.0836525,0.1276044,1.035936,0.002368405
0.08546066,0.12762,1.035988,0.002371833
0.09468842,0.1277147,1.036037,0.002327695
0.1054611,0.1275834,1.035815,0.002337545
0.1058655,0.1275849,1.035807,0.002332836
0.1171608,0.1276481,1.035773,0.002450615
0.1254616,0.1275779,1.035779,0.002535671
0.1280632,0.1275633,1.035779,0.002567932
0.1390152,0.1275185,1.035751,0.002225712
0.1454582,0.127496,1.035726,0.002257749
0.1501694,0.1274745,1.035713,0.002247468
0.1612015,0.1273253,1.035741,0.002125517
0.1654587,0.1273816,1.035756,0.002135143
0.1724396,0.1273787,1.035778,0.002150759
0.1836052,0.1272746,1.035733,0.002178743
0.1854591,0.1272514,1.035736,0.00221996
0.1946564,0.1271727,1.035703,0.002298594
0.2054596,0.1271793,1.035849,0.002270147
0.2057457,0.1271795,1.03585,0.002270162
0.2167473,0.1272292,1.035728,0.002287969
0.2254601,0.127224,1.035684,0.002248958
0.2278671,0.1272291,1.035661,0.00223586
0.2391243,0.1273151,1.035614,0.002228498
0.2454605,0.1273233,1.035644,0.002199769
0.2502899,0.1273321,1.035661,0.002182484
0.2612,0.1273029,1.035676,0.00207375
0.265461,0.1273384,1.035696,0.002083957
0.2724686,0.1273725,1.035737,0.002073601
0.2840004,0.1271912,1.035531,0.001977891
0.2854614,0.127252,1.035491,0.001986474
0.2943802,0.1273245,1.035316,0.001968592
0.3054581,0.1272715,1.035266,0.001760662
0.3055496,0.1272715,1.035267,0.001761228
0.3169289,0.1272665,1.035414,0.001635864
0.3254585,0.127097,1.035416,0.001652718
0.3279381,0.1270455,1.035415,0.001646638
0.339756,0.1269336,1.035391,0.00161168
0.345459,0.1269526,1.035356,0.0016063
0.3500824,0.1269471,1.035333,0.001605198
0.3610573,0.1270225,1.035166,0.001788497
0.3654594,0.1270603,1.03515,0.001772583
0.3723717,0.1271355,1.03509,0.001748949
0.3833466,0.1271202,1.035028,0.001978576
0.3854599,0.1271551,1.034985,0.00195232
