Time, X, Y, Z
11.84293,-0.1961882,0.9079703,0.2078591
13.34293,-0.2281496,0.9050514,0.220592
14.92294,-0.1902214,0.9079236,0.1566499
16.26294,-0.1758356,0.9148464,0.1822095
17.64294,-0.2037139,0.9090564,0.148213
18.96295,-0.1536726,0.9318309,0.170461
20.36295,-0.2023527,0.9119393,0.1652346
21.76294,-0.2252408,0.9333549,0.208646
23.06293,-0.1698571,0.9180149,0.2191284
24.48294,-0.1867023,0.9081479,0.1883437
25.80295,-0.1940863,0.9214029,0.1568913
27.10294,-0.1847726,0.9160665,0.1558057
28.54294,-0.2410402,0.9182428,0.226219
29.90295,-0.1873581,0.9141594,0.1750218
31.34293,-0.2252137,0.9197533,0.1898613
53.18295,-0.164381,0.9097614,0.1463613
54.42294,-0.2251992,0.9095795,0.1682024
55.64294,-0.179907,0.930881,0.1857776
57.06293,-0.1678007,0.923995,0.1342816
58.34293,-0.2102421,0.9214149,0.2102557
59.64294,-0.1867249,0.9154215,0.1572177
60.90295,-0.1599881,0.9339676,0.1782192
62.32294,-0.2392061,0.9100871,0.1679794
63.54294,-0.1622231,0.9179003,0.2073428
64.94293,-0.1515378,0.9141596,0.1477585
66.22293,-0.2144947,0.9019825,0.1458599
67.44293,-0.1705826,0.9143468,0.1744064
68.94293,-0.1932687,0.9134435,0.1582097
70.18295,-0.1662231,0.9263184,0.1525688
71.56293,-0.1804822,0.9215214,0.1717949
92.78293,-0.1713735,0.9184924,0.1718546
94.12292,-0.2132672,0.9097009,0.1649143
95.44293,-0.2120898,0.9116721,0.2254138
96.74295,-0.2064383,0.9082444,0.1917474
98.20294,-0.2124215,0.9149824,0.2260339
99.54294,-0.1597311,0.9118812,0.1794609
101.0229,-0.1759896,0.9129267,0.1983575
102.3029,-0.1760327,0.9197884,0.1800864
103.5829,-0.2339489,0.9155546,0.1760977
104.9029,-0.2350232,0.9186269,0.2119843
106.183,-0.1765039,0.9408237,0.1850606
107.5629,-0.2097399,0.9192492,0.1738039
108.9229,-0.1803026,0.9080455,0.1953519
110.2829,-0.2191382,0.9195069,0.1744476
111.5429,-0.1849323,0.9268125,0.1931441
132.8029,-0.204779,0.9302249,0.1649026
134.1429,-0.1780042,0.9205532,0.1738119
135.463,-0.1975736,0.9312326,0.1697063
136.7029,-0.1682599,0.9267188,0.2052123
138.0829,-0.1982219,0.9364839,0.1873661
139.5029,-0.1723581,0.9080334,0.2201559
140.8829,-0.2023905,0.922134,0.1961286
142.4429,-0.1782969,0.9165156,0.1789527
143.6829,-0.2117449,0.9184377,0.1706677
145.1029,-0.2401838,0.9025589,0.1903943
146.3829,-0.1988183,0.9061567,0.2327437
147.8229,-0.1878256,0.9040184,0.1437977
149.0429,-0.2171369,0.9094803,0.1757658
150.4229,-0.2032664,0.9184693,0.1520167
151.7029,-0.1913777,0.9182286,0.2080711
