Time, X, Y, Z
11.84293,-0.1808724,0.86,0.2023622
13.34293,-0.2168556,0.86,0.2059311
14.92294,-0.1816914,0.86,0.1385547
16.26294,-0.1645825,0.86,0.1766514
17.64294,-0.2028506,0.86,0.143107
18.96295,-0.1544487,0.86,0.1794079
20.36295,-0.1825969,0.86,0.1373577
21.76294,-0.2176129,0.86,0.2099676
23.06293,-0.1591593,0.86,0.2079544
24.48294,-0.1778697,0.86,0.1541199
25.80295,-0.2071438,0.86,0.1776782
27.10294,-0.1759879,0.86,0.1493292
28.54294,-0.2184255,0.86,0.2075979
29.90295,-0.1777524,0.86,0.160257
31.34293,-0.2149665,0.86,0.1789457
53.18295,-0.1760472,0.86,0.1454653
54.42294,-0.2217983,0.86,0.1734023
55.64294,-0.1663439,0.86,0.1974352
57.06293,-0.1880686,0.86,0.1413109
58.34293,-0.1919077,0.86,0.2086927
59.64294,-0.1904714,0.86,0.1513858
60.90295,-0.1754638,0.86,0.1926692
62.32294,-0.2239339,0.86,0.1623723
63.54294,-0.1514121,0.86,0.2047455
64.94293,-0.1722318,0.86,0.1497844
66.22293,-0.2148738,0.86,0.1488197
67.44293,-0.1617298,0.86,0.1527922
68.94293,-0.207444,0.86,0.1376781
70.18295,-0.155936,0.86,0.1450439
71.56293,-0.1906543,0.86,0.1728217
92.78293,-0.1566881,0.86,0.1598715
94.12292,-0.2230324,0.86,0.165741
95.44293,-0.2026428,0.86,0.2093165
96.74295,-0.1867465,0.86,0.1641509
98.20294,-0.2154085,0.86,0.2053539
99.54294,-0.1521991,0.86,0.1709501
101.0229,-0.1906527,0.86,0.1956592
102.3029,-0.1703112,0.86,0.1610205
103.5829,-0.2203443,0.86,0.1598806
104.9029,-0.2231018,0.86,0.1985833
106.183,-0.1705213,0.86,0.1789773
107.5629,-0.1993064,0.86,0.1575397
108.9229,-0.1553769,0.86,0.1671819
110.2829,-0.2194669,0.86,0.1439102
111.5429,-0.1778772,0.86,0.1867662
132.8029,-0.2244909,0.86,0.1835467
134.1429,-0.1699901,0.86,0.1513135
135.463,-0.2122935,0.86,0.1565981
136.7029,-0.1596815,0.86,0.1864322
138.0829,-0.2032158,0.86,0.1705035
139.5029,-0.1551794,0.86,0.2053581
140.8829,-0.1948293,0.86,0.140953
142.4429,-0.197857,0.86,0.1959776
143.6829,-0.1803893,0.86,0.1408857
145.1029,-0.2248965,0.86,0.1749062
146.3829,-0.1656011,0.86,0.2014732
147.8229,-0.1916046,0.86,0.1395394
149.0429,-0.2181477,0.86,0.2016054
150.4229,-0.1943711,0.86,0.1455935
151.7029,-0.1785356,0.86,0.1837723
