Time, X, Y, Z
0.002929688,-0.1081389,1.020986,-0.05857164
0.006164551,-0.1081766,1.021016,-0.05851606
0.01739502,-0.1082429,1.020874,-0.05834909
0.02294922,-0.1085343,1.020743,-0.05827096
0.02844238,-0.1087772,1.020658,-0.05818515
0.03936768,-0.1090737,1.020196,-0.05805245
0.04293823,-0.1089767,1.020227,-0.05815816
0.0506897,-0.1089445,1.020125,-0.05829079
0.06161499,-0.1085216,1.020325,-0.05837671
0.06292725,-0.1085311,1.020329,-0.05843802
0.07278442,-0.1083368,1.02041,-0.05865043
0.08294678,-0.1077871,1.020195,-0.05865546
0.08407593,-0.1077409,1.020179,-0.05866387
0.09521484,-0.1075013,1.020203,-0.05863194
0.1029358,-0.1075105,1.02,-0.05856308
0.1062317,-0.1074879,1.019909,-0.05853081
0.1173096,-0.1075324,1.019645,-0.05866654
0.1229553,-0.1075716,1.019452,-0.05871309
0.1282959,-0.1075815,1.019263,-0.0587589
0.1420288,-0.1078948,1.0188,-0.05851498
0.1429443,-0.1078185,1.018752,-0.0584601
0.1505127,-0.1077676,1.018425,-0.05830756
0.1616211,-0.1077074,1.018098,-0.05783577
0.1629333,-0.1076208,1.01807,-0.05788641
0.172699,-0.1072216,1.017727,-0.05776758
0.1829529,-0.1071302,1.017653,-0.05768012
0.1839294,-0.1071133,1.017645,-0.05767141
0.1950073,-0.1067625,1.017468,-0.05754994
0.2029419,-0.1066594,1.017285,-0.0573066
0.2062378,-0.1065817,1.017195,-0.05718534
0.2171631,-0.1064605,1.016861,-0.05704378
0.2229309,-0.1064733,1.016679,-0.05681504
0.2284851,-0.1064696,1.01648,-0.05658054
0.239502,-0.1062084,1.016335,-0.056674
0.2429504,-0.1060179,1.016295,-0.05673651
0.2505188,-0.1056266,1.01615,-0.05687489
0.2619934,-0.1053804,1.016057,-0.05676883
0.2629395,-0.1053007,1.016033,-0.05671488
0.2727661,-0.1047677,1.015807,-0.05648305
0.2829285,-0.1046321,1.015577,-0.05641347
0.2839355,-0.1046156,1.015554,-0.05640329
0.2969971,-0.1046699,1.015271,-0.0563155
0.302948,-0.1046249,1.015054,-0.05634813
0.3058167,-0.1046179,1.014932,-0.05634908
0.3171997,-0.1042928,1.01469,-0.05642867
0.322937,-0.1041941,1.014538,-0.05653113
0.3283691,-0.104082,1.014358,-0.05663528
0.339386,-0.1038587,1.013846,-0.0566231
0.342926,-0.1037624,1.013784,-0.05667059
0.350769,-0.1035566,1.013548,-0.05677214
0.3615417,-0.1031277,1.013159,-0.05671819
0.3629456,-0.1030511,1.013098,-0.05674987
0.3728027,-0.1024473,1.012547,-0.05698439
0.3829346,-0.101956,1.012025,-0.05760451
0.3840332,-0.1018948,1.011965,-0.05766436
0.3955383,-0.1014035,1.01141,-0.05816045
0.4029541,-0.1009364,1.010982,-0.05844577
0.4062195,-0.1006829,1.010751,-0.05860925
0.4174805,-0.09992147,1.010297,-0.05886613
0.4229431,-0.09957406,1.010084,-0.05902839
0.4283447,-0.09915714,1.009858,-0.05919749
0.4396973,-0.09825359,1.009466,-0.05973515
0.4429321,-0.09801894,1.009412,-0.05981936
0.4538574,-0.0971204,1.009258,-0.06013276
0.4616089,-0.09671963,1.009229,-0.06052051
0.4629517,-0.096711,1.009209,-0.06061733
0.4721069,-0.09650521,1.009147,-0.0612544
0.4829407,-0.09651321,1.009026,-0.06189878
0.4833069,-0.09651319,1.009022,-0.06192143
0.4942932,-0.0963311,1.009152,-0.06219053
0.5029297,-0.09634128,1.009072,-0.06234375
0.5053711,-0.09634966,1.009036,-0.06240246
0.516571,-0.09637469,1.009134,-0.06245254
0.5229492,-0.09643251,1.009234,-0.06248373
0.52771,-0.09648752,1.009325,-0.0625113
0.5386963,-0.09674392,1.009512,-0.06269926
0.5429382,-0.09680069,1.009615,-0.06278445
0.5498047,-0.09689636,1.009813,-0.06294838
0.5608215,-0.09711464,1.010036,-0.06311731
0.5629272,-0.09715381,1.010074,-0.06313667
0.5720215,-0.09732922,1.010232,-0.06321588
0.5829468,-0.09759114,1.010423,-0.06357761
0.5831299,-0.097592,1.010424,-0.06357914
0.5942688,-0.09772146,1.010388,-0.06393528
0.6029358,-0.0978816,1.010247,-0.06423134
0.6091919,-0.09803186,1.010137,-0.06446373
0.6163025,-0.09791373,1.00987,-0.06455769
0.6229553,-0.09782024,1.009589,-0.0648286
0.6273193,-0.09773528,1.009355,-0.06506608
0.6381226,-0.09715082,1.008861,-0.06542912
0.6429443,-0.09675415,1.008575,-0.06560889
0.649292,-0.09601014,1.008157,-0.06580994
0.6602783,-0.0953755,1.007116,-0.06643172
0.6629333,-0.09515382,1.006811,-0.06661338
0.6713257,-0.09412695,1.005639,-0.06729362
0.6824951,-0.0929921,1.003823,-0.06854984
0.6829529,-0.09294154,1.003742,-0.06860705
0.6936035,-0.09166175,1.001906,-0.07008592
0.7029419,-0.09054304,0.9998153,-0.07117939
0.7047119,-0.09033416,0.9994269,-0.0713784
0.7157898,-0.0889385,0.9973927,-0.07299036
0.7229309,-0.0878422,0.9959888,-0.07397407
0.7276306,-0.08696788,0.994877,-0.07471132
0.7380676,-0.08539347,0.9928741,-0.07568891
0.7429504,-0.08449946,0.9917839,-0.07604396
0.7494507,-0.08308762,0.990073,-0.07647456
0.7629395,-0.08069302,0.9865854,-0.07756681
0.7647705,-0.08037598,0.9861187,-0.07770793
