Time, X, Y, Z
0.002929688,0.1224104,1.040595,-0.01239014
0.006164551,0.1226041,1.040603,-0.01230063
0.01739502,0.122374,1.0404,-0.01240817
0.02294922,0.1224282,1.040374,-0.01235111
0.02844238,0.122459,1.040383,-0.01230277
0.03936768,0.1226441,1.040004,-0.01244839
0.04293823,0.1225855,1.040061,-0.01242644
0.0506897,0.122531,1.040022,-0.01242615
0.06161499,0.1224629,1.040124,-0.01266718
0.06292725,0.1225102,1.040094,-0.01270851
0.07278442,0.1225947,1.040041,-0.01291481
0.08294678,0.1228361,1.040162,-0.01322635
0.08407593,0.1228554,1.040167,-0.01325686
0.09521484,0.1225723,1.040047,-0.01334952
0.1029358,0.1226278,1.039985,-0.0132153
0.1062317,0.1226361,1.039936,-0.013175
0.1173096,0.1227566,1.039693,-0.01315184
0.1229553,0.1226812,1.039815,-0.01317413
0.1282959,0.122664,1.039893,-0.0131879
0.1420288,0.122553,1.039821,-0.0132146
0.1429443,0.1225818,1.039793,-0.01323828
0.1505127,0.1226513,1.039742,-0.01335005
0.1616211,0.1226556,1.039723,-0.01325293
0.1629333,0.1226535,1.039717,-0.01328607
0.172699,0.1227085,1.039695,-0.01338121
0.1829529,0.1227231,1.039702,-0.01312855
0.1839294,0.1227284,1.039709,-0.01311173
0.1950073,0.1226602,1.040005,-0.01296742
0.2029419,0.1226413,1.039973,-0.01281551
0.2062378,0.1226353,1.039984,-0.01273526
0.2171631,0.1227074,1.039848,-0.0126473
0.2229309,0.1227185,1.039875,-0.01261503
0.2284851,0.1227316,1.039885,-0.01256305
0.239502,0.1227304,1.039958,-0.01259223
0.2429504,0.1227204,1.039933,-0.01266471
0.2505188,0.1227266,1.039886,-0.01281488
0.2619934,0.12282,1.039933,-0.01289076
0.2629395,0.1228278,1.039892,-0.0128857
0.2727661,0.1229151,1.03968,-0.01291585
0.2829285,0.122747,1.03966,-0.01308033
0.2839355,0.1227308,1.039654,-0.01309218
0.2969971,0.1226953,1.039567,-0.01308955
0.302948,0.1227457,1.03957,-0.01307727
0.3058167,0.122751,1.039552,-0.01307209
0.3171997,0.1227965,1.039458,-0.01302086
0.322937,0.1227798,1.039383,-0.0129561
0.3283691,0.1227599,1.03929,-0.01288573
0.339386,0.1228036,1.039214,-0.01296702
0.342926,0.1227289,1.039119,-0.01301336
0.350769,0.1225646,1.038876,-0.01311067
0.3615417,0.1228771,1.038662,-0.01289913
0.3629456,0.122878,1.038616,-0.0128884
0.3728027,0.1230777,1.038197,-0.01288103
0.3829346,0.1231994,1.038051,-0.01289862
0.3840332,0.1232194,1.038028,-0.01290126
0.3955383,0.1232885,1.037802,-0.01252677
0.4029541,0.1234289,1.037719,-0.01239239
0.4062195,0.1235049,1.037668,-0.01231082
0.4174805,0.1238915,1.037754,-0.01247039
0.4229431,0.1241861,1.037818,-0.01256527
0.4283447,0.1245105,1.037907,-0.01265576
0.4396973,0.1248633,1.038091,-0.01283675
0.4429321,0.1248659,1.038117,-0.01283138
0.4538574,0.1249747,1.03835,-0.01282065
