Time, X, Y, Z
24.07905,-0.1972133,0.9220447,0.2238485
26.35905,-0.2312591,0.9128003,0.2018686
28.33905,-0.1971536,0.9007507,0.1965582
30.85905,-0.2509425,0.9101572,0.2051112
33.31905,-0.2625429,0.9464658,0.2379249
36.19905,-0.2203799,0.9088972,0.1682959
40.35905,-0.2251322,0.9245816,0.2225604
43.95905,-0.1781225,0.9198052,0.1759852
47.39905,-0.156734,0.9360562,0.1937532
50.33905,-0.1979308,0.9243788,0.1841915
52.97905,-0.2489768,0.9189052,0.204461
55.87905,-0.2120944,0.9249073,0.2308004
59.17905,-0.206427,0.9250456,0.1665452
62.49905,-0.2399867,0.9304576,0.1898943
64.87905,-0.2124853,0.8992342,0.1989417
87.37905,-0.1976168,0.9177976,0.1997979
89.77905,-0.2519806,0.9410682,0.2389961
93.13905,-0.2470635,0.9199098,0.1990611
95.83905,-0.2395638,0.9141928,0.1776207
99.49905,-0.1855516,0.9224145,0.2159778
103.759,-0.2385951,0.9159017,0.1923492
106.119,-0.2157746,0.9192156,0.2221634
108.659,-0.1688408,0.9149557,0.1812139
110.4591,-0.2054046,0.9258202,0.1573817
112.5191,-0.215039,0.9095162,0.1931369
114.7791,-0.2153819,0.9042025,0.1639424
117.5591,-0.2016536,0.9113275,0.2013104
120.2791,-0.1731862,0.9233674,0.1821084
123.8591,-0.2128797,0.9142238,0.2072753
125.6391,-0.205878,0.9039044,0.2061653
147.459,-0.2495932,0.9259077,0.2639804
149.2791,-0.1815202,0.8986863,0.1582403
151.0791,-0.1966763,0.9143336,0.1827877
153.319,-0.1756162,0.9254141,0.1735087
155.319,-0.2049567,0.9173781,0.2166822
157.799,-0.2045969,0.9179011,0.1945761
160.2191,-0.1906898,0.9154903,0.1784778
162.439,-0.2035496,0.9216288,0.208846
164.759,-0.2140385,0.9114146,0.1795564
166.9991,-0.2123303,0.9145482,0.2119263
169.759,-0.2255438,0.9164464,0.2145139
172.579,-0.1983065,0.9293242,0.2024901
174.439,-0.2313996,0.9123069,0.2026272
176.679,-0.2026134,0.925619,0.215014
179.819,-0.2026247,0.9092922,0.1901653
201.119,-0.2058403,0.8957292,0.1762971
203.259,-0.2254104,0.9149808,0.2244013
205.379,-0.184095,0.9136954,0.223217
207.539,-0.2097569,0.9151428,0.2222912
209.659,-0.1875491,0.9205611,0.2097469
212.439,-0.2102396,0.909082,0.1802701
214.2791,-0.2170355,0.9222244,0.1981745
216.319,-0.2125591,0.9196989,0.1825683
218.579,-0.197624,0.9232446,0.19434
220.439,-0.2251829,0.9252229,0.1710058
222.099,-0.1997844,0.9242631,0.2013271
223.8391,-0.1856171,0.9215467,0.195298
227.099,-0.2129948,0.9201977,0.2107967
229.1991,-0.1782052,0.9210832,0.2026621
230.819,-0.2036989,0.9297956,0.1675561
