Time, X, Y, Z
24.07905,-0.15,0.86,0.2
26.35905,-0.2055918,0.86,0.1557995
28.33905,-0.1523519,0.86,0.1593493
30.85905,-0.219229,0.86,0.1663232
33.31905,-0.16815,0.86,0.2005085
36.19905,-0.1847463,0.86,0.1580375
40.35905,-0.1679771,0.86,0.2083741
43.95905,-0.1916461,0.86,0.1599038
47.39905,-0.1876404,0.86,0.2032733
50.33905,-0.1949674,0.86,0.1518708
52.97905,-0.2247879,0.86,0.2008482
55.87905,-0.1683179,0.86,0.1901885
59.17905,-0.1607019,0.86,0.1461049
62.49905,-0.2100412,0.86,0.1970721
64.87905,-0.1599958,0.86,0.1633093
87.37905,-0.2042607,0.86,0.1645477
89.77905,-0.177465,0.86,0.1947466
93.13905,-0.1948766,0.86,0.1421688
95.83905,-0.2232597,0.86,0.1965871
99.49905,-0.1602564,0.86,0.2018123
103.759,-0.1761385,0.86,0.1597824
106.119,-0.1783041,0.86,0.2040003
108.659,-0.1559771,0.86,0.1364981
110.4591,-0.20746,0.86,0.1398451
112.5191,-0.1905622,0.86,0.2045001
114.7791,-0.2068547,0.86,0.1604091
117.5591,-0.1719651,0.86,0.1908668
120.2791,-0.1787149,0.86,0.1552421
123.8591,-0.1899056,0.86,0.2010983
125.6391,-0.1832644,0.86,0.1615406
147.459,-0.2113678,0.86,0.2053286
149.2791,-0.1872307,0.86,0.1402904
151.0791,-0.1613107,0.86,0.1795844
153.319,-0.1967041,0.86,0.1612514
155.319,-0.16487,0.86,0.2066802
157.799,-0.2175059,0.86,0.1615156
160.2191,-0.1819784,0.86,0.1432782
162.439,-0.1749976,0.86,0.2076112
164.759,-0.2000682,0.86,0.1458322
166.9991,-0.1865048,0.86,0.1961181
169.759,-0.2206654,0.86,0.1671175
172.579,-0.1615278,0.86,0.1893583
174.439,-0.2244055,0.86,0.141417
176.679,-0.160481,0.86,0.1807694
179.819,-0.1980866,0.86,0.1745033
201.119,-0.1616152,0.86,0.1444195
203.259,-0.2098768,0.86,0.2005089
205.379,-0.152262,0.86,0.1838396
207.539,-0.2047322,0.86,0.207686
209.659,-0.1697206,0.86,0.1767422
212.439,-0.2130004,0.86,0.1442575
214.2791,-0.2055928,0.86,0.1944012
216.319,-0.2107351,0.86,0.1554838
218.579,-0.157085,0.86,0.1590607
220.439,-0.218525,0.86,0.1402994
222.099,-0.1941108,0.86,0.207542
223.8391,-0.1646667,0.86,0.1529283
227.099,-0.2070656,0.86,0.2002396
229.1991,-0.1553019,0.86,0.1609771
230.819,-0.1949303,0.86,0.1676489
