Time, X, Y, Z
11.41905,-0.1163557,1.052134,-0.05411296
11.42069,-0.1163423,1.052126,-0.05412416
11.4314,-0.1161168,1.052205,-0.05413838
11.43905,-0.1161401,1.052167,-0.05411431
11.44269,-0.1161647,1.052134,-0.05409943
11.45376,-0.1162356,1.05216,-0.05410546
11.45905,-0.1162576,1.052122,-0.05409025
11.4648,-0.1162803,1.052056,-0.05405809
11.47598,-0.1164317,1.052023,-0.0541186
11.47905,-0.1163977,1.052034,-0.05412093
11.487,-0.1162342,1.052083,-0.05410089
11.4983,-0.1160409,1.052075,-0.05427895
11.49905,-0.1160268,1.052075,-0.0542918
11.51034,-0.1158706,1.051992,-0.05429251
11.51905,-0.1158338,1.052008,-0.05417231
11.52036,-0.115827,1.052008,-0.05415611
11.53154,-0.1157379,1.052014,-0.05408973
11.53905,-0.1157375,1.051979,-0.05407476
11.54245,-0.1157398,1.051954,-0.05406989
11.55367,-0.1156411,1.051826,-0.05411796
11.55905,-0.1156692,1.05177,-0.05408016
11.56469,-0.1157326,1.051705,-0.05400787
11.57602,-0.1158089,1.051637,-0.05402096
11.57905,-0.1158352,1.051634,-0.05401319
11.58702,-0.1159237,1.051663,-0.05396782
11.59816,-0.1158435,1.051639,-0.05401796
11.59905,-0.1158358,1.051637,-0.0540228
11.6093,-0.1155886,1.051587,-0.05402692
11.61905,-0.1155621,1.051451,-0.05393825
11.62045,-0.1155598,1.051432,-0.0539252
11.63169,-0.1155194,1.05123,-0.05389063
11.63905,-0.1154934,1.05117,-0.05382021
11.64277,-0.1154768,1.051142,-0.05376726
11.65379,-0.1154506,1.051138,-0.05375841
11.65905,-0.1155023,1.0511,-0.05371588
11.66711,-0.1156383,1.051016,-0.05363297
11.67905,-0.1157515,1.05094,-0.05358805
11.68224,-0.1158046,1.050877,-0.05352463
11.68758,-0.1158622,1.050823,-0.05346099
11.69608,-0.115874,1.050775,-0.05337799
11.69905,-0.115873,1.050761,-0.05334984
11.70715,-0.1159706,1.050641,-0.05333319
11.71827,-0.1161403,1.050478,-0.0532122
11.71905,-0.1161678,1.050453,-0.05319896
11.72926,-0.1163533,1.050306,-0.05303694
11.73905,-0.1165052,1.05021,-0.05274251
11.74028,-0.1165271,1.050192,-0.0526966
11.75145,-0.1168026,1.050094,-0.05238897
11.75905,-0.1169819,1.049986,-0.05220503
11.76236,-0.1170838,1.049915,-0.05211709
11.77359,-0.1173487,1.049789,-0.0518707
11.77905,-0.1174352,1.049782,-0.05177613
11.78474,-0.1173509,1.049834,-0.05171344
11.79586,-0.117387,1.049972,-0.05147749
11.79905,-0.1174136,1.050026,-0.05138783
11.80726,-0.1173955,1.050193,-0.05116609
11.81905,-0.1175852,1.05026,-0.05082338
11.82118,-0.1176188,1.050254,-0.05075367
11.82933,-0.1178908,1.050146,-0.05053936
11.83905,-0.1181604,1.050053,-0.05021439
11.84053,-0.1182204,1.050047,-0.05013075
11.85162,-0.1183816,1.049874,-0.04992984
11.85905,-0.1185937,1.049757,-0.04977538
11.86262,-0.1187908,1.049712,-0.04965402
11.87366,-0.1189856,1.049609,-0.04953013
11.87905,-0.1190755,1.049562,-0.0494851
11.88469,-0.119176,1.049566,-0.04947467
11.89578,-0.1191127,1.04969,-0.04938215
11.89905,-0.1190641,1.049769,-0.04933129
11.90684,-0.1189057,1.050059,-0.04931961
