Time, X, Y, Z
11.41905,0.09736782,1.052527,-0.0391885
11.42069,0.09735138,1.052501,-0.03918146
11.4314,0.09734232,1.052482,-0.03903171
11.43905,0.09729825,1.052512,-0.03903003
11.44269,0.09726743,1.052528,-0.03903697
11.45376,0.09707341,1.052516,-0.03904992
11.45905,0.09702845,1.052482,-0.03903884
11.4648,0.0969839,1.052433,-0.0390193
11.47598,0.09696609,1.052409,-0.03897284
11.47905,0.09694383,1.052412,-0.03898342
11.487,0.09687794,1.052439,-0.03903513
11.4983,0.09683607,1.052454,-0.03898135
11.49905,0.09683309,1.052455,-0.03897765
11.51034,0.09679921,1.05251,-0.03909284
11.51905,0.096788,1.052447,-0.03893615
11.52036,0.09678636,1.052439,-0.03891672
11.53154,0.09669504,1.052467,-0.03878988
11.53905,0.09664676,1.052393,-0.0388073
11.54245,0.09662159,1.052341,-0.03882781
11.55367,0.09649716,1.052307,-0.03886884
11.55905,0.09641745,1.052279,-0.03886372
11.56469,0.09631416,1.052239,-0.03884637
11.57602,0.09622997,1.052195,-0.03893952
11.57905,0.09621269,1.052168,-0.03895156
11.58702,0.09616689,1.052081,-0.03896084
11.59816,0.09617103,1.051984,-0.03888433
11.59905,0.09617157,1.051975,-0.03887731
11.6093,0.09617542,1.051783,-0.03887539
11.61905,0.09619015,1.051633,-0.03891528
11.62045,0.09619253,1.051612,-0.03892121
11.63169,0.09614974,1.051412,-0.0390061
11.63905,0.09613436,1.051342,-0.03902857
11.64277,0.09612766,1.051307,-0.03903724
11.65379,0.09610318,1.051288,-0.03908664
11.65905,0.09607087,1.051251,-0.03906332
11.66711,0.09599896,1.051169,-0.03900214
11.67905,0.09578399,1.050974,-0.03892688
11.68224,0.09579166,1.050942,-0.03894821
11.68758,0.0957652,1.050888,-0.03894888
11.69608,0.09563511,1.050798,-0.03894991
11.69905,0.09558576,1.050767,-0.03894982
11.70715,0.09547006,1.050717,-0.03894797
11.71827,0.09529825,1.05056,-0.03896424
11.71905,0.09526992,1.050529,-0.03895821
11.72926,0.09506749,1.050259,-0.03886119
11.73905,0.09485725,1.050084,-0.03882897
11.74028,0.09482443,1.050058,-0.03883196
11.75145,0.09450489,1.049873,-0.03885213
11.75905,0.09430391,1.049705,-0.03897068
11.76236,0.09418876,1.049585,-0.03907309
11.77359,0.09394708,1.049306,-0.0393596
11.77905,0.09383725,1.04919,-0.03950557
11.78474,0.09368057,1.049048,-0.03966588
11.79586,0.09322646,1.048979,-0.03977129
11.79905,0.09305871,1.048969,-0.03979146
11.80726,0.092519,1.048874,-0.04002969
11.81905,0.09200182,1.048491,-0.04070324
11.82118,0.09193587,1.048396,-0.04084985
11.82933,0.09156726,1.047922,-0.04150029
11.83905,0.09158296,1.047143,-0.04236887
11.84053,0.09167746,1.046927,-0.04258525
11.85162,0.09185801,1.046365,-0.04333127
11.85905,0.09174171,1.045965,-0.04375301
11.86262,0.09155921,1.045614,-0.04397587
11.87366,0.09147172,1.044696,-0.04471543
11.87905,0.0914969,1.044131,-0.04515563
11.88469,0.09180273,1.043431,-0.04560462
11.89578,0.09243856,1.042403,-0.04651599
11.89905,0.0926614,1.04209,-0.04685503
11.90684,0.09300908,1.04135,-0.04758532
11.91801,0.09349566,1.040608,-0.04818586
11.91905,0.09355005,1.040536,-0.04823764
11.92904,0.09385024,1.039795,-0.0491244
11.93905,0.0941609,1.03908,-0.05027841
11.94031,0.09420601,1.038995,-0.05043215
11.95132,0.09454654,1.038437,-0.05171038
11.95905,0.09495352,1.03801,-0.05280755
11.96252,0.09522362,1.037747,-0.05342829
11.97622,0.09595874,1.036927,-0.05540128
11.97905,0.09618141,1.036769,-0.05583419
11.98465,0.0969551,1.036416,-0.05685022
11.99572,0.09772524,1.035954,-0.05829331
11.99905,0.09792843,1.035802,-0.05876361
12.007,0.09858913,1.035562,-0.06014447
12.01802,0.0990993,1.035288,-0.06162857
12.01905,0.09913509,1.035261,-0.06177235
12.02908,0.09934437,1.034914,-0.06329381
12.03905,0.09964261,1.03452,-0.064698
12.0405,0.0996955,1.03446,-0.06489855
12.05169,0.1000407,1.03381,-0.06630744
12.05905,0.1002208,1.033375,-0.06734735
12.06304,0.1003527,1.033141,-0.06821568
12.07456,0.1005189,1.032523,-0.0697422
12.07905,0.1005186,1.032269,-0.07033759
12.08594,0.1003696,1.031754,-0.07161078
12.09721,0.1004568,1.030992,-0.07329928
12.09905,0.1004854,1.030852,-0.07360284
12.10843,0.1007063,1.029961,-0.0750155
12.11905,0.1005996,1.028982,-0.07679663
12.12007,0.1005809,1.028877,-0.07699947
12.13448,0.1009353,1.027257,-0.07912246
12.13905,0.100911,1.026757,-0.0800187
12.14191,0.1008874,1.026346,-0.08076551
12.15371,0.1009525,1.02517,-0.08289063
12.15905,0.1010254,1.024547,-0.08382243
12.16505,0.1012802,1.023558,-0.08495896
12.17632,0.1014638,1.021939,-0.08675502
12.17905,0.101508,1.021538,-0.08723389
12.1875,0.1020119,1.020172,-0.08902045
12.1986,0.1024891,1.0187,-0.09036443
12.19905,0.1025101,1.018632,-0.09042162
12.20966,0.1023045,1.016878,-0.09196346
12.21905,0.1025334,1.015395,-0.09316026
12.22076,0.1025977,1.015142,-0.09335154
12.23182,0.103235,1.013448,-0.09467222
12.23905,0.1037285,1.012128,-0.09552453
12.243,0.1040713,1.011177,-0.09605569
12.254,0.1050424,1.00911,-0.0970553
12.25905,0.1054389,1.008063,-0.09750903
12.26515,0.1057847,1.006655,-0.09812267
12.27633,0.1062792,1.004824,-0.09940298
12.27905,0.106399,1.004353,-0.09977306
12.29036,0.106985,1.001692,-0.1010906
12.29841,0.1071964,1.000203,-0.1014877
12.29905,0.1072181,1.000062,-0.1015295
12.30979,0.1071884,0.9977064,-0.1026855
12.31905,0.1068834,0.9958141,-0.1034024
12.32096,0.1068136,0.9954203,-0.1035352
12.33262,0.1062338,0.9929808,-0.1046244
12.33905,0.1059464,0.9915383,-0.1051439
12.34313,0.1057638,0.9904361,-0.1054303
12.35429,0.1052858,0.9882164,-0.106341
12.35905,0.1050881,0.9871946,-0.1067972
12.36542,0.1047691,0.9856189,-0.1073897
12.37647,0.1044254,0.9832234,-0.1078341
12.37905,0.1043441,0.982592,-0.1078998
12.3877,0.1033955,0.9808063,-0.1083843
12.39852,0.1023914,0.9787066,-0.1085943
12.39905,0.1023373,0.9785852,-0.1085998
12.40968,0.1016222,0.9760785,-0.1087358
12.41905,0.1007713,0.9743844,-0.1090295
12.42062,0.1006275,0.9741635,-0.1090777
12.43217,0.09962644,0.9722338,-0.109495
12.43905,0.09903096,0.9710583,-0.1097249
12.44571,0.09830286,0.9697886,-0.1098705
12.4539,0.09765863,0.9688003,-0.1099622
12.45905,0.09716302,0.9680431,-0.1100568
12.46533,0.09634428,0.9667802,-0.1103765
12.47627,0.09547564,0.9654533,-0.1103745
12.47905,0.0952126,0.965042,-0.1103481
12.48768,0.09447566,0.9638227,-0.110075
12.49879,0.09329275,0.9626182,-0.1097137
12.49905,0.09325774,0.9625858,-0.1097039
12.50988,0.09161489,0.9608485,-0.1093404
12.51905,0.09035605,0.959823,-0.1091372
12.5211,0.09010478,0.9596393,-0.1091031
12.53265,0.08875044,0.9587215,-0.1090666
12.53905,0.08792014,0.9582429,-0.1089635
12.54351,0.08723339,0.9578888,-0.1088375
12.55463,0.08585954,0.9571446,-0.1085943
12.55905,0.08522202,0.9568341,-0.1084642
12.56568,0.08417072,0.9563028,-0.1083001
12.57685,0.08270525,0.9554779,-0.1080345
12.57905,0.08238222,0.9552917,-0.1079723
12.58793,0.08100917,0.9543093,-0.1076865
12.59905,0.07923158,0.953086,-0.1072608
12.60509,0.07827608,0.9523821,-0.1070083
12.60975,0.07789709,0.952009,-0.1070008
12.61811,0.07667977,0.9511279,-0.1067768
12.61905,0.07670934,0.9508773,-0.1067556
12.62886,0.07559336,0.9494027,-0.1065302
12.63905,0.07494646,0.9476091,-0.105963
12.64019,0.07485577,0.9474408,-0.1058865
12.65115,0.07374662,0.9466131,-0.1052615
12.65905,0.07315663,0.9457639,-0.1050783
12.66269,0.07285947,0.9451905,-0.1048656
12.67346,0.07227639,0.9440728,-0.1044719
12.67905,0.07202356,0.9432982,-0.1043305
12.68454,0.07171488,0.9424434,-0.1041255
12.69548,0.071074,0.941187,-0.1035791
12.69905,0.0709941,0.9407029,-0.1032962
12.70669,0.07062831,0.9395114,-0.102763
12.71792,0.07026508,0.9379307,-0.1020624
12.71905,0.07025006,0.9378209,-0.1019336
12.72899,0.06989677,0.9362669,-0.1011549
12.73905,0.06935292,0.9351565,-0.1003622
12.7403,0.06928197,0.9349823,-0.1002519
12.75477,0.06865813,0.9335387,-0.09924268
12.75905,0.0685204,0.9330603,-0.09891056
12.76204,0.06825162,0.9322084,-0.09829757
12.77313,0.06809992,0.9317873,-0.09797944
12.77905,0.06808955,0.9313116,-0.09756561
12.78455,0.06804042,0.9307228,-0.097091
12.79549,0.06808152,0.9294263,-0.09622769
12.79905,0.06811783,0.9291342,-0.09600949
12.80688,0.06819079,0.9282936,-0.09534557
12.81799,0.06829395,0.9275856,-0.09468026
12.81905,0.06831272,0.9276411,-0.09462644
