Time, X, Y, Z
21.69995,-0.1622674,0.898603,0.1394836
24.57996,-0.2023314,0.9012884,0.1701623
27,-0.1669255,0.8931761,0.1472291
29.31995,-0.17137,0.8889365,0.1883128
31.09998,-0.1485514,0.9331063,0.1077595
32.95996,-0.1936079,0.9274957,0.08442999
35.67993,-0.1706527,0.8884295,0.1761646
38.47998,-0.1976443,0.897027,0.1535089
41.30005,-0.1931891,0.8787126,0.146932
44.12,-0.1561936,0.8871372,0.1962811
46.93994,-0.1788233,0.8795174,0.1649687
49.62,-0.1780973,0.8877265,0.186097
52.09998,-0.1639481,0.8755888,0.139597
55.05994,-0.2081169,0.9037644,0.1378942
57.43994,-0.1761571,0.8850749,0.1800577
80.35999,-0.1702047,0.89841,0.1682197
82.88,-0.2164404,0.9029976,0.1271095
84.26001,-0.1376412,0.9195712,0.07726701
86.83997,-0.1710528,0.8933976,0.1577792
89.07996,-0.1687354,0.8738874,0.1697788
91.92004,-0.1706426,0.8883703,0.121367
94.02002,-0.1639694,0.8780158,0.172819
96.43994,-0.157656,0.8676195,0.2093435
98.95996,-0.211213,0.8788977,0.157806
101.4,-0.2045483,0.8891013,0.1904244
103.8,-0.1640236,0.8837785,0.1480964
105.6799,-0.2252371,0.9222227,0.171996
107.48,-0.1162934,0.9189529,0.1107009
109.96,-0.185626,0.8674859,0.1444829
112.4,-0.1654919,0.8877265,0.1744953
134.5,-0.191805,0.9012338,0.1443884
136.3199,-0.2180377,0.9123442,0.1836981
138.98,-0.1895176,0.8922774,0.1699535
141.12,-0.2183218,0.8773849,0.1754756
143.8,-0.231294,0.8646128,0.1361765
146.64,-0.1927941,0.8925244,0.1725088
148.9399,-0.1672753,0.8894368,0.1499408
151.5,-0.2229027,0.897736,0.2050013
153.02,-0.1161803,0.9175463,0.07596739
155.38,-0.2273417,0.8806633,0.1828004
157.74,-0.2176176,0.8831541,0.1661764
162.08,-0.1668086,0.9090599,0.1888844
164.3,-0.2132878,0.8821744,0.1603791
167.8199,-0.1727123,0.8888482,0.176408
171.08,-0.2189678,0.886946,0.1346847
193.1,-0.1806713,0.915127,0.1496378
195.0599,-0.1828433,0.8989897,0.1870761
197.2,-0.2238478,0.8844661,0.1667721
199.4399,-0.2318836,0.8902954,0.191522
202,-0.1542977,0.8883559,0.1571937
204.1799,-0.2417199,0.8843172,0.1441852
207.52,-0.1856822,0.8925081,0.1878274
210.46,-0.2219232,0.8999968,0.1513812
213.08,-0.2215398,0.9030895,0.1931356
216.02,-0.235831,0.884786,0.1736875
218.8199,-0.1790522,0.8824115,0.1697936
221.5,-0.228055,0.8904632,0.1798425
224.5599,-0.218503,0.8791966,0.1521612
231.12,-0.1923668,0.9016788,0.1734449
233.86,-0.1971196,0.8919389,0.1611691
