Time, X, Y, Z
21.69995,-0.1640657,0.86,0.1493039
24.57996,-0.1870415,0.86,0.1855464
27,-0.158158,0.86,0.1557405
29.31995,-0.1588979,0.86,0.2009424
31.09998,-0.1620661,0.86,0.1642844
32.95996,-0.2110615,0.86,0.1384142
35.67993,-0.1652881,0.86,0.1924318
38.47998,-0.1737954,0.86,0.1437217
41.30005,-0.2024573,0.86,0.1645487
44.12,-0.1621978,0.86,0.2001427
46.93994,-0.1765445,0.86,0.1676763
49.62,-0.1674245,0.86,0.2025662
52.09998,-0.162736,0.86,0.1380949
55.05994,-0.1986876,0.86,0.149469
57.43994,-0.1741796,0.86,0.2000841
80.35999,-0.1548604,0.86,0.1687
82.88,-0.2002991,0.86,0.1412371
84.26001,-0.190304,0.86,0.2049978
86.83997,-0.1548494,0.86,0.1380365
89.07996,-0.1757525,0.86,0.1752589
91.92004,-0.1922434,0.86,0.1422076
94.02002,-0.1734225,0.86,0.1721805
96.43994,-0.1524511,0.86,0.2028334
98.95996,-0.2054908,0.86,0.1504766
101.4,-0.1972235,0.86,0.1858301
103.8,-0.1724392,0.86,0.1412766
105.6799,-0.2239489,0.86,0.1946352
107.48,-0.1538815,0.86,0.1966902
109.96,-0.1714402,0.86,0.1434468
112.4,-0.1592721,0.86,0.2011505
134.5,-0.190831,0.86,0.1514211
136.3199,-0.2221364,0.86,0.2091513
138.98,-0.1649742,0.86,0.1583639
141.12,-0.2083122,0.86,0.1868734
143.8,-0.2246114,0.86,0.1403054
146.64,-0.1650458,0.86,0.1908798
148.9399,-0.1511046,0.86,0.1575129
151.5,-0.2058217,0.86,0.2039163
153.02,-0.1682857,0.86,0.1465355
155.38,-0.1978755,0.86,0.2000343
157.74,-0.1755848,0.86,0.1471389
162.08,-0.1688872,0.86,0.2073624
164.3,-0.2129296,0.86,0.1481076
167.8199,-0.155849,0.86,0.1701712
171.08,-0.2089303,0.86,0.1352124
193.1,-0.1723355,0.86,0.1485891
195.0599,-0.1796762,0.86,0.190861
197.2,-0.2083598,0.86,0.1552345
199.4399,-0.2123989,0.86,0.2049119
202,-0.1538208,0.86,0.166608
204.1799,-0.2185849,0.86,0.1384176
207.52,-0.1956807,0.86,0.2013626
210.46,-0.199593,0.86,0.1421544
213.08,-0.2161239,0.86,0.2091809
216.02,-0.2222814,0.86,0.1610813
218.8199,-0.1631889,0.86,0.1783763
221.5,-0.2073747,0.86,0.1860298
224.5599,-0.1839851,0.86,0.1451303
231.12,-0.1898003,0.86,0.1891595
233.86,-0.1621815,0.86,0.1571815
