Time, X, Y, Z
0,-0.2086328,0.9191453,-0.08272266
0.005981445,-0.2084973,0.9190435,-0.08274767
0.01708984,-0.2083833,0.9189979,-0.08277705
0.02001953,-0.2083903,0.9189692,-0.08276767
0.02832031,-0.2085621,0.9187828,-0.08266556
0.03930664,-0.2083446,0.9190421,-0.08280036
0.04003906,-0.2083259,0.9190634,-0.08281144
0.05041504,-0.2078361,0.9192688,-0.08321187
0.05993652,-0.2077693,0.9194707,-0.0834446
0.06201172,-0.2077642,0.9195213,-0.08349156
0.07263184,-0.2078454,0.9193442,-0.08352581
0.07995605,-0.2078579,0.9192563,-0.08355865
0.08398438,-0.2078546,0.9192101,-0.08358803
0.09997559,-0.2076847,0.9191526,-0.08381957
0.104126,-0.2076551,0.9191325,-0.08376059
0.1086426,-0.2076317,0.9191142,-0.0837191
0.1170654,-0.2077267,0.9191412,-0.0835979
0.1199951,-0.2077455,0.9191695,-0.08357164
0.1281738,-0.2077298,0.9192737,-0.08365324
0.1391602,-0.2077723,0.9193155,-0.08380806
0.1400146,-0.207775,0.9193186,-0.08382139
0.1501465,-0.2076331,0.9195555,-0.08370429
0.1600342,-0.2077509,0.9196578,-0.08339339
0.161499,-0.2077694,0.9196668,-0.08334711
0.1726074,-0.2080292,0.919782,-0.08319756
0.1799316,-0.2082145,0.9195224,-0.08312216
0.1834717,-0.2083266,0.9192802,-0.08307824
0.1947021,-0.2085849,0.9189773,-0.08289242
0.1999512,-0.208677,0.9187817,-0.08281776
0.2058105,-0.2087913,0.9184986,-0.08270666
0.2169189,-0.208983,0.9185993,-0.08261052
0.2199707,-0.2090513,0.9186399,-0.08259299
0.2279053,-0.209384,0.918757,-0.08250737
0.2393799,-0.2096108,0.9187136,-0.08270416
0.2399902,-0.2096222,0.9187099,-0.08271772
0.2597656,-0.2100225,0.9186453,-0.08297727
0.2600098,-0.2100328,0.9186422,-0.08297703
0.2642822,-0.2102091,0.9185823,-0.08297774
0.2724609,-0.2104962,0.9184942,-0.08306155
0.2800293,-0.210644,0.9184809,-0.08310655
0.2832031,-0.2106867,0.9184819,-0.08313867
0.2943115,-0.2110256,0.9184689,-0.08319911
0.3000488,-0.2111479,0.9185525,-0.08325142
0.305542,-0.2111313,0.9188352,-0.08333826
0.3165283,-0.2111472,0.9193625,-0.08361679
0.3199463,-0.2111643,0.9195914,-0.08372352
0.3277588,-0.2108587,0.920292,-0.08409372
0.3387451,-0.2108134,0.9206924,-0.08422688
0.3399658,-0.2108204,0.9207325,-0.08422789
0.3498535,-0.2108563,0.9212745,-0.08430469
0.3599854,-0.2107842,0.9215937,-0.0844577
0.3613281,-0.2107572,0.9216182,-0.0844869
0.3725586,-0.2108116,0.9216175,-0.0845412
0.3800049,-0.2108046,0.9216353,-0.08480501
0.3830566,-0.2107609,0.9216431,-0.08503971
0.3944092,-0.2107542,0.9215052,-0.08532169
0.4000244,-0.2107308,0.9214259,-0.08538595
0.4152832,-0.2103052,0.9215565,-0.08574459
0.4197998,-0.2101389,0.9216937,-0.08585346
0.4200439,-0.2101275,0.9217039,-0.08586004
0.4277344,-0.2099504,0.9215403,-0.08643177
0.4387207,-0.2096809,0.9219112,-0.08702171
0.4399414,-0.2096523,0.9219749,-0.08708838
0.449585,-0.2092128,0.9223042,-0.08755818
0.4599609,-0.2087475,0.9221517,-0.08763811
0.4606934,-0.2087153,0.9221269,-0.08763233
0.4719238,-0.2083969,0.9217321,-0.08754349
0.4799805,-0.2082775,0.9214504,-0.08746153
0.4827881,-0.2082703,0.9213555,-0.08743045
0.4937744,-0.2083374,0.9213306,-0.08723316
0.5,-0.2082746,0.9213399,-0.08715165
0.5050049,-0.2080382,0.9213434,-0.08714947
