Time, X, Y, Z
0,0.1994836,0.9326084,0.01084486
0.005981445,0.1995493,0.9325662,0.01080924
0.01708984,0.1993873,0.9325383,0.01043737
0.02001953,0.1993364,0.9324637,0.01033735
0.02832031,0.1992228,0.9319074,0.01006538
0.03930664,0.1994444,0.9321399,0.01013401
0.04003906,0.1994632,0.9321613,0.01014063
0.05041504,0.1996185,0.9319492,0.01013944
0.05993652,0.1996569,0.9312706,0.01032397
0.06201172,0.1996641,0.9311075,0.01036876
0.07263184,0.1992976,0.9308077,0.01055685
0.07995605,0.1992911,0.9303552,0.01066342
0.08398438,0.1993423,0.9300083,0.01072094
0.09997559,0.1996027,0.9296834,0.01062825
0.104126,0.1997137,0.9294784,0.01062429
0.1086426,0.1998023,0.929316,0.01062247
0.1170654,0.1999414,0.9284132,0.01094326
0.1199951,0.200012,0.9281636,0.01104122
0.1281738,0.2003848,0.9276815,0.01127589
0.1391602,0.200513,0.9276919,0.01134008
0.1400146,0.2005223,0.9276991,0.01134232
0.1501465,0.2010368,0.9272154,0.0118196
0.1600342,0.201279,0.9272944,0.01236606
0.161499,0.2013118,0.9273155,0.01243892
0.1726074,0.2016429,0.9275565,0.01273832
0.1799316,0.2016976,0.9275678,0.01277205
0.1834717,0.2016704,0.9275465,0.01276186
0.1947021,0.2014067,0.9272453,0.01303354
0.1999512,0.2014134,0.9271685,0.01303825
0.2058105,0.2015647,0.9271989,0.01292375
0.2169189,0.2017672,0.9272885,0.01266649
0.2199707,0.2018195,0.9272853,0.01258516
0.2279053,0.2018766,0.9271414,0.01251152
0.2393799,0.201728,0.9273114,0.01208359
0.2399902,0.2017166,0.9273259,0.01205513
0.2597656,0.2016952,0.9274781,0.01238662
0.2600098,0.2016945,0.9274781,0.01239729
0.2642822,0.201692,0.9274499,0.01256356
0.2724609,0.2017201,0.9273207,0.01250467
0.2800293,0.201717,0.9273365,0.01231286
0.2832031,0.2017019,0.9273788,0.01215491
0.2943115,0.201523,0.92761,0.01200381
0.3000488,0.2013792,0.9276601,0.01188025
0.305542,0.2011757,0.9275277,0.01159483
0.3165283,0.2009823,0.927836,0.01154774
0.3199463,0.2009218,0.9279867,0.01157558
0.3277588,0.2008493,0.9279246,0.01155025
0.3387451,0.2007607,0.9275486,0.01129737
0.3399658,0.2007486,0.927494,0.01126337
0.3498535,0.2006134,0.9269142,0.01107192
0.3599854,0.2006505,0.9266659,0.01102772
0.3613281,0.2006779,0.9266323,0.01101902
0.3725586,0.2007399,0.9263572,0.0108383
0.3800049,0.2008041,0.926082,0.01067379
0.3830566,0.2008666,0.9258826,0.01055917
0.3944092,0.2010847,0.9258392,0.01096478
0.4000244,0.2012066,0.9258429,0.01117182
0.4152832,0.2013629,0.9254468,0.01091602
0.4197998,0.2013773,0.9253734,0.01081029
0.4200439,0.2013781,0.9253697,0.01080388
0.4277344,0.2011946,0.9253074,0.01045579
0.4387207,0.2011894,0.9249952,0.01000765
0.4399414,0.2011877,0.9249592,0.009961814
0.449585,0.2008587,0.9243926,0.009901106
0.4599609,0.2009,0.9236207,0.009966731
0.4606934,0.2009171,0.9235609,0.0099729
0.4719238,0.2010459,0.9234893,0.01017421
0.4799805,0.2011241,0.9231599,0.01045907
0.4827881,0.2011493,0.922829,0.01064497
0.4937744,0.2011081,0.9218736,0.01099932
0.5,0.2011086,0.921376,0.01113495
0.5050049,0.2010877,0.921263,0.01136401
0.5161133,0.2008511,0.9211407,0.01154792
0.5200195,0.2007398,0.9210982,0.01156926
0.5272217,0.2008343,0.9209712,0.01144615
0.5386963,0.200758,0.9212064,0.01108113
0.5400391,0.2007415,0.9212614,0.01101047
0.5495605,0.2006072,0.9211962,0.01074752
0.5599365,0.2005864,0.9212521,0.0106045
0.5701904,0.2004684,0.9214099,0.01056939
0.574585,0.2003829,0.9214835,0.01057532
0.5799561,0.2003869,0.92162,0.01063412
0.5827637,0.2004369,0.9217163,0.01069221
0.5939941,0.2001867,0.9221098,0.01097336
0.5999756,0.1999602,0.9224195,0.01118642
0.6063232,0.2000631,0.92283,0.01128891
0.6160889,0.2002141,0.9228091,0.01126045
0.6199951,0.2002761,0.922776,0.01124638
0.6271973,0.2002343,0.9227229,0.01146919
0.6385498,0.2000734,0.9228448,0.01171163
0.6400146,0.2000487,0.9228743,0.01173657
0.6496582,0.2001385,0.9228098,0.01184362
0.6600342,0.199925,0.9226506,0.01188713
0.6606445,0.1999048,0.9226484,0.01188472
0.6717529,0.1995825,0.9229563,0.01186842
0.6799316,0.1994787,0.9232532,0.01194367
0.6827393,0.1994862,0.9233539,0.01201296
0.6937256,0.1995576,0.923512,0.01224679
0.6999512,0.1996654,0.9236051,0.01234242
0.7050781,0.1997299,0.923735,0.01235181
0.7199707,0.1996989,0.923685,0.01222253
0.7252197,0.1996558,0.923607,0.01217893
0.7296143,0.1996638,0.9236734,0.01192474
0.7384033,0.1996022,0.923439,0.01175621
0.7399902,0.1995881,0.9233804,0.01174301
0.7493896,0.1998733,0.9231554,0.01173338
0.7600098,0.2001515,0.9229013,0.01185763
0.7606201,0.2001548,0.9228863,0.01187262
0.7716064,0.2003441,0.9226185,0.01185498
