Time, X, Y, Z
6.112549,-0.1775532,0.9138813,0.1128916
16.90778,-0.158805,0.90078,0.1410363
22.56146,-0.1692655,0.8906077,0.1131888
28.46783,-0.1345409,0.9016975,0.1592432
35.76141,-0.2264287,0.8877512,0.1854337
40.68536,-0.1226919,0.9040638,0.1787605
52.32141,-0.1983259,0.8968821,0.2064587
61.10144,-0.1574958,0.9039605,0.2242587
74.68146,-0.1891745,0.9060794,0.1872407
79.67822,-0.2032917,0.8849531,0.1740536
89.92145,-0.1158615,0.9023525,0.01897766
93.76141,-0.1921654,0.8973978,0.1845416
112.3214,-0.137524,0.9187118,0.1653449
119.3814,-0.1972364,0.9119298,0.1638656
125.0214,-0.1978888,0.8994864,0.1623141
129.6014,-0.2148608,0.8912481,0.1419381
134.4014,-0.1722278,0.9223878,0.1727838
141.2814,-0.2117343,0.8764758,0.1990752
146.3015,-0.1952117,0.9006572,0.2098599
152.7889,-0.1050781,0.916635,-0.03563983
158.5814,-0.188903,0.9154108,0.1251266
162.5414,-0.2080677,0.9106074,0.174044
191.9014,-0.213394,0.901354,0.2000335
195.4014,-0.1960761,0.9075462,0.1832474
200.0614,-0.1903669,0.8851918,0.1464252
203.4214,-0.2604358,0.8966877,0.1521091
208.4014,-0.1406286,0.8963877,0.1552268
212.8615,-0.1727458,0.8825279,0.08643518
217.9214,-0.1993372,0.896723,0.1505435
222.2014,-0.1641479,0.8860142,0.1400508
225.7014,-0.1548278,0.9269027,0.1722714
229.3615,-0.2152161,0.8987279,0.18137
233.9414,-0.1640558,0.8857148,0.1040338
241.0414,-0.1640894,0.8941581,0.221183
244.7014,-0.1358486,0.9080648,0.07959946
248.3214,-0.2223309,0.8955894,0.1842441
251.0414,-0.1537571,0.9221321,0.06425082
274.3214,-0.1797913,0.8871364,0.2162217
278.1614,-0.2223062,0.8880121,0.1334812
280.8864,-0.2037205,0.8918036,0.1836921
285.5814,-0.2088518,0.8909021,0.1589767
288.1614,-0.1572965,0.8982422,0.1590985
293.3815,-0.1606789,0.9107888,0.1422293
295.5614,-0.1021451,0.9080397,0.0414392
300.2415,-0.1326651,0.8931646,0.1642243
302.8414,-0.146547,0.9065561,0.1005153
306.5614,-0.168766,0.8998839,0.1630536
310.9614,-0.2103543,0.8596445,0.1462558
314.2214,-0.1884194,0.894592,0.1374194
318.5215,-0.2016831,0.8830823,0.1895267
327.6415,-0.1864597,0.8912306,0.1492046
330.7814,-0.1840473,0.895467,0.1552029
335.2415,-0.1755876,0.8895751,0.1362152
358.7615,-0.150759,0.9203542,0.1664029
367.8615,-0.1754685,0.8926774,0.1735133
370.9014,-0.2140643,0.8957515,0.1503481
374.4414,-0.1686315,0.8879935,0.145117
377.7615,-0.2157258,0.9057177,0.1326841
381.8214,-0.1849673,0.9122104,0.1227222
391.3815,-0.1696236,0.9105647,0.210546
398.5215,-0.1787778,0.8658086,0.1379792
403.2214,-0.1783313,0.8668903,0.1752922
407.5814,-0.2500065,0.8783441,0.1708073
412.6415,-0.1642946,0.8901982,0.1389309
416.6215,-0.04255265,0.8965452,0.05892874
419.6215,-0.2191824,0.8788656,0.1425267
424.3414,-0.2223494,0.8864356,0.2095067
428.8214,-0.2263842,0.8845074,0.1911906
