Time, X, Y, Z
6.112549,-0.2158165,0.86,0.173894
16.90778,-0.1805734,0.86,0.1817987
22.56146,-0.166748,0.86,0.1370696
28.46783,-0.1514724,0.86,0.1766801
35.76141,-0.1982371,0.86,0.1837529
40.68536,-0.1534656,0.86,0.1655094
52.32141,-0.2144369,0.86,0.197162
61.10144,-0.1791417,0.86,0.2001723
74.68146,-0.2233362,0.86,0.1819765
79.67822,-0.1703801,0.86,0.1624674
89.92145,-0.2095717,0.86,0.1596277
93.76141,-0.1678143,0.86,0.1926189
112.3214,-0.204444,0.86,0.1738451
119.3814,-0.1800294,0.86,0.1405077
125.0214,-0.2041107,0.86,0.1811188
129.6014,-0.1563705,0.86,0.1453004
134.4014,-0.1759261,0.86,0.2065894
141.2814,-0.1707607,0.86,0.1617896
146.3015,-0.1993794,0.86,0.1995544
152.7889,-0.1533893,0.86,0.2023939
158.5814,-0.1921592,0.86,0.1382588
162.5414,-0.1753915,0.86,0.1837434
191.9014,-0.2207608,0.86,0.2059774
195.4014,-0.1948955,0.86,0.1806518
200.0614,-0.1735024,0.86,0.150096
203.4214,-0.2198981,0.86,0.18763
208.4014,-0.1595798,0.86,0.175289
212.8615,-0.189438,0.86,0.1423192
217.9214,-0.2228787,0.86,0.1707292
222.2014,-0.164253,0.86,0.1435322
225.7014,-0.1678493,0.86,0.1897382
229.3615,-0.2211609,0.86,0.2010759
233.9414,-0.2003653,0.86,0.1392674
241.0414,-0.1857231,0.86,0.2091386
244.7014,-0.221925,0.86,0.1428819
248.3214,-0.1813027,0.86,0.1777887
251.0414,-0.2056031,0.86,0.1401901
274.3214,-0.1937755,0.86,0.2036108
278.1614,-0.2120492,0.86,0.148321
280.8864,-0.1811553,0.86,0.175856
285.5814,-0.2201047,0.86,0.175081
288.1614,-0.159463,0.86,0.1531074
293.3815,-0.1851568,0.86,0.1929653
295.5614,-0.2217221,0.86,0.1406863
300.2415,-0.1567584,0.86,0.1998226
302.8414,-0.2175533,0.86,0.1566475
306.5614,-0.1622265,0.86,0.1609933
310.9614,-0.215269,0.86,0.1584938
314.2214,-0.1690352,0.86,0.1505022
318.5215,-0.205975,0.86,0.1990164
327.6415,-0.1747049,0.86,0.1574332
330.7814,-0.1852747,0.86,0.1958887
335.2415,-0.1545948,0.86,0.1446543
358.7615,-0.2223005,0.86,0.1953398
367.8615,-0.1810232,0.86,0.1801129
370.9014,-0.1976182,0.86,0.1361288
374.4414,-0.1795064,0.86,0.1942279
377.7615,-0.2018179,0.86,0.1472502
381.8214,-0.1571363,0.86,0.1614977
391.3815,-0.1845675,0.86,0.2002366
398.5215,-0.1697664,0.86,0.1477649
403.2214,-0.1767048,0.86,0.2000706
407.5814,-0.2129489,0.86,0.1357421
412.6415,-0.179824,0.86,0.1691549
416.6215,-0.2197906,0.86,0.1743316
419.6215,-0.1762203,0.86,0.1963362
424.3414,-0.2200704,0.86,0.1971883
428.8214,-0.1840183,0.86,0.1928418
