Time, X, Y, Z
6.103516E-05,-0.2481556,0.9205083,-0.1132555
0.001403809,-0.2481609,0.9205019,-0.1132621
0.0112915,-0.2482103,0.9205494,-0.1132808
0.02142334,-0.2482642,0.9204885,-0.1133214
0.02246094,-0.2482714,0.9204727,-0.1133214
0.03344727,-0.2481498,0.9203234,-0.1132307
0.04144287,-0.2480964,0.9202888,-0.113116
0.0446167,-0.2481051,0.9203448,-0.1130623
0.0557251,-0.248185,0.9203579,-0.1128909
0.0614624,-0.2482581,0.9203439,-0.1128325
0.06665039,-0.2482221,0.9202856,-0.1128429
0.07781982,-0.2482739,0.9201629,-0.112993
0.0814209,-0.2483375,0.9201475,-0.11306
0.09796143,-0.2480682,0.9203505,-0.1133136
0.1014404,-0.247914,0.9203192,-0.1133696
0.1029053,-0.2478746,0.920332,-0.1133927
0.1110229,-0.2478808,0.920324,-0.1133377
0.12146,-0.248004,0.9203313,-0.1132207
0.1222534,-0.2480199,0.920341,-0.1132106
0.1333618,-0.2480315,0.9204574,-0.1131392
0.1414185,-0.2479535,0.9204946,-0.1131025
0.1443481,-0.2478968,0.9204087,-0.1130708
0.1557617,-0.2479518,0.9204746,-0.1129498
0.161438,-0.2479753,0.9205928,-0.1129284
0.166687,-0.2479382,0.9205738,-0.1130999
0.1777954,-0.2478873,0.9205506,-0.1133503
0.1814575,-0.2478458,0.9205264,-0.1134275
0.1887817,-0.2478651,0.9204876,-0.1133655
0.1999512,-0.2477883,0.9203095,-0.1133362
0.201416,-0.2477787,0.9202796,-0.1133382
0.2109375,-0.247723,0.9201513,-0.1133166
0.2214355,-0.2476253,0.9199613,-0.1132772
0.222168,-0.2476184,0.9199451,-0.1132692
0.2333984,-0.2475318,0.9197464,-0.1131459
0.2414551,-0.2478033,0.9197961,-0.1131482
0.2528687,-0.2477154,0.9203326,-0.113086
0.2576904,-0.24778,0.9201777,-0.112965
0.2614136,-0.2478131,0.9201787,-0.1129346
0.2664185,-0.247833,0.9200885,-0.1130281
0.2775269,-0.2477098,0.919993,-0.1130772
0.2814331,-0.2477255,0.9200096,-0.1130562
0.2886353,-0.2477427,0.9198033,-0.113124
0.2997437,-0.2477445,0.9194954,-0.1132501
0.3014526,-0.247731,0.9198298,-0.1132673
0.310791,-0.2478297,0.9199122,-0.1133208
0.3214111,-0.2480178,0.9198761,-0.1132563
0.3218994,-0.2479202,0.919902,-0.1132293
0.333313,-0.2478412,0.9199651,-0.113139
0.3414307,-0.2478017,0.9202783,-0.1133269
0.3441772,-0.2479061,0.9203241,-0.1131495
0.3554077,-0.2480707,0.9205263,-0.1129364
0.3614502,-0.2478721,0.920592,-0.1130843
0.3664551,-0.2477645,0.9205785,-0.113075
0.3776855,-0.2476269,0.920471,-0.1130124
0.3814087,-0.2476264,0.920459,-0.1129424
0.3887939,-0.2474975,0.9204818,-0.1128784
0.4014282,-0.2476247,0.9200295,-0.1127009
0.4083252,-0.2478284,0.9196224,-0.112608
0.4129028,-0.2479389,0.9196252,-0.1126483
0.4214478,-0.2481877,0.9193606,-0.1126305
0.421814,-0.2481507,0.9196405,-0.1128021
0.4331665,-0.2483354,0.9198482,-0.1130489
0.4414063,-0.2482074,0.9194896,-0.112761
0.4442139,-0.24818,0.919434,-0.1127336
0.4553833,-0.24816,0.9193061,-0.1126661
0.4614258,-0.2482797,0.9195243,-0.11272
0.4664917,-0.2481802,0.919722,-0.1127586
0.4778442,-0.2479582,0.9200491,-0.1128293
0.4814453,-0.2479995,0.9201254,-0.1128403
0.4889526,-0.2479606,0.9200964,-0.1126849
0.5001831,-0.2479427,0.9199245,-0.1123811
0.5014038,-0.248058,0.9199272,-0.1123882
0.5112305,-0.2481432,0.9200661,-0.1122122
0.5214233,-0.2480386,0.9203681,-0.112251
0.522583,-0.2479938,0.920402,-0.1123099
0.5337524,-0.2479758,0.9207431,-0.1123352
0.5414429,-0.2480157,0.9206915,-0.1127022
0.5450439,-0.2479496,0.9204686,-0.1126572
0.5614624,-0.2479827,0.920064,-0.1126545
0.5648804,-0.2479909,0.9199756,-0.1126652
0.5691528,-0.2480421,0.9203059,-0.1126691
0.5779419,-0.248096,0.920583,-0.1126812
0.5814209,-0.2481571,0.9202305,-0.1126596
0.5888062,-0.2482108,0.9200106,-0.1126345
0.6001587,-0.2476583,0.9198692,-0.1124303
0.6014404,-0.2478184,0.9198189,-0.1123748
0.611145,-0.2477866,0.9195682,-0.1121107
0.62146,-0.2477587,0.9194344,-0.112415
0.6223145,-0.2477566,0.9194217,-0.1124249
0.6334839,-0.2480342,0.9193082,-0.1126339
0.6414185,-0.247897,0.9194106,-0.1126086
0.6445313,-0.2478601,0.9194363,-0.1126166
0.6556396,-0.2480772,0.9197211,-0.1124611
0.661438,-0.247992,0.9195963,-0.1122149
0.666748,-0.2479443,0.9195484,-0.1120355
0.6777344,-0.2480774,0.919085,-0.1119305
0.6814575,-0.2479683,0.9193723,-0.1119907
0.6888428,-0.2478672,0.9195386,-0.1119732
0.7001953,-0.2480697,0.9195911,-0.1124611
0.701416,-0.2479659,0.9196757,-0.1122964
0.7196045,-0.2475548,0.9197832,-0.111967
0.7214355,-0.2475105,0.9197772,-0.1119299
0.723938,-0.247384,0.9198364,-0.1119607
0.7332153,-0.2471314,0.9199728,-0.1119086
0.7414551,-0.2468708,0.9200849,-0.1116309
0.7443848,-0.2467521,0.9201385,-0.1115397
0.7554932,-0.2468704,0.9196562,-0.1114783
0.7614136,-0.2466566,0.9195639,-0.1113404
0.7667847,-0.2464619,0.9193922,-0.1112678
0.7776489,-0.2468556,0.9187812,-0.1109884
0.7814331,-0.246775,0.9188002,-0.1109565
0.7889404,-0.2467342,0.9186036,-0.110804
0.8001709,-0.2461918,0.9182111,-0.1106858
0.8014526,-0.2462876,0.9181076,-0.1106469
0.8109741,-0.2462071,0.9177209,-0.1104913
0.8214111,-0.2465027,0.9178751,-0.1103913
0.8220215,-0.2465114,0.9178745,-0.1103856
0.833252,-0.2462445,0.9176621,-0.1103656
0.8414307,-0.2462724,0.917815,-0.1100523
0.8442993,-0.2462539,0.9178548,-0.1099336
0.8556519,-0.2461846,0.9176289,-0.1098755
0.8614502,-0.2461364,0.9175687,-0.1097037
0.8751831,-0.2459656,0.9173453,-0.109505
0.8800659,-0.2459074,0.9172807,-0.1094397
0.8814087,-0.2459514,0.9175012,-0.1095456
0.8886719,-0.245916,0.9176629,-0.1095351
0.8999634,-0.2458081,0.9175311,-0.1097102
0.9014282,-0.2457942,0.9175349,-0.1097063
0.9109497,-0.2457041,0.9174793,-0.1097925
0.9214478,-0.2454958,0.9172328,-0.1099011
0.921936,-0.2454872,0.9172232,-0.1099063
0.9331055,-0.2457848,0.9170989,-0.1100102
0.9414063,-0.2455371,0.9174674,-0.1098608
0.944519,-0.2454777,0.9175766,-0.1098311
0.9554443,-0.2459674,0.9179413,-0.1095431
0.9614258,-0.2460643,0.9174861,-0.1096669
0.9664307,-0.2461945,0.9172462,-0.1097179
1.477478,-0.2482305,0.9147221,-0.1076833
1.481445,-0.2481604,0.9145711,-0.1076128
1.497498,-0.2479392,0.9138595,-0.1073262
1.501404,-0.2479165,0.913641,-0.1072458
1.502136,-0.2479141,0.9136106,-0.107235
1.510742,-0.2477041,0.9138174,-0.1070164
1.521423,-0.2478561,0.9137809,-0.1066044
1.522217,-0.2478824,0.9137771,-0.1065384
1.533142,-0.2476785,0.9134238,-0.1064234
1.541443,-0.2478106,0.9130741,-0.1063
1.544128,-0.2478682,0.9129496,-0.1062338
1.555359,-0.2478755,0.9126731,-0.1059611
1.561462,-0.247806,0.9125348,-0.1058434
1.566345,-0.2477451,0.9123934,-0.1057314
1.577515,-0.2475141,0.9123471,-0.1058728
1.581421,-0.2475002,0.9122471,-0.1057346
1.588623,-0.2474498,0.9120461,-0.105495
1.599792,-0.247587,0.9112988,-0.1052581
1.60144,-0.2476174,0.911279,-0.1052132
1.610901,-0.2477851,0.9111031,-0.1049785
1.62146,-0.247762,0.9107745,-0.1045972
1.62207,-0.2477592,0.9107541,-0.1045773
1.63324,-0.2478307,0.9104701,-0.1043887
1.641418,-0.2477612,0.9102699,-0.1042455
1.653503,-0.2476953,0.9105304,-0.1039684
1.658081,-0.247678,0.9106634,-0.1038692
1.661438,-0.2477124,0.9105715,-0.1039303
1.66626,-0.2477328,0.9106012,-0.1039015
1.676819,-0.2477281,0.9107322,-0.1038659
1.681458,-0.2477444,0.9106429,-0.1038516
1.68811,-0.2477536,0.9104487,-0.1038126
1.699158,-0.2478924,0.9102128,-0.1036121
1.701416,-0.2479181,0.9101841,-0.1035485
1.710083,-0.2479541,0.9101025,-0.1032229
1.721436,-0.2478006,0.9095632,-0.1030954
1.721497,-0.2478004,0.9095571,-0.103095
1.732483,-0.2479797,0.9089752,-0.1026566
1.741455,-0.2481491,0.9086385,-0.1022037
1.743591,-0.2482064,0.9085241,-0.102045
1.754578,-0.2484526,0.9080694,-0.1014916
1.761414,-0.2485687,0.9077411,-0.1013252
1.765686,-0.2486499,0.9074842,-0.1012253
1.776855,-0.2488835,0.9071061,-0.1008428
1.781433,-0.2487806,0.9070284,-0.1007702
1.788147,-0.2485115,0.9069562,-0.1006942
1.801453,-0.2485208,0.9066862,-0.1005705
1.80835,-0.248553,0.9065968,-0.1003375
1.812866,-0.2485628,0.9065402,-0.100235
1.821106,-0.2482501,0.9065572,-0.1000809
1.821411,-0.2482405,0.906557,-0.1000749
1.832825,-0.2481895,0.9068335,-0.0999101
1.841431,-0.2482004,0.906512,-0.09997839
1.843506,-0.2482031,0.9064407,-0.09999272
1.854675,-0.2481178,0.9065878,-0.09979543
1.86145,-0.2480913,0.906535,-0.09958825
1.865662,-0.2480823,0.9064584,-0.09941989
1.876709,-0.248041,0.9062914,-0.09892727
1.881409,-0.2479472,0.9063282,-0.09879208
1.888062,-0.2477555,0.9064884,-0.09865835
1.89917,-0.2476873,0.9064726,-0.09849592
1.901428,-0.2476645,0.9064598,-0.09847127
1.910034,-0.2476321,0.9063944,-0.0984353
1.921204,-0.2472568,0.9060798,-0.0983355
1.921448,-0.2472473,0.906072,-0.09833315
1.932251,-0.246861,0.9055122,-0.09809428
1.941406,-0.2466303,0.9055033,-0.0979262
1.943359,-0.246586,0.9055098,-0.09788947
1.961426,-0.2465473,0.9053321,-0.09749492
1.963379,-0.2465236,0.9053053,-0.09747057
1.967651,-0.2464741,0.9052694,-0.09741403
1.976501,-0.2462248,0.9049827,-0.09733121
1.981445,-0.2460833,0.9048265,-0.09728119
1.987976,-0.2458696,0.9045952,-0.09717882
1.998901,-0.2457747,0.9045004,-0.09703024
2.001404,-0.2457571,0.9044676,-0.09699453
2.009888,-0.2454734,0.9041453,-0.09680901
2.021179,-0.2453055,0.9040086,-0.0967131
2.021423,-0.2453015,0.9040056,-0.09671105
2.032349,-0.245456,0.9038036,-0.09627157
2.041443,-0.2456111,0.9034072,-0.09611587
2.043457,-0.2456447,0.9033021,-0.09607749
2.054626,-0.2456998,0.9030885,-0.09562251
2.061462,-0.2456367,0.9029442,-0.09552597
2.065796,-0.2455553,0.9028252,-0.09549491
2.07666,-0.2457544,0.9026555,-0.09515065
2.081421,-0.2458672,0.9024978,-0.09505822
2.087891,-0.2460759,0.9021559,-0.09505165
2.09906,-0.2461829,0.901654,-0.09495209
2.10144,-0.2462093,0.9015349,-0.09492125
2.119812,-0.2462678,0.9006504,-0.0951107
2.12146,-0.246245,0.9005494,-0.09514144
2.124939,-0.2462105,0.9003449,-0.0951966
2.132202,-0.2462054,0.9003286,-0.09513801
2.141418,-0.2462654,0.9001645,-0.09523448
2.142517,-0.2462824,0.9001228,-0.09526712
2.153564,-0.2464712,0.9000727,-0.09528808
2.161438,-0.2465671,0.8999631,-0.09520584
2.164673,-0.2465605,0.8998587,-0.0951138
2.175781,-0.2467781,0.8999614,-0.09483901
2.181458,-0.2469292,0.9000918,-0.09471583
2.186951,-0.2471619,0.9001664,-0.09464821
2.198059,-0.2473945,0.9003147,-0.09467484
2.201416,-0.2474487,0.9003279,-0.09468231
2.209229,-0.2476447,0.9001397,-0.09440064
2.421448,-0.2486234,0.8981689,-0.09528151
2.429504,-0.2486113,0.8984227,-0.09514716
2.434692,-0.2486021,0.898621,-0.09503578
2.441406,-0.2485746,0.8987639,-0.09496732
2.442505,-0.2485539,0.8987942,-0.09495234
2.453552,-0.2482882,0.8985521,-0.09477596
2.461426,-0.248217,0.8983249,-0.09467739
2.4646,-0.2482143,0.8982596,-0.09469025
2.475647,-0.2482918,0.8979766,-0.09471476
2.481445,-0.2482985,0.8979168,-0.09470002
2.487,-0.2483063,0.8979884,-0.09462667
2.498169,-0.2482529,0.8979322,-0.09464633
2.501404,-0.248216,0.8979497,-0.09460919
2.509705,-0.2481067,0.8979677,-0.09441219
2.520447,-0.2481776,0.897873,-0.09419657
2.521423,-0.2481847,0.8978599,-0.0941709
2.531433,-0.2480859,0.897585,-0.09400056
2.541443,-0.2480665,0.8975427,-0.09389414
2.542542,-0.2480689,0.8975458,-0.0938839
2.554993,-0.2480708,0.8972372,-0.09379517
2.561462,-0.2480784,0.8970817,-0.09392777
2.565735,-0.2481052,0.8970604,-0.09411825
2.581421,-0.2480986,0.8972031,-0.09398152
2.584534,-0.248096,0.8972352,-0.09393373
2.589172,-0.2481186,0.8972478,-0.09407999
2.598022,-0.2480014,0.8973162,-0.0941695
2.60144,-0.2479443,0.8973514,-0.0941779
2.609131,-0.2480235,0.8972527,-0.09420797
2.620361,-0.2481669,0.8974226,-0.09420832
2.62146,-0.2481764,0.8974589,-0.09420654
2.631348,-0.2483323,0.8977057,-0.09416726
2.641418,-0.2483183,0.8977023,-0.09434241
2.642456,-0.2483029,0.897695,-0.09436996
2.653625,-0.2482096,0.8975223,-0.09460418
2.661438,-0.2482021,0.8972735,-0.09474069
2.664795,-0.2482636,0.8971589,-0.09476872
2.67572,-0.24858,0.8969267,-0.0947832
2.681458,-0.2487217,0.8967659,-0.09481181
2.687012,-0.2487614,0.8965877,-0.094868
2.697998,-0.2489661,0.8966333,-0.09478968
2.701416,-0.2490614,0.8967183,-0.09476152
2.709229,-0.2490486,0.8967841,-0.09467313
2.720337,-0.2491911,0.8967272,-0.09455325
2.721436,-0.2492058,0.8967116,-0.09454037
2.740479,-0.2489717,0.8963739,-0.09402649
2.741455,-0.2492209,0.896179,-0.09395932
2.744751,-0.2492926,0.8959833,-0.09383835
2.753296,-0.2494416,0.895537,-0.09357621
2.761414,-0.2490194,0.8956167,-0.09331207
2.764526,-0.2490052,0.8954592,-0.09326465
2.775818,-0.2488808,0.8952337,-0.09317991
2.781433,-0.2487742,0.8951453,-0.09319463
2.786804,-0.2485084,0.8952074,-0.09326662
2.798035,-0.2481802,0.8953494,-0.09339555
2.801453,-0.2483482,0.8953215,-0.09333226
2.809326,-0.248213,0.8953854,-0.09339327
2.820618,-0.248209,0.895345,-0.09332582
2.821411,-0.2482197,0.8953368,-0.0933059
2.83197,-0.2481095,0.8951229,-0.09308569
2.841431,-0.2478623,0.8948457,-0.093042
2.843079,-0.247977,0.8947908,-0.09315108
2.854309,-0.2479215,0.894796,-0.09326017
2.86145,-0.2478677,0.8949316,-0.09340592
2.865784,-0.2477287,0.8951031,-0.09354676
2.877014,-0.2475468,0.8955226,-0.09386913
2.881409,-0.2475617,0.8957373,-0.09396586
2.896667,-0.2473371,0.896049,-0.09381044
2.901367,-0.247327,0.8962395,-0.09379554
2.901428,-0.2473263,0.8962419,-0.09379524
2.910034,-0.2474237,0.8963647,-0.09373167
2.921265,-0.2478729,0.8961861,-0.09367114
2.921448,-0.2478825,0.8961808,-0.09367058
2.932251,-0.2482084,0.8959535,-0.09359336
2.941406,-0.2483766,0.8958045,-0.09361903
2.94342,-0.2484148,0.8957669,-0.09364116
2.954651,-0.2486355,0.8953508,-0.09361772
2.961426,-0.248814,0.8950311,-0.09357762
2.965759,-0.2489365,0.8949498,-0.09361202
2.976746,-0.2491239,0.8947924,-0.09361139
2.981445,-0.2490363,0.8951417,-0.09347546
2.987976,-0.2491237,0.8952172,-0.09341764
2.99884,-0.2492578,0.895272,-0.09339523
3.001404,-0.2491554,0.8952176,-0.09362561
3.010071,-0.2492086,0.8953202,-0.09363994
3.021423,-0.2490875,0.8953742,-0.09378913
3.021667,-0.2490877,0.8953742,-0.09378886
3.03241,-0.2492279,0.8954695,-0.09368712
3.041443,-0.2493215,0.8954068,-0.09353411
3.052185,-0.2491996,0.8952023,-0.093384
3.05658,-0.2491483,0.8952109,-0.09362045
3.061462,-0.2491197,0.8951793,-0.0937378
3.06543,-0.2491352,0.8953264,-0.09359953
3.076599,-0.2490292,0.8954858,-0.09340036
3.081421,-0.2490096,0.8953167,-0.09341015
3.087769,-0.2491601,0.8952487,-0.09320034
3.098999,-0.2492333,0.8949617,-0.09296525
3.10144,-0.2492021,0.8944511,-0.09317122
3.109985,-0.2492764,0.8940973,-0.09314407
3.121094,-0.2493975,0.893822,-0.09307392
3.12146,-0.2492307,0.8939475,-0.09312537
3.132202,-0.2492176,0.8939846,-0.09309462
3.141418,-0.2489422,0.8936276,-0.09336199
3.143494,-0.2489781,0.8936587,-0.09352295
3.15448,-0.2491007,0.8936239,-0.09407647
3.161438,-0.2492621,0.8934969,-0.09396873
3.165588,-0.2493373,0.8934546,-0.09402257
3.176819,-0.2488328,0.8929023,-0.09424317
3.181458,-0.2489678,0.892974,-0.09455076
3.188049,-0.2489738,0.8930458,-0.09457013
3.201416,-0.2490686,0.8929287,-0.09453234
3.208618,-0.249048,0.8927438,-0.09464477
3.213501,-0.2491244,0.8929479,-0.09457514
3.221008,-0.2492336,0.8930625,-0.0945622
3.221436,-0.2490562,0.8932421,-0.09478658
3.231018,-0.2487838,0.8938222,-0.09529573
3.241455,-0.2491587,0.8939545,-0.09507756
3.242065,-0.2491726,0.8939714,-0.09507819
3.253235,-0.2494736,0.8943381,-0.09470165
3.261414,-0.2493523,0.894191,-0.0947009
3.264465,-0.2493323,0.894163,-0.09467265
3.275513,-0.2496783,0.8945487,-0.09457566
3.281433,-0.2497732,0.8947829,-0.09468248
3.286621,-0.2499046,0.8949954,-0.09474772
