Time, X, Y, Z
0,0.1723418,0.9018736,0.1866526
0,0.2361099,0.9002804,0.1720394
0,0.1775679,0.9423907,0.1964879
0,-0.1575361,0.8871742,0.1420283
0,-0.1980137,0.9295836,0.1553582
0,-0.2246452,0.8915141,0.1456961
0,0.2295559,0.9144056,0.2080255
0,0.1965662,0.891229,0.1486159
0,-0.1957377,0.90021,0.1616932
0,-0.2000489,0.9330803,0.1823458
0,-0.1593309,0.9296998,0.1001175
0,-0.2565142,0.8983326,0.2149688
0,-0.1470723,0.9161561,0.1547093
0,-0.2271732,0.8920644,0.1154869
0,-0.1736872,0.9372137,0.1243821
0,-0.1990267,0.8943164,0.143916
0,-0.2136582,0.8966063,0.2040977
0,-0.06099558,0.8858145,0.02514394
0,-0.1660711,0.9293832,0.1327199
0,-0.1607067,0.9167784,0.0925857
0,-0.2014684,0.9096298,0.1244871
0,0.1706632,0.8971029,0.1705544
0,-0.2126463,0.9017382,0.1417024
0,-0.1711426,0.9087641,0.1447656
0,-0.1905852,0.9280055,0.1480969
0,-0.07154095,0.8854617,0.007966945
0,-0.1129852,0.8864469,0.004567575
0,-0.1629483,0.9072303,0.1810407
0,-0.2160516,0.8929282,0.1533915
0,-0.1852302,0.9001431,0.1653322
0,-0.2259758,0.9127135,0.1892676
0,-0.1774566,0.8974403,0.1442874
0,-0.2007912,0.8905894,0.1312816
0,-0.1489081,0.8992457,-0.0113813
0,-0.222072,0.8945055,0.132489
0,-0.1768782,0.8954592,0.1743769
13.91257,-0.1501105,0.9265739,0.1768956
16.51257,-0.1674291,0.9041768,0.1664118
19.21259,-0.2262563,0.888419,0.1504581
22.81259,-0.2065925,0.9355701,0.1473499
26.03259,-0.1670121,0.8948994,0.1918184
29.21259,-0.222325,0.90025,0.1741265
31.71259,-0.162536,0.9182584,0.1644575
34.43259,-0.1682899,0.8873802,0.1486441
37.13257,-0.1984823,0.8917279,0.1514595
39.83258,-0.1497121,0.8934475,0.1209104
42.75259,-0.2075297,0.9185451,0.1308268
46.35257,-0.1816221,0.8967915,0.1818177
50.29257,-0.2225647,0.9006582,0.1878269
53.91257,-0.1895178,0.8950373,0.1427113
59.65259,-0.1666722,0.8934505,0.2065215
81.87259,-0.2108311,0.9075983,0.1686297
84.5726,-0.157743,0.8960332,0.2026635
87.11258,-0.1903964,0.938603,0.1237703
91.1926,-0.1913355,0.8785877,0.1353135
93.55258,-0.1764604,0.894599,0.2008561
96.75259,-0.1800485,0.9109249,0.1379122
98.79929,-0.2153374,0.899919,0.1948539
103.9326,-0.1857106,0.8931881,0.1702179
106.3526,-0.1934129,0.9089458,0.1596899
110.0526,-0.1807433,0.9011374,0.1898207
112.8726,-0.2373761,0.8905289,0.1454218
116.9326,-0.1952156,0.9132899,0.136376
119.1926,-0.1764762,0.9032252,0.1087479
122.8126,-0.1436482,0.9278789,0.1108741
127.7326,-0.2142214,0.9021483,0.1726566
131.7926,-0.1915861,0.9024199,0.1541077
154.4926,-0.1748834,0.9010258,0.2052349
157.0926,-0.2297363,0.9213086,0.1731601
159.4126,-0.1903685,0.8868831,0.1658936
164.2326,-0.1887317,0.8855639,0.2073955
169.2526,-0.1852392,0.893751,0.1489298
173.2526,-0.2001974,0.8959679,0.158994
175.1926,-0.1924347,0.9179028,0.1374986
177.8326,-0.1342342,0.9206029,0.0884122
181.3726,-0.2329969,0.8909796,0.1855981
184.3925,-0.1735045,0.8839415,0.147602
186.8326,-0.1499434,0.9236184,0.1572087
190.7926,-0.1972508,0.8938098,0.1741536
193.9126,-0.2062845,0.8955584,0.1284101
196.6926,-0.1919221,0.8957627,0.1677371
199.8925,-0.2140932,0.8857636,0.1711001
222.2526,-0.1693544,0.9065757,0.1839446
225.1526,-0.2004971,0.893894,0.1612975
228.6926,-0.1628633,0.887449,0.1753824
232.2326,-0.1931066,0.8864757,0.1978621
234.6066,-0.1873586,0.8946171,0.1508705
239.4526,-0.1372568,0.9155187,0.118554
243.4926,-0.2257516,0.8946185,0.174371
245.8326,-0.1090606,0.9248667,0.07764508
249.8726,-0.2141609,0.8941178,0.1597578
252.6126,-0.2047457,0.9074087,0.1878256
257.0726,-0.05769707,0.8854511,-0.0210521
259.0326,-0.1870572,0.9156647,0.1190221
261.5526,-0.2113991,0.9103416,0.1164521
265.4726,-0.1912541,0.8943322,0.2038797
268.3326,-0.2425337,0.8907677,0.1560259
270.4326,-0.1262865,0.9363773,0.115099
