Time, X, Y, Z
0,-0.1572883,0.86,0.1485062
0,-0.1824718,0.86,0.1860002
0,-0.2038682,0.86,0.1404193
0,-0.1934237,0.86,0.1872972
0,-0.1532905,0.86,0.1811237
0,-0.1655114,0.86,0.1398672
0,-0.207309,0.86,0.1931076
0,-0.1501952,0.86,0.1791444
0,-0.2047524,0.86,0.1451658
0,-0.1615105,0.86,0.2013991
0,-0.1856097,0.86,0.1419858
0,-0.2020337,0.86,0.2016363
0,-0.1544805,0.86,0.1997822
0,-0.1928131,0.86,0.1942942
0,-0.1634912,0.86,0.1734542
0,-0.2015685,0.86,0.1643172
0,-0.1977802,0.86,0.1490595
0,-0.169589,0.86,0.1906126
0,-0.2241377,0.86,0.2039669
0,-0.15,0.86,0.2
0,-0.1975236,0.86,0.1805125
0,-0.1616905,0.86,0.1808227
0,-0.2211391,0.86,0.1603485
0,-0.1839662,0.86,0.164302
0,-0.2189626,0.86,0.1825676
0,-0.1792422,0.86,0.1440652
0,-0.2080938,0.86,0.186014
0,-0.2139113,0.86,0.1408657
0,-0.1733639,0.86,0.2062958
0,-0.1649315,0.86,0.1371605
13.91257,-0.15,0.86,0.2
16.51257,-0.1603846,0.86,0.1703945
19.21259,-0.2099029,0.86,0.1423818
22.81259,-0.2168424,0.86,0.1869772
26.03259,-0.1556384,0.86,0.1896036
29.21259,-0.2092454,0.86,0.1790473
31.71259,-0.1602119,0.86,0.195874
34.43259,-0.1530143,0.86,0.1446128
37.13257,-0.1853733,0.86,0.1614392
39.83258,-0.1524638,0.86,0.1430593
42.75259,-0.2098161,0.86,0.1594446
46.35257,-0.1801556,0.86,0.1812618
50.29257,-0.2197752,0.86,0.1822624
53.91257,-0.1755937,0.86,0.1437561
59.65259,-0.1533513,0.86,0.2025837
81.87259,-0.221407,0.86,0.1842988
84.5726,-0.1612024,0.86,0.2077579
87.11258,-0.2136157,0.86,0.1780549
91.1926,-0.1744373,0.86,0.1441064
93.55258,-0.155996,0.86,0.1965058
96.75259,-0.1850611,0.86,0.1658168
98.79929,-0.2100041,0.86,0.2071094
103.9326,-0.1729464,0.86,0.1702987
106.3526,-0.2089323,0.86,0.1953987
110.0526,-0.1676576,0.86,0.1942734
112.8726,-0.2215696,0.86,0.1565567
116.9326,-0.2011039,0.86,0.209667
119.1926,-0.2105212,0.86,0.1643125
122.8126,-0.1545893,0.86,0.1646814
127.7326,-0.2188964,0.86,0.1916142
131.7926,-0.1824335,0.86,0.1604903
154.4926,-0.1665691,0.86,0.208178
157.0926,-0.2084059,0.86,0.2025494
159.4126,-0.1799964,0.86,0.1585053
164.2326,-0.1599781,0.86,0.2094236
169.2526,-0.1638439,0.86,0.1389406
173.2526,-0.1993126,0.86,0.1660115
175.1926,-0.2220408,0.86,0.2056838
177.8326,-0.1676578,0.86,0.1618341
181.3726,-0.2013336,0.86,0.1790131
184.3925,-0.161194,0.86,0.1615719
186.8326,-0.1817452,0.86,0.2088186
190.7926,-0.1856579,0.86,0.1694058
193.9126,-0.2134423,0.86,0.1380007
196.6926,-0.1715542,0.86,0.1780373
199.8925,-0.2067673,0.86,0.1624937
222.2526,-0.1781437,0.86,0.2073937
225.1526,-0.1858146,0.86,0.1594878
228.6926,-0.1554176,0.86,0.1853509
232.2326,-0.1895947,0.86,0.1947602
234.6066,-0.1935997,0.86,0.1479418
239.4526,-0.1634589,0.86,0.1864472
243.4926,-0.2144856,0.86,0.1802781
245.8326,-0.1592291,0.86,0.1967401
249.8726,-0.2059733,0.86,0.1482137
252.6126,-0.2003999,0.86,0.2085589
257.0726,-0.1571702,0.86,0.1751809
259.0326,-0.2007455,0.86,0.1799903
261.5526,-0.2113719,0.86,0.1381468
265.4726,-0.1624948,0.86,0.1887341
268.3326,-0.2191648,0.86,0.1601377
270.4326,-0.1577805,0.86,0.1815273
