Time, X, Y, Z
0.008056641,-0.2066694,0.9069959,-0.08867781
0.01257324,-0.2066583,0.9072656,-0.08844933
0.01925659,-0.2064068,0.9076156,-0.08828154
0.03259277,-0.2061289,0.9082013,-0.0881151
0.03948975,-0.2059768,0.9084854,-0.08801693
0.04428101,-0.2059579,0.9085581,-0.08818398
0.05255127,-0.2059591,0.9088296,-0.08819348
0.05258179,-0.2059588,0.9088303,-0.08819391
0.0635376,-0.2058403,0.9088371,-0.08835164
0.0725708,-0.2057882,0.9086061,-0.08847624
0.07485962,-0.2058283,0.9084096,-0.08847025
0.08578491,-0.2059149,0.9081668,-0.08852577
0.09259033,-0.2060154,0.9079633,-0.08851963
0.09695435,-0.2061564,0.9078164,-0.0884459
0.1079712,-0.2064171,0.9074337,-0.08835876
0.1125793,-0.2064409,0.9074081,-0.08827224
0.1192017,-0.2066133,0.9071746,-0.08836091
0.1302795,-0.2067813,0.9067425,-0.08857524
0.1325684,-0.2067313,0.9065796,-0.08856967
0.1414795,-0.2068417,0.906278,-0.08866441
0.1524353,-0.2069799,0.9063494,-0.08871074
0.1525879,-0.2069806,0.9063536,-0.08871095
0.1636353,-0.2065913,0.906661,-0.08884856
0.1725769,-0.2060945,0.9068225,-0.08908026
0.1746826,-0.2064615,0.9066178,-0.08904523
0.1925964,-0.2062982,0.9061049,-0.08909526
0.1947021,-0.20626,0.9060347,-0.08910036
0.1994629,-0.2064136,0.9057625,-0.08908249
0.2079773,-0.20652,0.9053358,-0.08907825
0.2125854,-0.2064426,0.9054962,-0.08906621
0.2191772,-0.2064823,0.9054595,-0.08907692
0.2302856,-0.2065388,0.9053637,-0.08909482
0.2325745,-0.2065208,0.9057394,-0.08907846
0.241272,-0.2064283,0.9058251,-0.08883399
0.252594,-0.2062675,0.9056213,-0.0886804
0.252655,-0.206266,0.9056157,-0.0886789
0.2640686,-0.2061429,0.905198,-0.08856094
0.272583,-0.2061676,0.9055226,-0.08848631
0.275177,-0.2061397,0.9055868,-0.08845776
0.2863159,-0.2060999,0.9056519,-0.08842747
0.292572,-0.2061675,0.9056972,-0.08852127
0.297821,-0.2060871,0.9058649,-0.08855441
0.30896,-0.20605,0.9060903,-0.08857611
0.3125916,-0.2060706,0.9061905,-0.08856679
0.3205566,-0.2061113,0.9064471,-0.08858874
0.3317261,-0.2061355,0.9066129,-0.08868608
0.3325806,-0.2061356,0.9066244,-0.08870527
0.3518982,-0.2061612,0.9067866,-0.08878255
0.3525696,-0.2059964,0.9067269,-0.08860978
0.3562317,-0.2059434,0.9066975,-0.08847828
0.3652649,-0.2058666,0.9067198,-0.08838412
0.3725891,-0.205849,0.9067916,-0.0883265
0.3766479,-0.2059395,0.9068044,-0.08828257
0.3874207,-0.2059722,0.9068303,-0.08830364
0.3925781,-0.2059028,0.9068115,-0.0883718
0.3985901,-0.2058574,0.9068241,-0.0884461
0.4097595,-0.2060222,0.9066076,-0.08852009
0.4125671,-0.2061035,0.9065267,-0.08848323
0.4208679,-0.2064036,0.9066834,-0.08833754
0.4318848,-0.206506,0.9067424,-0.0882473
0.4325867,-0.2065119,0.9067434,-0.08823761
0.4429321,-0.2066085,0.9068482,-0.08811629
0.4525757,-0.2065824,0.9070984,-0.08813956
0.4541016,-0.2065685,0.9071493,-0.08814886
0.4653015,-0.2065175,0.907147,-0.08812669
0.4725952,-0.2064988,0.9069848,-0.08815044
0.4761963,-0.2065551,0.9067985,-0.08826903
