Time, X, Y, Z
0.008056641,0.2170509,0.9205807,-0.03189987
0.01257324,0.2172212,0.9204541,-0.0318107
0.01925659,0.2169414,0.9207115,-0.03240165
0.03259277,0.216438,0.9211811,-0.0333325
0.03948975,0.2162129,0.9214171,-0.03383014
0.04428101,0.216075,0.9213365,-0.03441599
0.05255127,0.2155136,0.9214536,-0.03489959
0.05258179,0.2155117,0.921454,-0.03490153
0.0635376,0.2148906,0.9217132,-0.03543827
0.0725708,0.2144527,0.921833,-0.0357416
0.07485962,0.2146734,0.9220122,-0.03562424
0.08578491,0.2148326,0.9223281,-0.03566176
0.09259033,0.2150399,0.9223805,-0.03572205
0.09695435,0.2151825,0.9223691,-0.03578255
0.1079712,0.2154575,0.9222608,-0.03592312
0.1125793,0.2156128,0.922658,-0.03596687
0.1192017,0.2156379,0.9226738,-0.0357554
0.1302795,0.2157266,0.9225506,-0.03553647
0.1325684,0.2155552,0.9228911,-0.03586686
0.1414795,0.2156786,0.9229172,-0.0361003
0.1524353,0.2159265,0.9227827,-0.03601086
0.1525879,0.2159318,0.9227807,-0.03600696
0.1636353,0.2159143,0.9228868,-0.03598404
0.1725769,0.2155913,0.9231195,-0.03608468
0.1746826,0.2156119,0.9231387,-0.03607237
0.1925964,0.2156593,0.9233252,-0.0363954
0.1947021,0.2156813,0.9233449,-0.03644958
0.1994629,0.2156284,0.923314,-0.03662762
0.2079773,0.2155918,0.9233419,-0.03692165
0.2125854,0.2155929,0.9236274,-0.03741977
0.2191772,0.2154266,0.923915,-0.03766677
0.2302856,0.215181,0.9242641,-0.03795567
0.2325745,0.2151898,0.9243188,-0.03776252
0.241272,0.2152736,0.9241213,-0.03757334
0.252594,0.2153657,0.9239675,-0.03757218
0.252655,0.2153652,0.9239687,-0.03757346
0.2640686,0.2153369,0.924064,-0.03766537
0.272583,0.2149137,0.9239444,-0.03771707
0.275177,0.2149874,0.9237428,-0.03782555
0.2863159,0.2149258,0.9233317,-0.038066
0.292572,0.2146414,0.9232736,-0.03798115
0.297821,0.2146183,0.9233287,-0.03787202
0.30896,0.2145231,0.9233338,-0.03752682
0.3125916,0.2144636,0.9233302,-0.03736702
0.3205566,0.2147643,0.9230335,-0.03705654
