Time, X, Y, Z
6.103516E-05,0.2245094,0.9665193,-0.03207725
0.001403809,0.2245002,0.9664829,-0.03207713
0.0112915,0.2245333,0.9663375,-0.03188989
0.02142334,0.2246478,0.9664196,-0.031865
0.02246094,0.2246625,0.9664342,-0.03187743
0.03344727,0.2247586,0.9665269,-0.03194478
0.04144287,0.2247632,0.9664101,-0.03179777
0.0446167,0.2247836,0.9662914,-0.03163266
0.0557251,0.224904,0.9662687,-0.03135929
0.0614624,0.2249178,0.9663594,-0.03133821
0.06665039,0.2248144,0.966426,-0.03154367
0.07781982,0.2246983,0.9663351,-0.03198174
0.0814209,0.2246361,0.9663026,-0.03209648
0.09796143,0.2246378,0.9654295,-0.03224319
0.1014404,0.224812,0.9658623,-0.03209999
0.1029053,0.2248406,0.9658902,-0.03208357
0.1110229,0.224772,0.9658757,-0.03215897
0.12146,0.2246995,0.9657011,-0.03208902
0.1222534,0.224713,0.9656531,-0.03206164
0.1333618,0.2248742,0.9653859,-0.03199825
0.1414185,0.2250165,0.9653276,-0.03212935
0.1443481,0.2250458,0.9653834,-0.03225696
0.1557617,0.2249363,0.9654856,-0.03238073
0.161438,0.2248938,0.9654912,-0.03246063
0.166687,0.2248268,0.9654621,-0.03252167
0.1777954,0.2248036,0.9653343,-0.03252232
0.1814575,0.2248408,0.9652718,-0.032489
0.1887817,0.2249907,0.9651507,-0.03253555
0.1999512,0.2250069,0.9651881,-0.03268999
0.201416,0.2249716,0.965214,-0.03270957
0.2109375,0.2248642,0.9652513,-0.03250214
0.2214355,0.2247282,0.9653649,-0.03222877
0.222168,0.224708,0.9653867,-0.03221446
0.2333984,0.2244492,0.9656739,-0.03202325
0.2414551,0.2246579,0.9657227,-0.0322116
0.2528687,0.2248886,0.9656004,-0.03213519
0.2576904,0.2246206,0.9653102,-0.03201276
0.2614136,0.2245047,0.9651582,-0.03193113
0.2664185,0.2244985,0.9651801,-0.03187793
0.2775269,0.224649,0.965256,-0.03181872
0.2814331,0.2244556,0.9655346,-0.03174618
0.2886353,0.2245795,0.965721,-0.03201911
0.2997437,0.2248543,0.9659427,-0.032478
0.3014526,0.2246739,0.965651,-0.03220108
0.310791,0.2244148,0.9654802,-0.03199783
0.3214111,0.2240035,0.965326,-0.03162348
0.3218994,0.2241917,0.9654553,-0.03149888
0.333313,0.2242149,0.965619,-0.03095171
0.3414307,0.2243894,0.9660118,-0.03120783
0.3441772,0.2245328,0.9661087,-0.0313828
0.3554077,0.2248322,0.966386,-0.0317516
0.3614502,0.2246366,0.9658646,-0.03203291
0.3664551,0.2245018,0.9658014,-0.03229177
0.3776855,0.2242164,0.9656569,-0.03265882
0.3814087,0.2245424,0.9658592,-0.0322111
0.3887939,0.2247171,0.965564,-0.03205475
0.4014282,0.224759,0.9650763,-0.03201187
0.4083252,0.224704,0.9648294,-0.03206807
0.4129028,0.224711,0.9653693,-0.0320648
0.4214478,0.224688,0.9659029,-0.03206798
0.421814,0.2247937,0.9656289,-0.03189123
0.4331665,0.2249546,0.9655381,-0.03157148
0.4414063,0.225034,0.9659672,-0.03143123
0.4442139,0.2250349,0.9655402,-0.0316416
0.4553833,0.2250395,0.9648569,-0.03195173
0.4614258,0.2251969,0.9648366,-0.03163353
0.4664917,0.2252104,0.9647555,-0.03187224
0.4778442,0.2252439,0.9646669,-0.0322862
0.4814453,0.2250966,0.9646126,-0.03217822
0.4889526,0.2250581,0.9643421,-0.03233668
0.5001831,0.2250244,0.9639705,-0.03249621
0.5014038,0.2250251,0.9644387,-0.03213498
0.5112305,0.2249255,0.9649658,-0.0316883
0.5214233,0.2248635,0.965573,-0.03133479
0.522583,0.2249396,0.9654264,-0.03148648
0.5337524,0.224896,0.9656832,-0.03145406
0.5414429,0.2250864,0.9654647,-0.03154665
0.5450439,0.2248853,0.9654517,-0.03162023
0.5614624,0.2245818,0.9659559,-0.03170037
0.5648804,0.2245504,0.9661089,-0.03170374
0.5691528,0.2245269,0.9661437,-0.03154275
0.5779419,0.2244766,0.9663708,-0.03133687
0.5814209,0.2246436,0.9658587,-0.03131968
0.5888062,0.2248212,0.9654765,-0.03119454
0.6001587,0.2245026,0.9651974,-0.03164327
0.6014404,0.2243808,0.9656011,-0.0315963
0.611145,0.2241304,0.9659722,-0.03178889
0.62146,0.2249235,0.964706,-0.03242585
0.6223145,0.2249574,0.9646475,-0.03246653
0.6334839,0.224765,0.9650464,-0.03255233
0.6414185,0.2247716,0.9649719,-0.0320181
0.6445313,0.2247799,0.9649404,-0.03184339
0.6556396,0.2242422,0.9651491,-0.03153434
0.661438,0.224483,0.9646925,-0.03153944
0.666748,0.2245588,0.9644679,-0.0314354
0.6777344,0.2251269,0.9636955,-0.03077117
0.6814575,0.2249915,0.9640209,-0.02987885
0.6888428,0.2250289,0.9641338,-0.0286873
0.7001953,0.2257614,0.9629188,-0.02875686
0.701416,0.225438,0.9625382,-0.02848673
0.7196045,0.2247975,0.9607279,-0.02758452
0.7214355,0.2247262,0.9605746,-0.0275358
0.723938,0.2247858,0.9596756,-0.02708831
0.7332153,0.2246037,0.9580333,-0.02633762
0.7414551,0.2239688,0.9582558,-0.02609578
0.7443848,0.2237342,0.9580863,-0.02590606
0.7554932,0.2221772,0.9584119,-0.02508211
0.7614136,0.2220001,0.957423,-0.02488559
0.7667847,0.2216201,0.9567999,-0.02459925
0.7776489,0.2205348,0.9563334,-0.02393663
0.7814331,0.2201461,0.9557307,-0.02368507
0.7889404,0.2193319,0.9547812,-0.02313107
0.8001709,0.2178912,0.9537572,-0.0216459
0.8014526,0.2182178,0.9533478,-0.02139506
0.8109741,0.2178533,0.9516228,-0.01996887
0.8214111,0.21734,0.9488302,-0.01859546
0.8220215,0.2173189,0.9487153,-0.01853424
0.833252,0.2187076,0.9452757,-0.01620078
0.8414307,0.2178271,0.9440939,-0.01623753
0.8442993,0.2176302,0.9433132,-0.01602697
0.8556519,0.216318,0.9440833,-0.01513332
0.8614502,0.2161846,0.9424859,-0.01380825
0.8751831,0.2140102,0.9403412,-0.01135448
0.8800659,0.2134009,0.9398153,-0.01071402
0.8814087,0.2125556,0.9402883,-0.01160917
0.8886719,0.2104688,0.9399469,-0.01156357
0.8999634,0.211124,0.9376909,-0.01191485
0.9014282,0.211794,0.9361943,-0.01247057
0.9109497,0.2130566,0.9316498,-0.01383433
0.9214478,0.214211,0.9273134,-0.0138638
0.921936,0.2142655,0.9271117,-0.01388285
0.9331055,0.2147035,0.9228367,-0.01653114
0.9414063,0.2143984,0.9195236,-0.02077639
0.944519,0.2143282,0.9177957,-0.02261698
0.9554443,0.2139787,0.9149344,-0.0268617
