Time, X, Y, Z
0,-0.1684555,0.9212542,0.1894858
0,-0.2330926,0.9091187,0.1827966
0,-0.1678901,0.9017722,0.2104626
0,-0.2344107,0.9079371,0.1617193
0,-0.1534674,0.9038984,0.1723852
0,-0.2284079,0.9299937,0.1808316
0,-0.1829107,0.8979713,0.2063918
0,-0.240479,0.8980022,0.1453903
0,-0.1807041,0.9220993,0.1575998
0,-0.2125184,0.9037521,0.1475327
0,-0.1580757,0.9344814,0.08386536
0,-0.03792838,0.8865613,-0.0271646
0,-0.1615153,0.9185846,0.1654836
0,-0.2061159,0.9505131,0.1394054
0,-0.1891592,0.9073166,0.1882414
0,-0.1768551,0.9560307,0.2076286
0,-0.1454747,0.9512916,0.1377714
0,-0.2307886,0.9575391,0.1200472
0,-0.2017435,0.942524,0.1695961
0,-0.1493325,0.9259734,0.01039804
0,-0.2080571,0.927247,0.1905791
0,-0.05827778,0.918298,0.05444769
0,-0.249825,0.921462,0.1884713
0,-0.1856242,0.8982804,0.2020623
0,-0.1464441,0.913923,0.1954332
0,-0.2148377,0.9020908,-0.01100343
0,-0.1443648,0.9062796,0.08507266
0,-0.2245609,0.9186721,0.102225
0,-0.1694541,0.9012132,0.05844295
0,-0.2047032,0.923066,0.07013637
0,-0.2866117,0.9156521,0.1046195
0,-0.2304992,0.9168748,0.09827467
0,-0.2544143,0.9560688,0.1306237
0,-0.2910013,0.9031555,0.05863857
0,-0.1757184,0.9112071,0.06348608
0,-0.0719519,0.9072606,0.08450373
0,-0.1937246,0.9334999,0.1335564
0,-0.2040553,0.9224227,0.102099
0,-0.1002676,0.9144306,0.1525451
0,-0.15597,0.9316687,0.1416475
0,-0.2219099,0.931511,0.1508756
0,-0.2186447,0.9028051,0.1285238
0,-0.1676147,0.9123974,0.1659495
0,-0.0566974,0.8872186,-0.05209547
0,-0.2876255,0.8941567,0.07654279
0,-0.12076,0.9304112,0.1945949
0,-0.1753232,0.9164826,0.1380866
0,-0.1672637,0.9722382,0.1560479
0,-0.1925193,0.9283978,0.0957573
0,-0.2696293,0.9134748,0.134241
0,-0.2061162,0.9099655,0.1236754
0,-0.1896197,0.8995606,0.09657737
11.9881,-0.1263307,0.9230763,0.1424446
17.40808,-0.1889024,0.8879428,0.1479611
18.94809,-0.07049388,0.9105161,-0.02720724
21.88809,-0.197568,0.9151217,0.1856751
21.88809,-0.2067543,0.9143319,0.1611801
21.88809,-0.2300818,0.9050769,0.2047972
35.44809,-0.1899232,0.8817022,0.1563715
35.4693,-0.1486635,0.9177158,0.1584379
40.7081,-0.2019184,0.9499056,0.1417984
41.07962,-0.1877667,0.9309883,0.1367868
41.07962,-0.19415,0.9203566,0.1895356
48.44809,-0.2003944,0.8901613,0.1865339
50.6481,-0.1694777,0.895251,0.1496893
53.12808,-0.1450905,0.957502,0.2001859
55.80811,-0.1447846,0.9272023,0.1229099
57.72809,-0.1680899,0.9334827,0.1694679
60.02811,-0.2424246,0.9085699,0.20597
62.34808,-0.2017215,0.8797187,0.2007788
64.8681,-0.2059769,0.9353619,0.1581059
66.8681,-0.2434446,0.8770924,0.1537645
68.72809,-0.22931,0.892005,0.1608008
91.2681,-0.2402846,0.886875,0.166435
92.7081,-0.06361438,0.8859343,-0.01277278
94.32809,-0.1770014,0.921181,0.1555613
97.28812,-0.1856259,0.891726,0.1476549
99.28812,-0.1804831,0.9242133,0.2181674
101.4481,-0.2430191,0.8830088,0.1692184
103.3481,-0.177609,0.8877105,0.1949603
105.4481,-0.2300128,0.8879388,0.2179789
107.2881,-0.188505,0.8865243,0.1652116
111.2481,-0.2496895,0.8895928,0.1946929
113.0281,-0.1835078,0.8903807,0.1454555
114.0881,-0.09580737,0.9077174,0.107543
115.9681,-0.2362815,0.8880801,0.1316965
117.8481,-0.2013204,0.9048598,0.1619564
119.8681,-0.2006012,0.9030291,0.186957
142.2081,-0.2230756,0.9142617,0.1842242
144.1481,-0.1507173,0.8905085,0.1669834
146.7481,-0.1404749,0.9335727,0.1428537
148.5681,-0.230676,0.8581333,0.1642047
150.7881,-0.1964011,0.9133375,0.1970127
152.8881,-0.1921479,0.9012806,0.1347156
154.2681,-0.1479933,0.9487368,0.1295733
156.5081,-0.2014238,0.8757442,0.1355253
158.4281,-0.1745754,0.910073,0.1792523
160.5881,-0.1984045,0.8884183,0.1546023
162.9881,-0.2161606,0.8985733,0.1901216
164.7881,-0.1758214,0.9099472,0.1726892
166.5681,-0.1985663,0.8911234,0.1632692
168.7481,-0.2274405,0.88961,0.2343227
170.5281,-0.2088865,0.8581123,0.1630545
192.0523,-0.1259417,0.9205476,0.1666858
194.8281,-0.2346755,0.9179575,0.2021995
197.1481,-0.1703529,0.9397235,0.1298008
201.4481,-0.1685322,0.8924639,0.2086806
203.4081,-0.2242555,0.9410332,0.1706526
205.1081,-0.2037298,0.8728293,0.1768206
206.7081,-0.1920592,0.873324,0.1370949
208.4281,-0.173121,0.8664294,0.1831197
210.4681,-0.1674297,0.8967147,0.1538194
212.0681,-0.2129613,0.8894177,0.1661675
214.2881,-0.192429,0.9086468,0.1416148
216.0281,-0.2396488,0.8419529,0.1831147
217.9481,-0.2015906,0.8833278,0.1606254
219.9681,-0.231917,0.888202,0.181873
221.9281,-0.1573285,0.8852838,0.1490416
223.1081,-0.1795635,0.9372973,0.1727709
