Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.2139958,0.86,0.1797353
0,-0.1625341,0.86,0.192527
0,-0.1982554,0.86,0.1426588
0,-0.1518631,0.86,0.1717427
0,-0.2196963,0.86,0.1686229
0,-0.1842386,0.86,0.2053949
0,-0.2199991,0.86,0.1363529
0,-0.2053804,0.86,0.1946398
0,-0.1882915,0.86,0.1512502
0,-0.1942187,0.86,0.1942075
0,-0.1910314,0.86,0.1426477
0,-0.1658137,0.86,0.1760713
0,-0.218983,0.86,0.1663539
0,-0.1882565,0.86,0.2058087
0,-0.1522347,0.86,0.2065379
0,-0.1756323,0.86,0.1424914
0,-0.2203685,0.86,0.1395352
0,-0.1940493,0.86,0.1738388
0,-0.1574039,0.86,0.1422432
0,-0.2171065,0.86,0.1804252
0,-0.1580513,0.86,0.2012917
0,-0.2215823,0.86,0.1837147
0,-0.1706428,0.86,0.2013869
0,-0.15,0.86,0.2
0,-0.2007679,0.86,0.1734172
0,-0.1602549,0.86,0.1919159
0,-0.2164424,0.86,0.1401542
0,-0.223508,0.86,0.2011223
0,-0.1963055,0.86,0.1483222
0,-0.2094892,0.86,0.2024359
0,-0.1894271,0.86,0.1389511
0,-0.2078086,0.86,0.1736766
0,-0.1683595,0.86,0.2019815
0,-0.2052254,0.86,0.1860426
0,-0.1502439,0.86,0.1801134
0,-0.1891447,0.86,0.1632479
0,-0.2244268,0.86,0.1379866
0,-0.1994881,0.86,0.2065489
0,-0.1620437,0.86,0.1616521
0,-0.2198675,0.86,0.1923607
0,-0.1979669,0.86,0.1463168
0,-0.1525456,0.86,0.1672516
0,-0.1870398,0.86,0.1391422
0,-0.2059931,0.86,0.1745998
0,-0.1813409,0.86,0.2078156
0,-0.2160453,0.86,0.141246
0,-0.1938258,0.86,0.1937614
0,-0.172982,0.86,0.1418532
0,-0.2220752,0.86,0.1628794
0,-0.1584996,0.86,0.1369966
0,-0.2069212,0.86,0.1352199
11.9881,-0.15,0.86,0.2
17.40808,-0.1559224,0.86,0.141414
18.94809,-0.1935777,0.86,0.1453671
21.88809,-0.205344,0.86,0.1871417
21.88809,-0.2059452,0.86,0.1433847
21.88809,-0.2050314,0.86,0.1977605
35.44809,-0.196905,0.86,0.1498189
35.4693,-0.154997,0.86,0.187915
40.7081,-0.2208776,0.86,0.1855942
41.07962,-0.1781604,0.86,0.1843279
41.07962,-0.2177024,0.86,0.208028
48.44809,-0.2032774,0.86,0.1695455
50.6481,-0.1548507,0.86,0.151842
53.12808,-0.1549083,0.86,0.2045843
55.80811,-0.1910408,0.86,0.1518385
57.72809,-0.1718823,0.86,0.2099917
60.02811,-0.207396,0.86,0.1869673
62.34808,-0.1558916,0.86,0.1805349
64.8681,-0.1968476,0.86,0.2025571
66.8681,-0.2247571,0.86,0.1664113
68.72809,-0.1884414,0.86,0.1560863
91.2681,-0.2242155,0.86,0.1532028
92.7081,-0.1619856,0.86,0.1747011
94.32809,-0.2029409,0.86,0.1728772
97.28812,-0.1551365,0.86,0.1512679
99.28812,-0.2164802,0.86,0.2007811
101.4481,-0.2210788,0.86,0.1524537
103.3481,-0.1631639,0.86,0.2090648
105.4481,-0.2014109,0.86,0.205235
107.2881,-0.1785927,0.86,0.1534688
111.2481,-0.2238565,0.86,0.1717105
113.0281,-0.1761334,0.86,0.1626908
114.0881,-0.2216657,0.86,0.1749876
115.9681,-0.1972345,0.86,0.135577
117.8481,-0.1608357,0.86,0.1612806
119.8681,-0.1812687,0.86,0.191629
142.2081,-0.2176326,0.86,0.1784344
144.1481,-0.1653366,0.86,0.1469703
146.7481,-0.1819353,0.86,0.2085199
148.5681,-0.1983865,0.86,0.1547849
150.7881,-0.1666161,0.86,0.2021531
152.8881,-0.1865642,0.86,0.1360713
154.2681,-0.1707,0.86,0.1937412
156.5081,-0.1940787,0.86,0.137435
158.4281,-0.1500059,0.86,0.1895254
160.5881,-0.1863112,0.86,0.2090091
162.9881,-0.2132289,0.86,0.1787659
164.7881,-0.1554793,0.86,0.1702447
166.5681,-0.1907327,0.86,0.1646616
168.7481,-0.1838705,0.86,0.202773
170.5281,-0.1858484,0.86,0.1434434
192.0523,-0.1507341,0.86,0.2021776
194.8281,-0.2167766,0.86,0.2079464
197.1481,-0.1904175,0.86,0.1498573
201.4481,-0.1663352,0.86,0.2011985
203.4081,-0.2222008,0.86,0.1829579
205.1081,-0.1716097,0.86,0.1784364
206.7081,-0.1775587,0.86,0.1433325
208.4281,-0.1590706,0.86,0.1951269
210.4681,-0.1522235,0.86,0.1471159
212.0681,-0.1958581,0.86,0.1983059
214.2881,-0.1783448,0.86,0.1423599
216.0281,-0.2058263,0.86,0.1891969
217.9481,-0.1716226,0.86,0.1568053
219.9681,-0.223588,0.86,0.1678196
221.9281,-0.1540944,0.86,0.1393233
223.1081,-0.1782403,0.86,0.1907917
