Time, X, Y, Z
0.006195068,-0.1658709,1.065056,-0.1114513
0.008087158,-0.1658849,1.065065,-0.1114416
0.01742554,-0.1659511,1.065123,-0.1113963
0.02810669,-0.1659444,1.06503,-0.1114986
0.03991699,-0.1660338,1.064848,-0.1115157
0.0480957,-0.1659417,1.064801,-0.1115017
0.05722046,-0.1659089,1.06482,-0.111514
0.06808472,-0.1658406,1.065009,-0.1115351
0.06942749,-0.1658293,1.06504,-0.1115372
0.08056641,-0.1656894,1.065084,-0.1115715
0.08810425,-0.1656011,1.065112,-0.1116072
0.09133911,-0.1655715,1.065185,-0.1116281
0.102478,-0.1653888,1.065271,-0.1116766
0.1080933,-0.165275,1.06527,-0.1117128
0.1137695,-0.1651471,1.065253,-0.111722
0.1247253,-0.1649943,1.06526,-0.1117117
0.1280823,-0.1649446,1.065246,-0.1117258
0.1359253,-0.1650691,1.065239,-0.1116503
0.1468506,-0.1651416,1.065219,-0.1116183
0.1481018,-0.1651415,1.065219,-0.1116128
0.1581421,-0.1651158,1.065187,-0.1114672
0.1680908,-0.1650554,1.06518,-0.1114023
0.1695557,-0.1650389,1.065185,-0.111396
0.1827698,-0.1649326,1.065189,-0.1113175
0.1880798,-0.1649312,1.065164,-0.1112359
0.1915894,-0.1649427,1.065129,-0.111149
0.2026367,-0.1649186,1.064962,-0.1111465
0.2080994,-0.1649237,1.06495,-0.1111919
0.213501,-0.1649412,1.064976,-0.1112951
0.2249146,-0.165083,1.064904,-0.1114844
0.2280884,-0.1651183,1.06489,-0.1115392
0.2360229,-0.1651212,1.064936,-0.1116491
0.2471619,-0.1650854,1.064939,-0.11178
0.2481079,-0.1650826,1.064937,-0.1117917
0.2579651,-0.1651123,1.064816,-0.1119462
0.2680969,-0.1651318,1.064693,-0.1119161
0.2694397,-0.165142,1.064676,-0.1119008
0.2803955,-0.1651257,1.064433,-0.1119251
0.2880859,-0.1650003,1.064223,-0.1120508
0.2914734,-0.1648735,1.06416,-0.1121808
0.3027649,-0.1647148,1.063915,-0.1124418
0.3081055,-0.1646506,1.06377,-0.11257
0.3135681,-0.1645663,1.06379,-0.1126775
0.3248901,-0.1643068,1.063528,-0.1130867
0.3280945,-0.164133,1.063382,-0.1132263
0.3375549,-0.1635881,1.063172,-0.1137571
0.3468933,-0.163094,1.062986,-0.1142161
0.3480835,-0.1630295,1.06296,-0.1142754
0.3581543,-0.1623201,1.062779,-0.1147699
0.368103,-0.1613875,1.062779,-0.1152664
0.3693542,-0.161274,1.062804,-0.1153208
0.3803101,-0.160405,1.062371,-0.116101
0.388092,-0.1596084,1.062209,-0.116269
0.3913574,-0.1589382,1.062083,-0.1165664
0.4026794,-0.1575197,1.061786,-0.1172924
0.4080811,-0.1568397,1.06154,-0.1176764
0.4137878,-0.1560308,1.061336,-0.1178961
0.4251709,-0.1546159,1.060695,-0.1183451
0.4281006,-0.1542098,1.060498,-0.1184754
0.4363403,-0.1527399,1.059899,-0.1189001
0.4476318,-0.1507899,1.059289,-0.1197145
0.4480896,-0.150698,1.05925,-0.1197594
0.4589539,-0.148007,1.058603,-0.1205908
0.4681091,-0.1459886,1.058089,-0.1211276
0.4703064,-0.1455578,1.057913,-0.1212494
0.4819031,-0.1433863,1.05672,-0.1213665
0.4880981,-0.1419428,1.056038,-0.1214562
0.4948425,-0.1395679,1.055453,-0.1217557
0.5040894,-0.1370632,1.054349,-0.1219894
