Time, X, Y, Z
0.006195068,0.1548472,1.02124,-0.02033161
0.008087158,0.1548628,1.021235,-0.02033532
0.01742554,0.1549394,1.021219,-0.02035582
0.02810669,0.1553366,1.021126,-0.02034569
0.03991699,0.1553216,1.020782,-0.02020481
0.0480957,0.1555818,1.020578,-0.02033281
0.05722046,0.1557214,1.020584,-0.02035427
0.06808472,0.1558822,1.020618,-0.0202533
0.06942749,0.1559036,1.020618,-0.02023558
0.08056641,0.1561008,1.02065,-0.02028744
0.08810425,0.1562,1.020686,-0.02032299
0.09133911,0.1562203,1.020707,-0.0202862
0.102478,0.1560996,1.020686,-0.02045844
0.1080933,0.1560068,1.020659,-0.02058959
0.1137695,0.1559602,1.020641,-0.02049904
0.1247253,0.1559029,1.020568,-0.02036947
0.1280823,0.1558944,1.020506,-0.02036583
0.1359253,0.1558137,1.020414,-0.02047624
0.1468506,0.1557081,1.020464,-0.02048995
0.1481018,0.1556988,1.02048,-0.02048361
0.1581421,0.1555943,1.020679,-0.02052025
0.1680908,0.1553551,1.020847,-0.02057265
0.1695557,0.1553148,1.020876,-0.02057737
0.1827698,0.1550977,1.02087,-0.0206871
0.1880798,0.1549968,1.0208,-0.02072358
0.1915894,0.1549103,1.020723,-0.02074639
0.2026367,0.1547076,1.020517,-0.02083591
0.2080994,0.1545798,1.0205,-0.02084304
0.213501,0.1544933,1.020507,-0.02075729
0.2249146,0.1542673,1.020256,-0.02080815
0.2280884,0.1542137,1.020192,-0.02084455
0.2360229,0.1540874,1.020115,-0.02084865
0.2471619,0.1538951,1.020019,-0.02081519
0.2481079,0.1538735,1.020013,-0.02080983
0.2579651,0.1536103,1.01977,-0.02075772
0.2680969,0.1534572,1.019751,-0.02073516
0.2694397,0.1534299,1.019767,-0.02072731
0.2803955,0.1529946,1.019659,-0.02072471
0.2880859,0.1527074,1.01947,-0.02074911
0.2914734,0.1526826,1.019376,-0.0207333
0.3027649,0.1526192,1.018993,-0.02078944
0.3081055,0.1526296,1.018719,-0.02085717
0.3135681,0.152803,1.018496,-0.02086426
0.3248901,0.1529419,1.018055,-0.02097048
0.3280945,0.1530409,1.017909,-0.02102925
0.3375549,0.1533528,1.017431,-0.02116585
0.3468933,0.1534799,1.017202,-0.02128223
0.3480835,0.1534823,1.017175,-0.02129158
0.3581543,0.1532892,1.016773,-0.0210596
0.368103,0.1531815,1.016332,-0.02104452
0.3693542,0.1531611,1.016289,-0.02104969
0.3803101,0.1528688,1.014975,-0.0214777
0.388092,0.1529255,1.014632,-0.02190137
0.3913574,0.1527654,1.01446,-0.02202015
0.4026794,0.1523802,1.013964,-0.02241121
0.4080811,0.1522374,1.013667,-0.0226595
0.4137878,0.152203,1.013552,-0.02261996
0.4251709,0.1521683,1.013113,-0.02284022
0.4281006,0.1521388,1.012988,-0.02291156
0.4363403,0.1520638,1.012631,-0.02286386
0.4476318,0.1517641,1.012284,-0.02286968
0.4480896,0.1517421,1.012258,-0.02287391
0.4589539,0.1514312,1.011606,-0.02312209
0.4681091,0.1509525,1.011845,-0.02359363
0.4703064,0.1508058,1.011949,-0.02373242
0.4819031,0.1502728,1.011421,-0.02408309
0.4880981,0.1499157,1.010983,-0.02424258
0.4948425,0.1493013,1.010958,-0.02442312
0.5040894,0.1486172,1.010878,-0.02468966
0.5080872,0.1481393,1.010991,-0.02466439
0.5153198,0.1473894,1.011328,-0.02435526
0.5265503,0.1462099,1.012811,-0.02403544
0.5281067,0.1460079,1.013024,-0.02402443
0.5379944,0.1445685,1.013202,-0.02368659
0.5480957,0.1433974,1.013302,-0.02357028
0.5492249,0.1432943,1.013313,-0.02356657
0.5605469,0.1423427,1.014166,-0.02336161
0.5680847,0.1416293,1.014633,-0.02296802
0.5719604,0.1411761,1.014766,-0.02262314
0.5831909,0.1403255,1.014533,-0.02237654
0.5881042,0.1400273,1.014348,-0.02223995
0.594574,0.1399538,1.014056,-0.02182943
0.6061096,0.1398331,1.013687,-0.02208909
0.6080933,0.1398006,1.01366,-0.02215178
0.6170959,0.1391538,1.013731,-0.02222638
0.6280823,0.1385806,1.013816,-0.02236238
0.6281738,0.138582,1.013815,-0.02236237
0.6394653,0.1383262,1.013656,-0.0220588
0.6481018,0.1379244,1.013855,-0.02106804
0.6525269,0.1376081,1.014024,-0.02032575
0.6611023,0.1371386,1.014185,-0.01959328
0.6680908,0.1368044,1.014459,-0.01899919
0.6724243,0.1366345,1.014631,-0.01864037
0.6835022,0.1363974,1.014759,-0.01806772
0.6880798,0.1363038,1.014725,-0.01789434
0.6947632,0.1361948,1.014478,-0.01780078
0.7058716,0.1360288,1.014593,-0.01767881
0.7080994,0.1359773,1.014652,-0.01764828
0.7167358,0.1356611,1.014959,-0.01761882
0.7279053,0.1354916,1.015494,-0.0179169
0.7280884,0.1354891,1.015503,-0.01792425
0.7390747,0.1354392,1.015929,-0.01817933
0.7481079,0.1352303,1.016284,-0.01819067
0.7501221,0.1351599,1.016359,-0.0181783
0.7611389,0.1348409,1.016521,-0.01785994
0.7680969,0.1347279,1.016542,-0.0178277
0.7723083,0.1346664,1.016506,-0.01788351
0.7834167,0.1343867,1.016434,-0.01799063
0.7880859,0.1342377,1.016394,-0.0180418
0.7946472,0.1342041,1.016418,-0.01803677
0.8081055,0.134118,1.016124,-0.01846246
0.8081055,0.1341179,1.016124,-0.01846285
0.8165588,0.1339874,1.015913,-0.01847382
0.8276672,0.1337423,1.015539,-0.0184311
0.8280945,0.1337321,1.015527,-0.0184274
0.8388977,0.1335839,1.015327,-0.01843379
0.8480835,0.1332588,1.015259,-0.01846482
0.8499146,0.1331745,1.015255,-0.01846334
0.8610535,0.1326806,1.015296,-0.01837729
0.868103,0.1324192,1.015288,-0.01839653
0.8722534,0.1322122,1.015257,-0.01849206
0.8833313,0.1316425,1.015174,-0.0185529
0.888092,0.1314329,1.015106,-0.01859173
0.8945007,0.1312611,1.015085,-0.01867159
0.9055176,0.1309798,1.015065,-0.01867057
0.9080811,0.1309109,1.01506,-0.0186671
0.9168396,0.1306633,1.014992,-0.01908693
0.9276123,0.1305739,1.015039,-0.01927158
0.9281006,0.130571,1.015044,-0.01927496
0.9386902,0.1305968,1.01476,-0.01949629
0.9480896,0.1305546,1.014681,-0.01957062
0.9498901,0.1305416,1.014688,-0.01957136
0.9631653,0.1304822,1.014397,-0.01991734
0.9681091,0.1304176,1.014302,-0.02010614
0.97229,0.1303087,1.014276,-0.02030179
0.9833069,0.1300834,1.014223,-0.02064371
0.9880981,0.1299634,1.014163,-0.02083135
0.9943542,0.1297887,1.014136,-0.02126478
1.005585,0.1296169,1.014258,-0.02154176
1.008087,0.1295356,1.014321,-0.02154802
1.016602,0.129253,1.014308,-0.0214619
1.027618,0.1291927,1.014289,-0.02142675
1.028107,0.1291927,1.014288,-0.02142721
1.038818,0.1289645,1.014256,-0.02160554
1.048096,0.1287536,1.014248,-0.02156562
1.049805,0.128707,1.014254,-0.0215313
1.061066,0.1284708,1.014302,-0.02148116
1.068085,0.1282595,1.01438,-0.0213947
1.07251,0.1280587,1.014526,-0.02132854
1.083374,0.1278835,1.014735,-0.02133717
1.088104,0.1278082,1.014835,-0.02134
1.094482,0.1277071,1.015157,-0.02125397
1.105713,0.1275858,1.015362,-0.02129345
1.108093,0.1275595,1.015389,-0.02132767
1.118164,0.1275353,1.015739,-0.021736
1.127319,0.127665,1.015857,-0.02186824
1.128082,0.1276819,1.015867,-0.02188154
1.138641,0.1279526,1.01562,-0.02200565
1.148102,0.1281447,1.015413,-0.02201125
1.149658,0.1281704,1.01539,-0.02201319
