Time, X, Y, Z
12.24005,-0.2170842,0.8805908,0.1837837
14.17999,-0.1727277,0.8851672,0.1415436
16.49994,-0.1686331,0.9034814,0.1983089
18.34003,-0.181986,0.8840561,0.1432281
20.08002,-0.2126686,0.9240566,0.1806496
22.11993,-0.194561,0.9186628,0.1777408
26.01996,-0.1612438,0.8823904,0.1833627
28.63995,-0.1971052,0.8936108,0.1292303
29.11566,-0.2005301,0.896762,0.2004301
29.11566,-0.1553141,0.9320801,0.1421068
36.51996,-0.2152593,0.8721247,0.140709
39.15997,-0.1903854,0.9088516,0.2203311
41.32001,-0.1813794,0.9150272,0.1976961
43.37994,-0.1911833,0.8786232,0.1774655
45.94,-0.1927028,0.8963515,0.167544
49.84003,-0.2661799,0.8927906,0.1802405
51.25995,-0.1593844,0.9637492,0.1325839
76.72003,-0.1656674,0.8814342,0.1436172
78.70001,-0.1900603,0.9348774,0.2238247
80.41998,-0.2639223,0.8729172,0.2066197
81.72003,-0.204856,0.9333128,0.1292797
84.74005,-0.2115283,0.863205,0.207706
86.61993,-0.1724466,0.8976225,0.1951253
88.58002,-0.1891942,0.901126,0.1599181
90.56,-0.1359666,0.8989867,0.1592193
95.06,-0.1861556,0.8980854,0.2007977
97.41998,-0.1898858,0.8861963,0.1734013
100.2401,-0.200074,0.9331457,0.1484848
102.44,-0.2228705,0.8741269,0.1721125
104.2401,-0.2171926,0.8967782,0.1916433
106.96,-0.2326888,0.8802252,0.1501901
108.8,-0.1995729,0.8990337,0.1743986
132.2599,-0.194593,0.902669,0.2112026
134.7401,-0.1952591,0.9025577,0.2114174
136.4,-0.177532,0.8985088,0.1859009
138.1,-0.1990492,0.8890809,0.1526162
139.86,-0.2214787,0.8998043,0.1739568
141.28,-0.1617597,0.8774897,0.1885602
143.18,-0.1712247,0.937614,0.124709
144.7401,-0.2007473,0.8916512,0.1806495
146.56,-0.1814552,0.9096537,0.1519814
147.8,-0.1665288,0.8646342,0.1723293
149.82,-0.1976596,0.957242,0.1612749
151.82,-0.1527393,0.9302608,0.1310938
153.4999,-0.1690786,0.8875743,0.2233961
155.36,-0.1996399,0.8980155,0.1779429
157.1199,-0.1699218,0.9058647,0.2127335
180.14,-0.2244425,0.8868482,0.1436526
181.98,-0.2560929,0.8901171,0.177659
183.64,-0.2505954,0.8970762,0.1766703
185.42,-0.1475973,0.8826918,0.2317753
187.14,-0.2104058,0.8643644,0.1675455
189.04,-0.1939543,0.9072881,0.1962077
190.16,-0.180133,0.8821056,0.15492
191.7599,-0.1604062,0.8959999,0.2127841
193.56,-0.2258312,0.9006618,0.1902518
195.3799,-0.1619661,0.965149,0.1161108
196.98,-0.2455661,0.8840032,0.2088932
198.64,-0.1812968,0.8778766,0.1290483
199.96,-0.1732872,0.897318,0.2097306
202.6,-0.1785498,0.8871601,0.1685459
203.68,-0.157248,0.9295502,0.2183284
