Time, X, Y, Z
12.24005,-0.2224906,0.86,0.1764355
14.17999,-0.1755895,0.86,0.1427245
16.49994,-0.1757003,0.86,0.1988443
18.34003,-0.1725921,0.86,0.1479633
20.08002,-0.2156408,0.86,0.201033
22.11993,-0.1903993,0.86,0.1760255
26.01996,-0.1529839,0.86,0.2023232
28.63995,-0.1947963,0.86,0.1361548
29.11566,-0.2075318,0.86,0.1954847
29.11566,-0.1660375,0.86,0.169042
36.51996,-0.217323,0.86,0.1389233
39.15997,-0.2074297,0.86,0.2044972
41.32001,-0.1693272,0.86,0.1896728
43.37994,-0.2085729,0.86,0.1818735
45.94,-0.1803415,0.86,0.1560236
49.84003,-0.2242312,0.86,0.1582406
51.25995,-0.1985057,0.86,0.205179
76.72003,-0.1608411,0.86,0.1403518
78.70001,-0.1859701,0.86,0.2010731
80.41998,-0.2214022,0.86,0.2024082
81.72003,-0.1833124,0.86,0.1366209
84.74005,-0.2145342,0.86,0.1885442
86.61993,-0.1508067,0.86,0.183379
88.58002,-0.1593187,0.86,0.1351068
90.56,-0.18366,0.86,0.1677029
95.06,-0.1596036,0.86,0.206509
97.41998,-0.1906139,0.86,0.1604745
100.2401,-0.2126718,0.86,0.2011675
102.44,-0.2152705,0.86,0.1553655
104.2401,-0.1869145,0.86,0.1976827
106.96,-0.2246317,0.86,0.1423347
108.8,-0.1832246,0.86,0.1535674
132.2599,-0.1894694,0.86,0.2090642
134.7401,-0.2027695,0.86,0.1758559
136.4,-0.1630205,0.86,0.1902859
138.1,-0.1619429,0.86,0.1447127
139.86,-0.222005,0.86,0.2057292
141.28,-0.1661024,0.86,0.1783064
143.18,-0.1801504,0.86,0.135537
144.7401,-0.2079773,0.86,0.1729724
146.56,-0.1521355,0.86,0.1722687
147.8,-0.1887694,0.86,0.1518152
149.82,-0.1917248,0.86,0.2075669
151.82,-0.1606836,0.86,0.1508056
153.4999,-0.1737079,0.86,0.1961078
155.36,-0.2062102,0.86,0.1473597
157.1199,-0.171159,0.86,0.1971475
180.14,-0.19404,0.86,0.1575698
181.98,-0.1955957,0.86,0.1929412
183.64,-0.2085939,0.86,0.1576031
185.42,-0.1682855,0.86,0.197591
187.14,-0.1956608,0.86,0.1445403
189.04,-0.160138,0.86,0.1934281
190.16,-0.1804407,0.86,0.152625
191.7599,-0.1524106,0.86,0.1783664
193.56,-0.1942553,0.86,0.2097204
195.3799,-0.2039054,0.86,0.1658861
196.98,-0.1983828,0.86,0.2050103
198.64,-0.1732837,0.86,0.1462892
199.96,-0.1608386,0.86,0.2022232
202.6,-0.1565561,0.86,0.1486547
203.68,-0.2142372,0.86,0.2021281
