Time, X, Y, Z
0.001037598,-0.1208197,1.010607,-0.07028039
0.012146,-0.1207783,1.010435,-0.07030657
0.0199585,-0.1206958,1.010299,-0.07036144
0.02325439,-0.1206492,1.010228,-0.07039067
0.03448486,-0.1204547,1.010277,-0.0704582
0.03997803,-0.1204036,1.010274,-0.07048661
0.04766846,-0.1203269,1.010276,-0.07052256
0.05657959,-0.1202474,1.010286,-0.0705145
0.05999756,-0.1202012,1.010265,-0.07051319
0.0680542,-0.1200761,1.010168,-0.07051617
0.07879639,-0.1199734,1.01011,-0.07051244
0.08001709,-0.1199609,1.010103,-0.07051195
0.08990479,-0.1197686,1.010122,-0.07042168
0.1000366,-0.1195786,1.010047,-0.07039294
0.1012573,-0.1195633,1.010038,-0.07038949
0.1121216,-0.119556,1.010003,-0.07035558
0.1199341,-0.1194429,1.010014,-0.07040231
0.1233521,-0.1193765,1.010025,-0.07043707
0.1342163,-0.119371,1.010092,-0.0704897
0.1399536,-0.1194236,1.01011,-0.07056938
0.1454468,-0.1194973,1.010113,-0.07067186
0.1566772,-0.1194253,1.010164,-0.07075471
0.1599731,-0.1194377,1.010179,-0.07076618
0.1677856,-0.119503,1.010187,-0.07078874
0.1790161,-0.1195565,1.01007,-0.07090379
0.1799927,-0.1195634,1.010066,-0.07091524
0.1901245,-0.119575,1.010108,-0.07101344
0.2000122,-0.1195589,1.010067,-0.07095449
0.2040405,-0.1195557,1.01004,-0.07094991
0.2120972,-0.1195536,1.009943,-0.07095739
0.2200317,-0.1195653,1.009916,-0.07086512
0.2232056,-0.1195731,1.009914,-0.07080835
0.234314,-0.11956,1.009882,-0.07080352
0.2400513,-0.1195489,1.009888,-0.07077123
0.2455444,-0.1195218,1.009921,-0.07069983
0.256897,-0.119404,1.009864,-0.07064028
0.2599487,-0.1193524,1.009844,-0.07064833
0.2680054,-0.1192454,1.009765,-0.0707119
0.2793579,-0.1191169,1.009722,-0.07080697
0.2799683,-0.1191087,1.00972,-0.07081419
0.2908325,-0.1189528,1.009704,-0.07094008
0.2999878,-0.1188527,1.009504,-0.07106952
0.3018188,-0.1188316,1.009459,-0.07108821
0.3131714,-0.1186229,1.009296,-0.07117243
0.3200073,-0.1186006,1.009179,-0.07124139
0.3244019,-0.118574,1.009087,-0.07130308
0.3355103,-0.1183035,1.008914,-0.07140753
0.3400269,-0.118201,1.008793,-0.07141659
0.3466187,-0.1180307,1.008567,-0.07140121
0.3600464,-0.1176725,1.007971,-0.07159823
0.3618774,-0.1176226,1.007879,-0.07163709
0.3684692,-0.1173614,1.007595,-0.07166037
0.378479,-0.1167278,1.006966,-0.07170209
0.3799438,-0.1166295,1.006873,-0.07170531
0.3899536,-0.1159723,1.006464,-0.07192153
0.3999634,-0.1149857,1.00569,-0.07256161
0.4009399,-0.114893,1.005597,-0.07263254
0.4119263,-0.113603,1.004763,-0.07309082
0.4199829,-0.1124821,1.003861,-0.0734174
0.4230347,-0.1119052,1.003356,-0.07357443
0.4342651,-0.1100173,1.002253,-0.07429734
0.4400024,-0.1088227,1.001593,-0.07465398
0.4452515,-0.1074247,1.000985,-0.07487567
0.4563599,-0.105306,0.9997135,-0.07514563
0.460022,-0.1044488,0.9990897,-0.07536238
0.4677124,-0.1020272,0.9978892,-0.07563907
0.4786987,-0.0990471,0.9962764,-0.07599705
0.4800415,-0.09863234,0.9960451,-0.07605159
0.4896851,-0.09555043,0.9941349,-0.07644573
0.499939,-0.09226383,0.992346,-0.07621637
0.5009155,-0.09194806,0.9921722,-0.07617773
0.513855,-0.0882687,0.9901268,-0.07601024
0.5199585,-0.08666399,0.9889078,-0.07622649
0.5230103,-0.08563234,0.9880671,-0.0764184
0.5341187,-0.08283187,0.9861099,-0.07695346
0.539978,-0.08111528,0.985061,-0.07691601
0.5453491,-0.07917573,0.9838644,-0.07657319
0.5564575,-0.07615148,0.9808955,-0.07725969
0.5599976,-0.07511413,0.9799738,-0.07750376
0.5675659,-0.07247054,0.9780822,-0.07804696
0.5786743,-0.06993656,0.975614,-0.07854359
0.5800171,-0.0696133,0.9752867,-0.07858706
0.5896606,-0.06719635,0.9726646,-0.07925697
0.6000366,-0.06507926,0.9706343,-0.07955612
0.600769,-0.06494093,0.9705165,-0.07956475
0.6119995,-0.06277806,0.9688131,-0.07990581
0.6199341,-0.06129376,0.9675097,-0.08005675
0.6231079,-0.06057003,0.9667688,-0.08016197
0.6340942,-0.05909827,0.9651924,-0.0802584
0.6399536,-0.05831456,0.9643983,-0.08032536
0.6454468,-0.05744648,0.9636409,-0.08057416
0.656311,-0.05608526,0.9625798,-0.0806562
0.6599731,-0.05549963,0.9621695,-0.08067036
0.6687622,-0.05443497,0.9613975,-0.08092575
0.6785278,-0.0539454,0.9605895,-0.08099668
0.6799927,-0.05385766,0.9604518,-0.08099324
0.6896362,-0.05287409,0.9593993,-0.08080105
0.7000122,-0.05195527,0.9587912,-0.08074239
0.7007446,-0.05187799,0.958742,-0.08074642
0.711853,-0.05091294,0.9581372,-0.0807837
0.7200317,-0.05016117,0.9577368,-0.08092085
0.7230835,-0.04978223,0.9574688,-0.08103133
0.734314,-0.0488729,0.9568552,-0.08102417
0.7400513,-0.04822142,0.9563695,-0.08101332
0.7456665,-0.04737213,0.9556577,-0.08107251
0.7571411,-0.04602857,0.9544501,-0.08136102
0.7599487,-0.04559743,0.9541121,-0.08151259
0.7682495,-0.04420508,0.9528129,-0.08201309
0.7796021,-0.04249375,0.9513358,-0.08266692
0.7799683,-0.04242247,0.9512818,-0.08268687
0.7908325,-0.04018841,0.9491271,-0.08323301
0.7999878,-0.03863342,0.9471312,-0.08352801
0.8023071,-0.03814423,0.9465163,-0.08360119
0.8136597,-0.03659667,0.9441183,-0.08385303
0.8200073,-0.03564315,0.942633,-0.08374397
0.8262329,-0.03459744,0.941027,-0.08350071
0.8356323,-0.03370182,0.9395319,-0.08370009
0.8400269,-0.03328636,0.9387056,-0.08372153
0.8473511,-0.03262846,0.9371034,-0.08360563
0.8583374,-0.03219534,0.9353392,-0.08340752
0.8600464,-0.03212551,0.9350334,-0.08337127
0.8695679,-0.03149781,0.9330493,-0.08298597
0.8799438,-0.03090054,0.9316653,-0.08285476
0.8809204,-0.03084419,0.9315535,-0.08284622
0.8921509,-0.03016255,0.9303813,-0.08281679
0.8999634,-0.0297465,0.929583,-0.08275581
0.9032593,-0.02951321,0.9291573,-0.08268888
0.9144897,-0.02880398,0.9283043,-0.08242957
0.9199829,-0.02851955,0.9277041,-0.08225609
0.9258423,-0.02823935,0.9268376,-0.08199513
0.9364624,-0.02790835,0.9256794,-0.08156418
0.9400024,-0.02777209,0.925295,-0.08138396
0.9476929,-0.02732103,0.9243505,-0.08084539
0.9589233,-0.02674739,0.9235659,-0.08050893
0.960022,-0.02667691,0.9234709,-0.08047099
0.9700317,-0.02595184,0.922765,-0.08061485
0.9800415,-0.02558994,0.9218268,-0.08045878
0.9833374,-0.02548143,0.9215333,-0.08041798
0.9920044,-0.0249738,0.9212261,-0.08058666
0.999939,-0.02448341,0.9210459,-0.0807964
1.002747,-0.02421899,0.9209973,-0.08092368
1.013489,-0.02360942,0.9209034,-0.08109746
1.019958,-0.02327002,0.9208961,-0.08123041
1.024597,-0.02305671,0.9209324,-0.08137569
1.035583,-0.02278394,0.9209415,-0.08129232
1.039978,-0.02271841,0.9209367,-0.08115381
1.046936,-0.02249894,0.9210439,-0.08078055
1.058044,-0.02210649,0.9212346,-0.08047194
1.059998,-0.02204204,0.9212863,-0.08038656
1.069397,-0.02193425,0.9212015,-0.07994927
1.080017,-0.02191209,0.9209214,-0.07927714
1.080383,-0.02191263,0.9209145,-0.07924534
1.09137,-0.02195743,0.9208648,-0.07842626
1.100037,-0.02229297,0.9210091,-0.07755635
1.102478,-0.02251682,0.9211044,-0.07720306
1.113464,-0.02314895,0.9213964,-0.07626482
1.119934,-0.0234961,0.9216187,-0.07559488
1.124573,-0.02380045,0.921855,-0.07497092
1.138,-0.02464721,0.9227034,-0.07367144
1.139954,-0.02481985,0.9228888,-0.07343725
1.146667,-0.02580552,0.9239467,-0.07235888
1.157898,-0.02717286,0.9251531,-0.07113981
1.159973,-0.02744074,0.9253768,-0.0708959
1.168884,-0.02891025,0.926546,-0.06949629
1.179993,-0.03130048,0.9280617,-0.06719129
1.180237,-0.03132986,0.9280791,-0.06716241
1.191345,-0.03397133,0.9292384,-0.0650207
1.200012,-0.03664205,0.9304276,-0.06318104
1.202332,-0.03769196,0.9309658,-0.06250155
1.213562,-0.04085277,0.9324062,-0.06069538
1.220032,-0.0429863,0.9333446,-0.05951422
1.224426,-0.04482875,0.9342731,-0.0583981
1.235657,-0.04786439,0.9361445,-0.05637535
1.240051,-0.04918006,0.9369708,-0.05547953
1.246765,-0.05172014,0.9382391,-0.05382131
1.257996,-0.05562738,0.9392167,-0.05164342
1.259949,-0.05643586,0.9393616,-0.05121186
1.268982,-0.06031668,0.9407129,-0.04871638
1.279968,-0.06426771,0.9423454,-0.0468201
1.28009,-0.06433024,0.9423726,-0.04679494
1.299988,-0.07129376,0.9453699,-0.04305004
1.303162,-0.0723763,0.9461137,-0.04243235
1.320007,-0.07782383,0.9497964,-0.03899488
