Time, X, Y, Z
0.001037598,0.08657248,1.003999,-0.00770101
0.012146,0.08652122,1.003306,-0.007147625
0.0199585,0.08652545,1.00276,-0.006941423
0.02325439,0.08652797,1.002462,-0.006842405
0.03448486,0.08654171,1.001914,-0.006607905
0.03997803,0.08650931,1.001544,-0.006431684
0.04766846,0.08646299,1.000954,-0.006128252
0.05657959,0.08650115,1.000624,-0.005794153
0.05999756,0.08651725,1.000515,-0.00569196
0.0680542,0.08655293,1.000285,-0.005481809
0.07879639,0.0866094,1.000016,-0.005358547
0.08001709,0.08661672,0.9999829,-0.005344212
0.08990479,0.08665812,0.9996628,-0.005094245
0.1000366,0.08683822,0.9996586,-0.004919648
0.1012573,0.08685296,0.9996592,-0.004899383
0.1121216,0.08694937,0.9997504,-0.004617736
0.1199341,0.087035,0.99983,-0.004464999
0.1233521,0.08707304,0.9998744,-0.004385903
0.1342163,0.08704552,0.99991,-0.004109338
0.1399536,0.08704061,0.9999992,-0.00400041
0.1454468,0.08705123,1.000127,-0.003890842
0.1566772,0.08725639,1.000187,-0.003833205
0.1599731,0.08729631,1.000242,-0.003807127
0.1677856,0.0873887,1.000462,-0.003730148
0.1790161,0.0875022,1.000704,-0.003815144
0.1799927,0.08751065,1.000733,-0.003823608
0.1901245,0.08758435,1.001153,-0.003738374
0.2000122,0.08774716,1.001477,-0.003804088
0.2040405,0.08781514,1.001597,-0.003859639
0.2120972,0.08787838,1.001649,-0.00383012
0.2200317,0.08798105,1.001785,-0.003848076
0.2232056,0.08803597,1.001859,-0.003862604
0.234314,0.08813057,1.002089,-0.00385502
0.2400513,0.0882459,1.00217,-0.003826261
0.2455444,0.08842758,1.002246,-0.003786266
0.256897,0.0885903,1.002381,-0.003657475
0.2599487,0.08867237,1.00241,-0.003673032
0.2680054,0.08895402,1.002479,-0.003847048
0.2793579,0.08917277,1.002478,-0.003904581
0.2799683,0.08918613,1.002478,-0.003910109
0.2908325,0.0894326,1.002493,-0.004053593
0.2999878,0.08956064,1.002455,-0.004158273
0.3018188,0.08958778,1.002442,-0.004175171
0.3131714,0.08966194,1.002336,-0.00422512
0.3200073,0.08961613,1.00228,-0.004297942
0.3244019,0.08959793,1.002245,-0.004377753
0.3355103,0.08959695,1.002111,-0.004494652
0.3400269,0.0895762,1.002044,-0.004488826
0.3466187,0.08954023,1.001949,-0.004432529
0.3600464,0.08944761,1.001685,-0.00425069
0.3618774,0.08943864,1.001633,-0.004242674
0.3684692,0.08937081,1.001498,-0.004132688
0.378479,0.08950658,1.001217,-0.004055291
0.3799438,0.08953149,1.001178,-0.004044235
0.3899536,0.0896299,1.001273,-0.004006505
0.3999634,0.08996989,1.000601,-0.004405513
0.4009399,0.0900101,1.000501,-0.004461646
0.4119263,0.09020867,0.9998645,-0.004811376
0.4199829,0.09018391,0.999598,-0.004803449
0.4230347,0.09012572,0.9995317,-0.004716158
0.4342651,0.09022078,0.9990427,-0.004719079
0.4400024,0.09018563,0.9988278,-0.004768655
0.4452515,0.09000611,0.9988958,-0.004750475
0.4563599,0.08970835,0.9987446,-0.004475132
0.460022,0.08963505,0.9985152,-0.004517019
0.4677124,0.08948995,0.998365,-0.004676834
0.4786987,0.08950128,0.9980408,-0.004895493
0.4800415,0.08951256,0.9979801,-0.004931569
0.4896851,0.08958918,0.9977169,-0.005151168
0.499939,0.08970775,0.9982354,-0.004952833
0.5009155,0.08971567,0.9982958,-0.004918262
0.513855,0.08958764,0.9987065,-0.004938662
0.5199585,0.08964673,0.9986228,-0.005105317
0.5230103,0.0897117,0.9985297,-0.005231857
0.5341187,0.08989258,0.9983709,-0.005394176
0.539978,0.08989169,0.9986905,-0.005099356
0.5453491,0.08979841,0.9992602,-0.004493311
0.5564575,0.08976486,0.9993126,-0.004240438
0.5599976,0.08977383,0.9994675,-0.004143491
0.5675659,0.09021483,0.9993598,-0.004619181
0.5786743,0.09058131,0.9994164,-0.005124122
0.5800171,0.09062739,0.9994516,-0.005170554
0.5896606,0.09094536,1.00035,-0.005358279
