Time, X, Y, Z
12.41998,-0.1428963,0.949246,0.1228288
15.98035,-0.2324622,0.8987023,0.1316305
17.79999,-0.1041969,0.8914943,0.0421968
22.09027,-0.2079577,0.9191817,0.0707837
23.91998,-0.08795919,0.914667,0.03743181
25.62,-0.04428255,0.8867165,-0.02274661
28.94,-0.195816,0.9401766,0.1674793
31.40002,-0.2072248,0.9066498,0.1091767
33.92987,-0.2320253,0.9148013,0.1406852
36.03998,-0.1954846,0.9017395,0.09850663
38.35999,-0.1388972,0.9064606,0.1275482
40.16003,-0.06881146,0.8874341,0.04741777
42.2771,-0.1763775,0.9214271,0.1086905
45.5,-0.1766945,0.9177073,0.04156584
48.46649,-0.1566353,0.9065152,0.1405633
51.53998,-0.08094516,0.9066166,0.0428311
54.16003,-0.2111079,0.8839827,0.1427187
57.73999,-0.1779688,0.9247258,0.132227
61.67999,-0.06710091,0.9379236,0.07050124
63.46002,-0.1514477,0.925594,0.100507
65.22003,-0.09379786,0.9132833,0.09297373
89.38,-0.07366682,0.8843061,-0.004623096
91.32001,-0.1013624,0.9290956,0.07752735
94.85999,-0.0863973,0.9089124,0.1385256
119.12,-0.06641898,0.9035395,0.1037866
125.14,-0.2463512,0.9190671,0.1314272
128.98,-0.1580415,0.9212493,0.1559978
131.9,-0.1791069,0.9643371,0.1309312
135.18,-0.1811752,0.9228965,0.1370023
137.52,-0.1121018,0.9426751,0.07054875
140.1,-0.1027206,0.9520361,0.06671207
147.2,-0.1836957,0.925584,0.1255429
151.04,-0.1218179,0.9270236,0.1473898
154.9,-0.1502835,0.9156049,0.09495342
158.06,-0.03392944,0.894224,0.02728347
176.3624,-0.2026136,0.9212005,0.1155182
179.4,-0.1579649,0.9054467,0.1397989
202.36,-0.1001047,0.901612,-0.02250571
205.1697,-0.2082432,0.9027412,0.08863553
208.42,-0.09567484,0.9106336,0.02034644
213.7,0.02260076,0.897931,0.01252293
216.38,-0.05245711,0.8906361,0.1282358
218.54,-0.1119715,0.9299524,0.06201187
224.66,-0.1644467,0.9170228,0.1442838
227.12,-0.0972136,0.9458382,0.1227469
230.18,-0.1017513,0.9186557,0.1243328
233.1,-0.0811314,0.8994393,0.1284482
235.34,-0.0238275,0.8946182,0.02889533
238.56,-0.1925221,0.9156377,0.109047
245.56,-0.08694,0.9245508,0.05832276
248.24,-0.1240187,0.9196688,0.03770759
250.68,-0.2688825,0.917423,0.1512287
254.4482,-0.1502439,0.9160268,-0.03397254
257.8,-0.177161,0.9057391,0.1818258
260.6892,-0.2194837,0.9144491,0.1462884
263.84,-0.1737027,0.9092352,0.1603028
273.42,-0.1231,0.9299042,0.07136658
275.94,-0.1069606,0.9253057,0.04098943
279.48,-0.1916546,0.9253308,0.1395634
282.7344,-0.1483851,0.910123,0.1130244
285.76,-0.173015,0.9008499,0.1268797
287.98,-0.1461738,0.9186998,0.1018915
291.04,-0.1785755,0.9100964,0.1445026
294.56,-0.1025511,0.9168077,0.0091589
297.14,-0.1768934,0.8988002,0.08398041
301.16,-0.05389488,0.8853507,0.01770668
305.54,-0.169296,0.9302406,0.08659744
308.04,-0.1005776,0.9303072,0.05407852
311.4,-0.2406495,0.9159119,0.1173684
313.78,-0.1911634,0.9505591,0.09440406
316.86,-0.2308677,0.9074969,0.1678349
