Time, X, Y, Z
12.41998,-0.212314,0.86,0.2017286
15.98035,-0.1804944,0.86,0.1565349
17.79999,-0.1916288,0.86,0.2044305
22.09027,-0.204805,0.86,0.1488149
23.91998,-0.1905757,0.86,0.1857482
25.62,-0.1663252,0.86,0.1435803
28.94,-0.1843858,0.86,0.195961
31.40002,-0.1812682,0.86,0.1490926
33.92987,-0.2117521,0.86,0.2032597
36.03998,-0.1589767,0.86,0.1399992
38.35999,-0.1934507,0.86,0.1601968
40.16003,-0.2210281,0.86,0.1959067
42.2771,-0.1811325,0.86,0.1666772
45.5,-0.1799577,0.86,0.2074393
48.46649,-0.2075641,0.86,0.1638963
51.53998,-0.1713312,0.86,0.1929756
54.16003,-0.2097403,0.86,0.172876
57.73999,-0.1574651,0.86,0.1802822
61.67999,-0.1920025,0.86,0.1443605
63.46002,-0.1981976,0.86,0.2093014
65.22003,-0.2200789,0.86,0.1405364
89.38,-0.15608,0.86,0.1658491
91.32001,-0.201328,0.86,0.1995126
94.85999,-0.1504787,0.86,0.1833762
119.12,-0.2044243,0.86,0.1362795
125.14,-0.2095575,0.86,0.1929936
128.98,-0.1524414,0.86,0.1627734
131.9,-0.207951,0.86,0.1487728
135.18,-0.1602837,0.86,0.1414222
137.52,-0.1666133,0.86,0.1962807
140.1,-0.1828469,0.86,0.1536795
147.2,-0.2193226,0.86,0.181583
151.04,-0.1734698,0.86,0.176557
154.9,-0.1905358,0.86,0.1395254
158.06,-0.1645044,0.86,0.1718352
176.3624,-0.2125831,0.86,0.1644035
179.4,-0.1910581,0.86,0.2075205
202.36,-0.1909324,0.86,0.1470211
205.1697,-0.1988373,0.86,0.185263
208.42,-0.2155128,0.86,0.1397357
213.7,-0.1506565,0.86,0.137151
216.38,-0.1937044,0.86,0.2023151
218.54,-0.2228342,0.86,0.1520469
224.66,-0.2116639,0.86,0.1862083
227.12,-0.1632078,0.86,0.1611187
230.18,-0.2239137,0.86,0.1501776
233.1,-0.2068708,0.86,0.2072268
235.34,-0.1536032,0.86,0.1611445
238.56,-0.1896403,0.86,0.1457714
245.56,-0.1877038,0.86,0.1904826
248.24,-0.2015847,0.86,0.1445437
250.68,-0.1666116,0.86,0.2058887
254.4482,-0.1873751,0.86,0.1432136
257.8,-0.1581411,0.86,0.1930419
260.6892,-0.2175,0.86,0.1820239
263.84,-0.1685173,0.86,0.1845883
273.42,-0.2220003,0.86,0.1894206
275.94,-0.2212759,0.86,0.1486839
279.48,-0.1859873,0.86,0.162596
282.7344,-0.1764081,0.86,0.2017197
285.76,-0.1597513,0.86,0.1428616
287.98,-0.1968631,0.86,0.1866493
291.04,-0.1668205,0.86,0.1406496
294.56,-0.2162179,0.86,0.1850612
297.14,-0.1624804,0.86,0.1860346
301.16,-0.2028543,0.86,0.1661697
305.54,-0.1642669,0.86,0.1450037
308.04,-0.2152913,0.86,0.1796663
311.4,-0.1547851,0.86,0.1373606
313.78,-0.2064452,0.86,0.1634498
316.86,-0.1630259,0.86,0.1696505
