Time, X, Y, Z
0,-0.1946302,1.044167,-0.05376306
0.007324219,-0.1946328,1.044069,-0.05342336
0.01837158,-0.1948018,1.043843,-0.05314898
0.02001953,-0.1948338,1.043799,-0.05311348
0.02954102,-0.1949752,1.043531,-0.05285013
0.03997803,-0.1947132,1.043378,-0.05266535
0.04077148,-0.1946918,1.043371,-0.05265522
0.05200195,-0.1946133,1.043243,-0.05247357
0.05999756,-0.1945766,1.043132,-0.05240078
0.06317139,-0.1945561,1.043047,-0.05234459
0.07458496,-0.194655,1.04246,-0.05232313
0.08001709,-0.19474,1.042214,-0.05234279
0.08544922,-0.1948784,1.042086,-0.05233438
0.09698486,-0.195068,1.041853,-0.05228804
0.1000366,-0.1950977,1.041779,-0.05227736
0.1080322,-0.1949936,1.041573,-0.05235113
0.1191406,-0.1949017,1.041398,-0.05242312
0.1199951,-0.1948837,1.041379,-0.05242497
0.1303101,-0.1946897,1.041211,-0.0524344
0.1400146,-0.1944665,1.041073,-0.05244637
0.152832,-0.1943989,1.040745,-0.05258751
0.1600342,-0.1943253,1.040574,-0.052523
0.1694946,-0.194162,1.040503,-0.05236122
0.1799927,-0.1941614,1.040511,-0.0525284
0.1810303,-0.1941559,1.040512,-0.05253635
0.1921387,-0.1939671,1.040653,-0.05251801
0.2000122,-0.1939158,1.040762,-0.05276765
0.2033081,-0.1938806,1.040813,-0.05284779
0.2143555,-0.1935621,1.040717,-0.05265105
0.2200317,-0.1933485,1.040822,-0.05275474
0.225647,-0.193122,1.040888,-0.05285905
0.2366333,-0.1928172,1.04093,-0.05304539
0.2399902,-0.1926882,1.041029,-0.0532687
0.2480469,-0.1923373,1.041116,-0.05368561
0.2589111,-0.192055,1.040962,-0.054142
0.2600098,-0.1920512,1.041065,-0.05414462
0.2699585,-0.1917986,1.041294,-0.05448523
0.2800293,-0.1914431,1.041188,-0.05474794
0.28125,-0.1913998,1.041189,-0.05478986
0.2946777,-0.1907424,1.041305,-0.05550319
0.2999878,-0.1906832,1.041636,-0.05566484
0.3032227,-0.1905548,1.0418,-0.05580011
0.3145142,-0.1898452,1.04203,-0.05582015
0.3200073,-0.1898355,1.042152,-0.05600242
0.3255615,-0.1897158,1.04232,-0.05617209
0.336731,-0.1892524,1.042525,-0.05638768
0.3400269,-0.1891862,1.042603,-0.05638427
0.3476563,-0.188968,1.042788,-0.05647771
0.3587646,-0.1890021,1.043071,-0.05653618
0.3599854,-0.1890989,1.043028,-0.05651264
0.369751,-0.1893513,1.042956,-0.05657141
0.3800049,-0.1896663,1.042734,-0.05663842
0.3809814,-0.1897093,1.042707,-0.05665076
0.392334,-0.1904014,1.042599,-0.05664292
0.4000244,-0.1908628,1.042492,-0.0568811
0.4032593,-0.1911301,1.042441,-0.05697662
0.4143066,-0.192089,1.042792,-0.0569533
