Time, X, Y, Z
0,0.07717793,1.046713,-0.01326057
0.007324219,0.07714675,1.04679,-0.01350144
0.01837158,0.07706024,1.046903,-0.01355097
0.02001953,0.07704802,1.046922,-0.0135511
0.02954102,0.07705829,1.046974,-0.01362287
0.03997803,0.07704328,1.047193,-0.01348528
0.04077148,0.07703451,1.047217,-0.01346827
0.05200195,0.07697669,1.047408,-0.01326242
0.05999756,0.0769991,1.047475,-0.01327246
0.06317139,0.07701944,1.047493,-0.01327395
0.07458496,0.07714453,1.047519,-0.01307493
0.08001709,0.07721861,1.04753,-0.01301083
0.08544922,0.07727189,1.047578,-0.01294658
0.09698486,0.07737116,1.047654,-0.01282248
0.1000366,0.0774179,1.047666,-0.01279251
0.1080322,0.07749642,1.047637,-0.01277444
0.1191406,0.07768652,1.047659,-0.01269816
0.1199951,0.07771678,1.047657,-0.01269339
0.1303101,0.07801063,1.047602,-0.01265685
0.1400146,0.07821974,1.047619,-0.01269406
0.152832,0.07851371,1.047684,-0.01272871
0.1600342,0.07872454,1.047698,-0.01275477
0.1694946,0.07904369,1.047796,-0.01280555
0.1799927,0.07932631,1.047828,-0.01291893
0.1810303,0.07935887,1.047835,-0.01292942
0.1921387,0.07962984,1.047881,-0.01288438
0.2000122,0.07985686,1.04799,-0.01284343
0.2033081,0.07997906,1.048032,-0.01280482
0.2143555,0.08020817,1.047761,-0.0127241
0.2200317,0.08028246,1.047729,-0.01250169
0.225647,0.08039859,1.047656,-0.01235561
0.2366333,0.08041303,1.047786,-0.01245701
0.2399902,0.08052491,1.04776,-0.0126034
0.2480469,0.0807502,1.047645,-0.01286367
0.2589111,0.08099259,1.047668,-0.01306719
0.2600098,0.0809563,1.047734,-0.01303938
0.2699585,0.08103358,1.047908,-0.01309045
0.2800293,0.08117329,1.04766,-0.01287368
0.28125,0.08119165,1.047648,-0.01286194
0.2946777,0.08137051,1.048042,-0.01271248
0.2999878,0.08141884,1.047958,-0.01256822
0.3032227,0.08147654,1.04799,-0.01246406
0.3145142,0.0815367,1.048143,-0.01259956
0.3200073,0.08162677,1.048187,-0.01256584
0.3255615,0.08169722,1.048265,-0.01256132
0.336731,0.08178399,1.048131,-0.01243483
0.3400269,0.08177097,1.048128,-0.01244353
0.3476563,0.0817618,1.048084,-0.01242658
0.3587646,0.08149525,1.047933,-0.01244943
0.3599854,0.08145797,1.047905,-0.01247093
0.369751,0.08122645,1.047583,-0.01263012
0.3800049,0.08119233,1.047195,-0.01288183
0.3809814,0.08117195,1.047136,-0.01291621
0.392334,0.08091205,1.046562,-0.01340112
0.4000244,0.08060983,1.046024,-0.01360752
0.4032593,0.08044731,1.045728,-0.01373039
0.4143066,0.0797874,1.044934,-0.01392162
0.4199829,0.07936245,1.044396,-0.01408118
0.425293,0.07889866,1.043796,-0.01424281
0.4364624,0.07800113,1.042627,-0.01485629
0.4400024,0.07759137,1.04206,-0.01501423
0.4487915,0.07657603,1.04057,-0.01553029
0.4586182,0.07582413,1.039131,-0.01583451
0.460022,0.07574801,1.03878,-0.01600605
0.4697266,0.07496951,1.036329,-0.0169245
0.4799805,0.07448751,1.033952,-0.01761034
0.480896,0.07443606,1.033719,-0.01768148
0.4920044,0.07390086,1.030447,-0.01933122
0.5,0.07362432,1.027756,-0.02080491
0.5031738,0.0734746,1.026286,-0.02162422
0.5142212,0.07284515,1.02325,-0.02376041
0.5200195,0.07275745,1.021539,-0.02502766
