Time, X, Y, Z
0,-0.10119,0.9060742,0.03976528
0,-0.1698781,0.9126871,0.1491701
0,-0.1975662,0.9183009,0.1346688
0,-0.1497686,0.9414245,0.196689
0,-0.2219314,0.9242098,0.2010969
0,-0.1633163,0.9097071,0.1654622
0,-0.1840088,0.9201598,0.135969
0,-0.1674557,0.916128,0.2089641
0,-0.1932154,0.9071134,0.1507673
0,-0.205722,0.8985605,0.2135238
0,-0.174935,0.9600642,0.1998888
0,-0.18305,0.9172614,0.1223825
0,-0.2121802,0.9122089,0.1614769
0,-0.1277962,0.901606,0.1076954
0,-0.1884713,0.9172086,0.1608603
0,-0.2135712,0.9188886,0.1819489
0,-0.2373371,0.9257745,0.2381249
0,-0.1487375,0.9016769,0.1951954
0,-0.1444517,0.9276943,0.1446248
0,-0.1683003,0.9172613,0.2230892
0,-0.2225778,0.8930285,0.1568581
0,-0.1990858,0.8965309,0.2012714
0,-0.1923308,0.8813782,0.135434
0,-0.1688692,0.9025386,0.1962363
12.858,-0.1514982,0.9004079,0.2010013
15.27802,-0.2357623,0.9083447,0.1838585
17.798,-0.2129294,0.9148013,0.2185962
20.05801,-0.1868596,0.9048235,0.1950412
22.638,-0.2260095,0.8953284,0.1813654
26.49802,-0.200755,0.8968878,0.1978374
28.11801,-0.1143711,0.9138604,0.07712437
30.75803,-0.2259414,0.9280787,0.2160592
40.51801,-0.178829,0.9004596,0.1458849
43.21802,-0.207711,0.9085352,0.1855286
45.55801,-0.2159,0.9178684,0.1433199
48.15802,-0.1871643,0.9071334,0.1599266
50.638,-0.212453,0.907419,0.198573
53.25803,-0.1627635,0.9155967,0.2044713
58.45801,-0.2022382,0.9119952,0.1919983
81.53802,-0.1812077,0.9094447,0.1897306
84.09802,-0.2237365,0.9103481,0.1636393
87.33801,-0.2298584,0.9218774,0.1873089
89.35803,-0.1858443,0.9142276,0.2041682
91.49799,-0.2324471,0.8939137,0.2195718
93.578,-0.1958643,0.9001478,0.182453
95.93799,-0.2049916,0.9120018,0.1385343
99.27802,-0.1692596,0.917196,0.1891869
103.018,-0.2188163,0.9132342,0.2043004
105.298,-0.1704906,0.9246355,0.1703719
107.638,-0.2146281,0.9136209,0.1754584
110.278,-0.2200432,0.9030786,0.195994
115.298,-0.1612245,0.908849,0.1536836
120.998,-0.1910377,0.9121483,0.1614942
132.638,-0.1868713,0.9296818,0.1907582
155.138,-0.2309367,0.9005356,0.1564394
157.658,-0.1845228,0.8905347,0.1532694
160.178,-0.237032,0.9061826,0.187428
163.858,-0.2067816,0.9122565,0.2147107
166.318,-0.2386561,0.8979099,0.1711878
170.198,-0.178772,0.9110166,0.1692684
172.738,-0.1962371,0.9071497,0.2217185
174.998,-0.2540905,0.9135988,0.1774019
176.818,-0.106094,0.9056922,0.0688487
179.438,-0.2403521,0.8980191,0.2281604
183.338,-0.170214,0.8966743,0.2138452
186.938,-0.2042567,0.8995436,0.1511934
190.838,-0.187429,0.9000078,0.1889981
196.458,-0.2213785,0.9047458,0.1588079
199.438,-0.2077651,0.9118966,0.1929259
222.438,-0.2038994,0.9300361,0.1590277
224.618,-0.1811157,0.9229226,0.1755257
227.338,-0.2237536,0.897936,0.1876969
229.938,-0.1807981,0.896078,0.2265746
232.478,-0.1788847,0.911,0.1872294
234.718,-0.2378568,0.900583,0.1541558
237.558,-0.18789,0.8983277,0.1900487
240.758,-0.2307248,0.9289651,0.1773828
242.998,-0.1656027,0.9241824,0.2189785
245.398,-0.1778232,0.9004074,0.1801442
247.898,-0.1864753,0.9099618,0.2196795
249.258,-0.09557037,0.9102616,-0.02148744
251.998,-0.2253502,0.883404,0.1550007
254.278,-0.216814,0.9103659,0.1967454
257.778,-0.1690986,0.9194596,0.1568716
