Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.1655156,0.86,0.1536159
0,-0.209902,0.86,0.1416923
0,-0.1566489,0.86,0.1718735
0,-0.2220334,0.86,0.1930799
0,-0.1779029,0.86,0.1825859
0,-0.1970939,0.86,0.1416909
0,-0.1751271,0.86,0.1916206
0,-0.1723568,0.86,0.1460911
0,-0.2020355,0.86,0.1939484
0,-0.15,0.86,0.2
0,-0.1640298,0.86,0.1565014
0,-0.191733,0.86,0.2069995
0,-0.1789617,0.86,0.1517356
0,-0.1722188,0.86,0.1900817
0,-0.2047175,0.86,0.1690275
0,-0.2224759,0.86,0.2051208
0,-0.1845093,0.86,0.1792158
0,-0.1978721,0.86,0.1458624
0,-0.1805116,0.86,0.2048142
0,-0.2212672,0.86,0.1696429
0,-0.1785455,0.86,0.1875211
0,-0.1753679,0.86,0.1425899
0,-0.1704002,0.86,0.2019453
12.858,-0.15,0.86,0.2
15.27802,-0.2104772,0.86,0.1690545
17.798,-0.1914884,0.86,0.2093356
20.05801,-0.1700818,0.86,0.1667197
22.638,-0.1969735,0.86,0.1433004
26.49802,-0.1726441,0.86,0.1867999
28.11801,-0.2112426,0.86,0.1674908
30.75803,-0.2054178,0.86,0.2029977
40.51801,-0.1861815,0.86,0.1485919
43.21802,-0.1949775,0.86,0.1879673
45.55801,-0.2114854,0.86,0.1434664
48.15802,-0.1634715,0.86,0.1442043
50.638,-0.1955636,0.86,0.1818717
53.25803,-0.1680941,0.86,0.2080402
58.45801,-0.197337,0.86,0.1865238
81.53802,-0.1543339,0.86,0.1869464
84.09802,-0.1985151,0.86,0.1476648
87.33801,-0.2010532,0.86,0.1832204
89.35803,-0.164141,0.86,0.1951923
91.49799,-0.2089522,0.86,0.2090787
93.578,-0.1872725,0.86,0.1733489
95.93799,-0.1822149,0.86,0.1378671
99.27802,-0.1598926,0.86,0.1843621
103.018,-0.2187777,0.86,0.2087161
105.298,-0.1535717,0.86,0.1570038
107.638,-0.1984884,0.86,0.1528012
110.278,-0.2122053,0.86,0.1906093
115.298,-0.1632993,0.86,0.1374548
120.998,-0.1827855,0.86,0.1672404
132.638,-0.1899827,0.86,0.2035001
155.138,-0.2039952,0.86,0.1530096
157.658,-0.1596497,0.86,0.1554375
160.178,-0.1904507,0.86,0.1374662
163.858,-0.1791501,0.86,0.2005902
166.318,-0.215119,0.86,0.1480158
170.198,-0.1661047,0.86,0.1505971
172.738,-0.1597156,0.86,0.2085472
174.998,-0.2161703,0.86,0.1505138
176.818,-0.1502327,0.86,0.1352044
179.438,-0.2064542,0.86,0.1817247
183.338,-0.1506729,0.86,0.1935063
186.938,-0.1996477,0.86,0.1426211
190.838,-0.1761649,0.86,0.1710278
196.458,-0.2118707,0.86,0.1354167
199.438,-0.1910826,0.86,0.176871
222.438,-0.1980884,0.86,0.1415439
224.618,-0.1564656,0.86,0.1611685
227.338,-0.2009504,0.86,0.1688371
229.938,-0.1549202,0.86,0.2096721
232.478,-0.1551193,0.86,0.1610785
234.718,-0.219231,0.86,0.1350392
237.558,-0.1595672,0.86,0.1632445
240.758,-0.21256,0.86,0.1504524
242.998,-0.153957,0.86,0.1994405
245.398,-0.1538025,0.86,0.1571572
247.898,-0.1650755,0.86,0.2054672
249.258,-0.1517163,0.86,0.1461035
251.998,-0.2036803,0.86,0.1414021
254.278,-0.1896557,0.86,0.1823715
257.778,-0.1596341,0.86,0.1596227
