Time, X, Y, Z
0.005218506,-0.2021982,1.100926,-0.03612067
0.01617432,-0.202141,1.100837,-0.03611524
0.01800537,-0.2021284,1.100839,-0.03612824
0.02734375,-0.2020644,1.100837,-0.03619255
0.0380249,-0.2019291,1.100803,-0.03617333
0.03860474,-0.2019253,1.100801,-0.03617302
0.05310059,-0.202088,1.100686,-0.03627276
0.05801392,-0.2020377,1.100718,-0.03627343
0.0604248,-0.2020216,1.100713,-0.03628932
0.07116699,-0.2020768,1.10074,-0.03628482
0.07800293,-0.202068,1.100727,-0.03622262
0.0821228,-0.2020571,1.10072,-0.03617074
0.09329224,-0.2020738,1.100662,-0.03627339
0.09802246,-0.2020638,1.100691,-0.03636605
0.1043701,-0.2020378,1.100761,-0.03651638
0.115509,-0.2020401,1.100886,-0.0365376
0.1180115,-0.2020201,1.100911,-0.03651404
0.1268921,-0.2019223,1.101006,-0.03639315
0.1377563,-0.2019854,1.100801,-0.03648369
0.1380005,-0.2019867,1.100796,-0.03648564
0.1488342,-0.2018567,1.100759,-0.03652771
0.15802,-0.2018117,1.100814,-0.03652172
0.1599731,-0.2017983,1.100825,-0.03652199
0.1711731,-0.2016558,1.100839,-0.03656931
0.178009,-0.2016883,1.100871,-0.03651409
0.1820984,-0.2017219,1.100895,-0.03646836
0.1933899,-0.2016083,1.101005,-0.03645173
0.197998,-0.201562,1.100991,-0.03647059
0.2053223,-0.2014818,1.100931,-0.0365161
0.2154236,-0.2014223,1.100931,-0.03664389
0.2180176,-0.2014429,1.100913,-0.03665715
0.2266846,-0.2016312,1.100807,-0.03663361
0.2380066,-0.2016453,1.100792,-0.03663403
0.2381592,-0.2016454,1.100792,-0.03663404
0.2489319,-0.201708,1.10055,-0.03671424
0.2580261,-0.2018644,1.100575,-0.03661703
0.2600098,-0.2019155,1.100593,-0.03659017
0.2710266,-0.2017166,1.100648,-0.03690417
0.2780151,-0.2017632,1.100594,-0.03693981
0.2821655,-0.2018275,1.100548,-0.03693736
0.2932129,-0.2018363,1.100288,-0.03703326
0.2980042,-0.201836,1.100238,-0.03704822
0.3043823,-0.201836,1.100207,-0.03704517
0.3154297,-0.2018357,1.100157,-0.03722584
0.3180237,-0.2018435,1.100135,-0.037267
0.3266296,-0.2018747,1.100008,-0.03740612
0.3376465,-0.2016525,1.099735,-0.03767194
0.3380127,-0.2016442,1.099725,-0.03768176
0.348938,-0.2016218,1.099406,-0.03771214
0.3580017,-0.2013687,1.099363,-0.03784427
0.3620605,-0.2012378,1.099341,-0.03790858
0.3710938,-0.2008217,1.099155,-0.03809908
0.3780212,-0.2005733,1.098897,-0.03830463
