Time, X, Y, Z
0.005218506,0.008018721,1.125726,-0.01532182
0.01617432,0.007991716,1.125945,-0.01524062
0.01800537,0.008035675,1.125953,-0.0152607
0.02734375,0.008239832,1.126001,-0.01535644
0.0380249,0.008314356,1.126086,-0.01545899
0.03860474,0.008315932,1.12609,-0.01546504
0.05310059,0.008404966,1.126117,-0.01529491
0.05801392,0.008414619,1.126203,-0.01543301
0.0604248,0.00843931,1.126234,-0.01547793
0.07116699,0.00840823,1.126226,-0.01544464
0.07800293,0.008361913,1.126238,-0.01547544
0.0821228,0.008329038,1.12625,-0.01549615
0.09329224,0.008263685,1.126278,-0.01564696
0.09802246,0.00824216,1.126296,-0.01571263
0.1043701,0.008216307,1.126339,-0.01580516
0.115509,0.008041386,1.126355,-0.01573886
0.1180115,0.00804108,1.126348,-0.0157246
0.1268921,0.008082576,1.12631,-0.01567386
0.1377563,0.008071642,1.126297,-0.01576746
0.1380005,0.008071441,1.126296,-0.01576957
0.1488342,0.008156855,1.126329,-0.01586922
0.15802,0.008004297,1.126293,-0.01591919
0.1599731,0.00797414,1.126285,-0.01593105
0.1711731,0.007978022,1.12631,-0.01593339
0.178009,0.007973883,1.126297,-0.01590839
0.1820984,0.007971901,1.126284,-0.01588865
0.1933899,0.008006487,1.126308,-0.01587388
0.197998,0.007991601,1.126296,-0.01584148
0.2053223,0.007949956,1.126264,-0.01576973
0.2154236,0.007898819,1.126154,-0.01576282
0.2180176,0.007879693,1.126142,-0.01578102
0.2266846,0.00778966,1.126151,-0.01589875
0.2380066,0.007588428,1.126117,-0.01587707
0.2381592,0.007585607,1.126116,-0.01587674
0.2489319,0.007440452,1.126035,-0.01585476
0.2580261,0.007245682,1.126017,-0.01571743
0.2600098,0.007183313,1.126013,-0.01567692
0.2710266,0.007010087,1.126053,-0.01573838
0.2780151,0.006951846,1.126053,-0.01576388
0.2821655,0.006919418,1.126056,-0.0157813
0.2932129,0.006738227,1.125991,-0.01571846
0.2980042,0.006693386,1.125953,-0.01570411
0.3043823,0.006652329,1.125891,-0.01569234
0.3154297,0.006550569,1.125996,-0.01566079
0.3180237,0.006521262,1.126001,-0.01567057
0.3266296,0.006425861,1.125959,-0.01579307
0.3376465,0.006431371,1.125926,-0.01589993
0.3380127,0.006431613,1.125925,-0.0159037
0.348938,0.006570376,1.125964,-0.01593158
0.3580017,0.006559987,1.126049,-0.01604451
0.3620605,0.006555192,1.126074,-0.01609184
0.3710938,0.006579701,1.126009,-0.01606405
0.3780212,0.006543029,1.125909,-0.01613215
0.3822327,0.006509025,1.125839,-0.01619232
0.393219,0.006570164,1.125753,-0.01618321
0.3980103,0.006593309,1.125673,-0.01618113
0.4043884,0.006635584,1.125494,-0.01620422
0.4157104,0.00653379,1.125395,-0.01623429
0.4179993,0.006542418,1.125427,-0.01623292
0.4268188,0.006631047,1.125596,-0.01619567
0.4380188,0.006564222,1.125653,-0.01604466
0.4381409,0.006564274,1.125654,-0.01604404
0.4492798,0.006739493,1.125624,-0.01588896
0.4580078,0.006823454,1.125357,-0.01586559
0.4607544,0.006853227,1.125239,-0.0158661
0.4718933,0.006836351,1.124977,-0.01580086
0.4780273,0.00690629,1.124766,-0.01573616
0.4830933,0.006978199,1.124581,-0.01564114
0.4943542,0.006905731,1.124375,-0.0153046
0.4980164,0.006950717,1.124382,-0.01522413
0.5058289,0.007126722,1.124496,-0.01505616
0.5180054,0.00739016,1.124594,-0.01482643
0.519104,0.007412203,1.124607,-0.01479624
0.52771,0.00747342,1.124676,-0.01463234
0.5380249,0.007607877,1.124552,-0.01450728
0.5390625,0.007628515,1.124509,-0.01448378
0.5499878,0.007842932,1.124261,-0.0143618
0.5580139,0.007985815,1.124057,-0.01435845
0.5611267,0.008054655,1.12392,-0.0143701
0.5722961,0.008033291,1.123664,-0.01433672
0.5780029,0.008049093,1.123624,-0.01428291
0.5832825,0.008070141,1.123603,-0.01420704
0.5947876,0.008137252,1.123595,-0.01405247
0.5980225,0.008138862,1.123609,-0.01399182
0.6056213,0.008133523,1.123664,-0.0138215
0.6166687,0.008282911,1.123629,-0.01387383
0.6180115,0.00830657,1.123625,-0.01388443
0.6277771,0.00849776,1.123482,-0.01407765
0.6380005,0.008526608,1.123561,-0.0140577
0.638916,0.008526757,1.123568,-0.014054
0.6499329,0.008402593,1.123596,-0.01390406
0.65802,0.008539848,1.123455,-0.01375246
0.6612549,0.008637,1.123363,-0.01366478
0.6742859,0.008660696,1.123601,-0.01347575
0.678009,0.008638222,1.123619,-0.01353884
0.6834106,0.008608039,1.12366,-0.01362279
0.6945801,0.008686218,1.123679,-0.01364234
0.697998,0.008709867,1.123718,-0.01361336
0.7055054,0.008788429,1.123817,-0.01349039
0.7165833,0.008640226,1.123778,-0.01346621
0.7180176,0.008610994,1.12377,-0.01346709
0.7278137,0.008469537,1.123961,-0.01363727
0.7380066,0.008075874,1.123964,-0.01399186
0.7389832,0.008032307,1.123974,-0.01402538
0.75,0.007747006,1.124193,-0.01396115
0.7580261,0.0075064,1.124489,-0.01383013
0.7611694,0.007381186,1.124637,-0.01375924
0.7721558,0.00718597,1.124996,-0.01338372
0.7780151,0.007114086,1.125189,-0.01327905
0.7832947,0.007056434,1.125387,-0.01321962
0.7944336,0.006946791,1.12566,-0.01309042
0.7980042,0.006908827,1.125712,-0.01308252
0.805542,0.006860178,1.125821,-0.01311204
0.8167725,0.00676905,1.125999,-0.01303916
0.8180237,0.006762378,1.12602,-0.01303326
0.8302917,0.006812207,1.126236,-0.01303959
0.8380127,0.007037122,1.126346,-0.01295197
0.8387146,0.007053718,1.126362,-0.01294464
0.8496704,0.007322636,1.126753,-0.01282917
0.8580017,0.007709324,1.126858,-0.0126811
0.8607483,0.007894874,1.126881,-0.01260622
0.8718262,0.008330487,1.127208,-0.01273626
0.8780212,0.008578084,1.127365,-0.01289368
0.8830566,0.008788981,1.127506,-0.01308097
0.8940125,0.009258952,1.127656,-0.01322348
0.8980103,0.009442911,1.127684,-0.0132889
0.9053345,0.009808052,1.12768,-0.01350488
0.9162903,0.009997807,1.127773,-0.01355503
0.9179993,0.01001687,1.127801,-0.01355153
0.9274292,0.01033887,1.127923,-0.01349671
0.9380188,0.01051974,1.127892,-0.01332884
0.9384766,0.01052071,1.127889,-0.01332507
0.9517822,0.0106523,1.127844,-0.01322916
0.9580078,0.01070881,1.127818,-0.01314306
0.9607544,0.01073262,1.127806,-0.01309343
0.9719543,0.010828,1.127753,-0.01308869
0.9780273,0.01081721,1.127655,-0.01304856
0.9842834,0.01072419,1.127526,-0.0130488
0.9940796,0.01055841,1.127497,-0.01282087
0.9980164,0.01049021,1.127447,-0.01272853
1.005157,0.01026989,1.12729,-0.01270747
1.016144,0.01001876,1.127246,-0.0126469
1.018005,0.009974044,1.127245,-0.01263605
1.027283,0.00958477,1.127145,-0.01253708
1.038025,0.009211358,1.127021,-0.01239808
1.038422,0.009198137,1.127016,-0.01239431
1.04953,0.008908916,1.126962,-0.01245113
1.058014,0.008528069,1.126948,-0.01247609
1.060669,0.008346349,1.126948,-0.01249015
1.071625,0.007902876,1.126723,-0.01245387
1.078003,0.007538166,1.12657,-0.01240391
1.082947,0.007154711,1.126463,-0.01232108
1.093964,0.006617442,1.126229,-0.01226999
1.098022,0.00644682,1.126116,-0.01229861
1.105194,0.006011475,1.125923,-0.0123194
1.116394,0.005558543,1.125722,-0.01239455
1.118011,0.005504992,1.125697,-0.01240921
1.127502,0.005264439,1.125508,-0.01248741
1.138,0.00503321,1.125449,-0.01239379
1.140808,0.00496874,1.125462,-0.01234198
1.14917,0.00476376,1.125457,-0.01233485
1.15802,0.004542325,1.125577,-0.01241724
1.160339,0.004451748,1.125631,-0.01247498
1.171509,0.004238058,1.125638,-0.01263925
1.178009,0.004119847,1.125691,-0.01270857
1.182739,0.004074477,1.125816,-0.01273522
1.193665,0.003991928,1.125781,-0.01272982
1.197998,0.003988445,1.125738,-0.0127708
1.204834,0.00399461,1.125746,-0.01274747
1.215912,0.003924087,1.125683,-0.01265259
1.218018,0.003903262,1.125675,-0.01263013
1.227081,0.00384539,1.125723,-0.01260267
1.238007,0.003895607,1.125779,-0.01268533
1.238159,0.003895815,1.125779,-0.01268575
1.249359,0.003974173,1.125857,-0.01269549
1.258026,0.004041646,1.12585,-0.01270279
1.260406,0.004084677,1.125822,-0.01273087
1.271454,0.004229944,1.125714,-0.01274
1.278015,0.004212454,1.125658,-0.01265331
1.282745,0.00420545,1.125617,-0.01262949
1.297729,0.004429501,1.125445,-0.01243807
1.298004,0.004433982,1.125441,-0.01243427
1.304749,0.004509915,1.125409,-0.01238781
1.314514,0.0045764,1.125351,-0.01237592
1.318024,0.004618123,1.125485,-0.01231143
1.325623,0.004661549,1.125489,-0.01217155
1.336945,0.004645195,1.125285,-0.01193076
1.338013,0.004679754,1.125247,-0.01187705
1.347839,0.004639275,1.125034,-0.01158418
1.358002,0.004497845,1.125068,-0.01152416
1.358887,0.004476488,1.125075,-0.01154903
1.370331,0.004335992,1.125033,-0.01153143
1.378021,0.004520748,1.125045,-0.01135504
1.381195,0.004515775,1.125001,-0.01141793
1.392303,0.004597936,1.124959,-0.01155183
1.39801,0.004526321,1.124902,-0.01159182
1.403351,0.004589602,1.124801,-0.01165546
1.414551,0.004717808,1.124651,-0.01171498
1.417999,0.004720662,1.124602,-0.0115779
1.42569,0.004738417,1.124562,-0.0115152
