Time, X, Y, Z
12.14001,-0.2198869,0.8945814,0.179756
14.32007,-0.2111387,0.9019423,0.2181361
16.28003,-0.1715009,0.8978804,0.1869048
18.59998,-0.2290633,0.914199,0.1993561
20.88,-0.2441596,0.8967757,0.1511882
23.20007,-0.1995739,0.9047964,0.1644218
25.30005,-0.2179469,0.9106037,0.183277
27.54004,-0.1682404,0.9156823,0.1824436
29.70007,-0.2361369,0.9035957,0.2294934
31.88,-0.1657876,0.9122722,0.204628
33.97998,-0.1708545,0.9147412,0.1739385
36.14001,-0.1999221,0.9044912,0.2026375
37.96008,-0.2438043,0.8937755,0.1679941
43.56006,-0.1697815,0.8988533,0.1896266
45.66003,-0.2342064,0.8927851,0.167649
66.59021,-0.165264,0.9125787,0.1833267
66.59021,-0.1716186,0.9232646,0.1944182
75.52002,-0.229578,0.905057,0.2053882
77.5,-0.1940473,0.9033149,0.1586246
80.08008,-0.1969833,0.9013564,0.1986111
82.54004,-0.2291491,0.8969708,0.2444521
85.97998,-0.2351155,0.8667088,0.2212128
88.18005,-0.2231742,0.8915634,0.1744483
91.62,-0.1969821,0.9086074,0.2212454
93.42004,-0.1028405,0.9443035,0.1297021
97.09998,-0.2283344,0.9019158,0.2094486
99.33997,-0.2045661,0.8981993,0.1846641
102.62,-0.1552679,0.8983373,0.2275215
104.22,-0.1093287,0.9345891,0.09447663
106.8201,-0.228644,0.9029929,0.2321801
109.14,-0.2390998,0.9005325,0.1884822
112.38,-0.1815569,0.9080817,0.1916023
135.5601,-0.1952464,0.9036056,0.15308
138.66,-0.1522526,0.9080184,0.2009976
140.76,-0.221226,0.8961965,0.1644638
143.8,-0.1588947,0.9016933,0.1470755
147.0601,-0.2050344,0.9043567,0.148361
148.6801,-0.1080715,0.9254596,0.101073
150.8,-0.2282736,0.9278013,0.1798097
153.0601,-0.1841108,0.9249769,0.1991724
154.9601,-0.2027521,0.9197347,0.1066165
158.42,-0.1166151,0.9247805,0.08494129
161.22,-0.2048243,0.9062359,0.138934
163.72,-0.1661627,0.9235619,0.2176316
167.8201,-0.1802347,0.9056666,0.1624876
172.16,-0.09811483,0.9377423,0.1134846
175.5801,-0.2265071,0.9094469,0.1761833
198.6,-0.1704395,0.899727,0.1593496
200.48,-0.209342,0.9332177,0.2107842
203.4601,-0.1799745,0.903838,0.1925951
206.22,-0.2255192,0.9008112,0.1911635
208.9,-0.1654845,0.9028054,0.1531848
211.8,-0.2385742,0.9062663,0.1729293
214.64,-0.1902966,0.9075305,0.1894889
215.1112,-0.173996,0.9005125,0.1414998
223.78,-0.1663323,0.9168764,0.1954282
227.62,-0.1886567,0.912243,0.1723119
230.24,-0.216492,0.8987308,0.1969048
234.24,-0.198297,0.9267248,0.1749794
237.5,-0.1999771,0.9115338,0.2087854
241.9601,-0.1630634,0.920653,0.1801137
249.1801,-0.2110019,0.9142812,0.1729412
252.04,-0.1698296,0.9052597,0.1904217
