Time, X, Y, Z
12.14001,-0.2217839,0.86,0.1773708
14.32007,-0.1985356,0.86,0.204413
16.28003,-0.1555607,0.86,0.176348
18.59998,-0.2162266,0.86,0.1902643
20.88,-0.2154712,0.86,0.1366728
23.20007,-0.177264,0.86,0.1510108
25.30005,-0.207634,0.86,0.1833554
27.54004,-0.155637,0.86,0.1582099
29.70007,-0.2148287,0.86,0.2010392
31.88,-0.150276,0.86,0.1957806
33.97998,-0.1598407,0.86,0.1480773
36.14001,-0.1801246,0.86,0.1925572
37.96008,-0.2212476,0.86,0.1635375
43.56006,-0.1525511,0.86,0.1764959
45.66003,-0.2102099,0.86,0.1457146
66.59021,-0.1616085,0.86,0.1650845
66.59021,-0.1641525,0.86,0.2096033
75.52002,-0.2211652,0.86,0.1950688
77.5,-0.1819356,0.86,0.1358952
80.08008,-0.1749624,0.86,0.1821343
82.54004,-0.2067628,0.86,0.2096869
85.97998,-0.2203578,0.86,0.1754015
88.18005,-0.2051255,0.86,0.1350827
91.62,-0.1893823,0.86,0.1939381
93.42004,-0.1668387,0.86,0.1637153
97.09998,-0.2155606,0.86,0.1777298
99.33997,-0.168881,0.86,0.1411495
102.62,-0.1514079,0.86,0.2065606
104.22,-0.1603421,0.86,0.159031
106.8201,-0.2149129,0.86,0.2048953
109.14,-0.2224721,0.86,0.1490365
112.38,-0.1656725,0.86,0.1677507
135.5601,-0.2006246,0.86,0.1426166
138.66,-0.1607382,0.86,0.1981084
140.76,-0.2192921,0.86,0.1617136
143.8,-0.1578275,0.86,0.1542881
147.0601,-0.2108289,0.86,0.1616372
148.6801,-0.1916632,0.86,0.2018432
150.8,-0.2116206,0.86,0.1725927
153.0601,-0.1841492,0.86,0.1991532
154.9601,-0.2109219,0.86,0.1410472
158.42,-0.2092711,0.86,0.195627
161.22,-0.1983503,0.86,0.1352694
163.72,-0.1547312,0.86,0.2036081
167.8201,-0.1735284,0.86,0.1500522
172.16,-0.1526367,0.86,0.204477
175.5801,-0.2020385,0.86,0.1475661
198.6,-0.164389,0.86,0.1399182
200.48,-0.215772,0.86,0.2034117
203.4601,-0.1717186,0.86,0.179053
206.22,-0.2127598,0.86,0.1762781
208.9,-0.1639562,0.86,0.1507931
211.8,-0.2197387,0.86,0.1545172
214.64,-0.1777183,0.86,0.1690034
215.1112,-0.1500369,0.86,0.1353117
223.78,-0.1677052,0.86,0.1901235
227.62,-0.1837688,0.86,0.1580798
230.24,-0.2190018,0.86,0.1984328
234.24,-0.1816938,0.86,0.1609583
237.5,-0.1895541,0.86,0.2063264
241.9601,-0.15455,0.86,0.164359
249.1801,-0.1964266,0.86,0.1464827
252.04,-0.1639725,0.86,0.1848251
