Time, X, Y, Z
0,-0.1391533,1.066074,-0.05416283
0.006469727,-0.1391395,1.066044,-0.05417231
0.0177002,-0.1392255,1.066151,-0.05402508
0.02001953,-0.1392373,1.066137,-0.05400039
0.02893066,-0.1394276,1.066262,-0.05388182
0.03967285,-0.1397067,1.066433,-0.05377634
0.04003906,-0.1397558,1.066432,-0.05384538
0.05102539,-0.1401564,1.066837,-0.05382699
0.06005859,-0.140453,1.067331,-0.05373383
0.06213379,-0.1406516,1.06733,-0.05363239
0.07299805,-0.141162,1.067697,-0.05338866
0.08007813,-0.1415797,1.067955,-0.05324785
0.08435059,-0.1418673,1.068155,-0.053131
0.09753418,-0.1424311,1.06886,-0.05296479
0.09997559,-0.1425491,1.068975,-0.05292451
0.1064453,-0.142909,1.069327,-0.05280298
0.1174316,-0.1437688,1.069797,-0.05248283
0.1199951,-0.1438328,1.069814,-0.05267209
0.12854,-0.1443511,1.070046,-0.05287106
0.1397705,-0.1447346,1.070715,-0.05315264
0.1400146,-0.1447078,1.070808,-0.05318342
0.1507568,-0.1451538,1.071689,-0.05351791
0.1600342,-0.1456519,1.071987,-0.05360189
0.1618652,-0.1457342,1.072067,-0.05363637
0.1729736,-0.1460798,1.072614,-0.0537826
0.1800537,-0.1463864,1.072898,-0.05417559
0.18396,-0.1465911,1.073114,-0.0543839
0.1954346,-0.1472645,1.073402,-0.0545508
0.2000732,-0.1474609,1.073512,-0.05467425
0.206543,-0.1477976,1.073715,-0.05487241
0.2174072,-0.1485386,1.073784,-0.05494395
0.2199707,-0.1485642,1.073934,-0.05506545
0.2285156,-0.1489745,1.074204,-0.05536351
0.2397461,-0.14941,1.074404,-0.05556659
0.2399902,-0.1494528,1.074375,-0.05562857
0.2524414,-0.1498971,1.07458,-0.05636476
0.2600098,-0.1500027,1.074729,-0.05684887
0.2617188,-0.1500217,1.074752,-0.05693649
0.2729492,-0.150103,1.074742,-0.05746928
0.2800293,-0.1502004,1.074686,-0.05757324
0.2840576,-0.1502739,1.074639,-0.0577382
0.295166,-0.1502125,1.074381,-0.05812636
0.3000488,-0.15019,1.074234,-0.05820112
