Time, X, Y, Z
0,0.05848119,1.125327,-0.0255855
0.006469727,0.05902395,1.124991,-0.02580957
0.0177002,0.05956163,1.124294,-0.02637108
0.02001953,0.0598052,1.124117,-0.02636696
0.02893066,0.06064045,1.123598,-0.02639584
0.03967285,0.06150036,1.123138,-0.02624026
0.04003906,0.06137684,1.123072,-0.02643594
0.05102539,0.06202969,1.122784,-0.02640222
0.06005859,0.06248987,1.122859,-0.02603154
0.06213379,0.06273405,1.122953,-0.02609567
0.07299805,0.0634352,1.123188,-0.0259871
0.08007813,0.06349346,1.123548,-0.02610365
0.08435059,0.06367199,1.12377,-0.02614421
0.09753418,0.06419338,1.123074,-0.02628627
0.09997559,0.06433187,1.12296,-0.02627806
0.1064453,0.06474863,1.12262,-0.02625176
0.1174316,0.064739,1.123206,-0.02643785
0.1199951,0.06458414,1.123127,-0.02674857
0.12854,0.06445478,1.123101,-0.02731569
0.1397705,0.06396346,1.124364,-0.02631417
0.1400146,0.06417739,1.123918,-0.02654496
0.1507568,0.06428774,1.123731,-0.02659445
0.1600342,0.06347546,1.124786,-0.02636854
0.1618652,0.0633833,1.124905,-0.02635103
0.1729736,0.06223208,1.125216,-0.02661091
0.1800537,0.06169821,1.12543,-0.02667487
0.18396,0.06129548,1.125606,-0.02673498
0.1954346,0.05972861,1.12633,-0.02720305
0.2000732,0.05905531,1.126625,-0.02725649
0.206543,0.05807465,1.127088,-0.02744216
0.2174072,0.05689719,1.127942,-0.02736379
0.2199707,0.05660027,1.128308,-0.02721767
0.2285156,0.05542334,1.129318,-0.02701911
0.2397461,0.05452224,1.130081,-0.02712321
0.2399902,0.05458224,1.130074,-0.0271121
0.2524414,0.05362076,1.130726,-0.02718328
0.2600098,0.05312854,1.130884,-0.02721599
0.2617188,0.05304078,1.130908,-0.02722251
0.2729492,0.05259918,1.130743,-0.02732562
0.2800293,0.05269272,1.130633,-0.02737887
0.2840576,0.05263902,1.130539,-0.02742428
0.295166,0.05256449,1.130306,-0.02730678
0.3000488,0.05245095,1.130081,-0.02730316
0.3063965,0.05229659,1.129788,-0.0272994
0.317627,0.05209908,1.12955,-0.02724747
0.3200684,0.05206745,1.129494,-0.02709468
0.3286133,0.05192048,1.129232,-0.0268224
0.3398438,0.05176717,1.129182,-0.02679838
0.3400879,0.05171072,1.12919,-0.02689856
0.3510742,0.05128929,1.129033,-0.02710538
0.3599854,0.05121027,1.128817,-0.02726656
0.3620605,0.05117369,1.128763,-0.02730475
0.3730469,0.05110715,1.128508,-0.02727862
0.3800049,0.05085035,1.128194,-0.02758656
0.3841553,0.05070043,1.127982,-0.02775328
0.3953857,0.05052517,1.127982,-0.02795504
0.4000244,0.050509,1.127758,-0.02803563
0.4080811,0.05041284,1.127376,-0.02821876
0.4173584,0.05000462,1.127032,-0.02829434
0.4200439,0.05004225,1.127144,-0.02816276
0.4287109,0.05008084,1.127201,-0.02795516
0.4396973,0.04995885,1.127213,-0.02803859
0.4400635,0.04997938,1.127237,-0.02810583
0.4508057,0.05013384,1.127049,-0.02844255
0.460083,0.05021051,1.126611,-0.02860026
0.4621582,0.05023654,1.126539,-0.02864373
0.4731445,0.05049157,1.126329,-0.02866706
0.4799805,0.05019285,1.126054,-0.02894543
0.4844971,0.0500385,1.125888,-0.02910538
0.4956055,0.04978758,1.126357,-0.028758
0.5,0.04986396,1.126225,-0.0287991
0.506958,0.04984362,1.126159,-0.02876572
0.5180664,0.04934295,1.126259,-0.02853082
0.5200195,0.04938786,1.126237,-0.02856621
0.529541,0.0491306,1.126279,-0.02850281
0.5400391,0.04792152,1.126983,-0.02902317
0.5404053,0.04788754,1.127,-0.02903172
0.5517578,0.04701937,1.127407,-0.02854621
0.5600586,0.04694298,1.127483,-0.02805057
0.5640869,0.04678939,1.127559,-0.02779177
0.5736084,0.04596031,1.127798,-0.0277708
0.5800781,0.04557217,1.12763,-0.02781273
0.585083,0.0451557,1.127562,-0.02777404
0.5959473,0.04496218,1.127369,-0.02756964
0.5999756,0.04504422,1.127248,-0.02744129
0.6071777,0.04500284,1.126882,-0.02711585
0.6181641,0.04482734,1.126451,-0.02681674
0.6199951,0.04475845,1.126494,-0.0267382
0.6291504,0.04456821,1.126362,-0.02637117
0.6400146,0.04443011,1.126293,-0.02600855
0.6402588,0.0444297,1.126287,-0.0260016
0.6512451,0.04431173,1.126039,-0.02598479
0.6600342,0.04457341,1.125701,-0.025895
0.6624756,0.04465423,1.125586,-0.02585447
0.6737061,0.0450777,1.124864,-0.02536504
0.6800537,0.04547668,1.124454,-0.02500533
0.6851807,0.04584701,1.124084,-0.02467947
0.6958008,0.04649217,1.123266,-0.02428368
0.7000732,0.04662803,1.123123,-0.02427122
0.7072754,0.04698602,1.122726,-0.02413484
0.7199707,0.04767461,1.12201,-0.02409443
0.7205811,0.04781292,1.122027,-0.02410392
0.7290039,0.04835796,1.121675,-0.02409069
0.7393799,0.04955242,1.120983,-0.02377993
0.7399902,0.04958114,1.120996,-0.02380721
0.7507324,0.05058393,1.120702,-0.02384928
0.7600098,0.05109964,1.120716,-0.02350323
0.7615967,0.05131818,1.120696,-0.02342223
0.7727051,0.05174285,1.120509,-0.0237361
0.7800293,0.05214333,1.120531,-0.02362414
0.7838135,0.05245811,1.12055,-0.02355701
0.7949219,0.0527404,1.119897,-0.02408527
0.8000488,0.05286583,1.119872,-0.02399044
0.8060303,0.05305473,1.119779,-0.02391617
0.8170166,0.05327533,1.119767,-0.02380562
0.8200684,0.05332455,1.119821,-0.02371712
0.8286133,0.05347622,1.120001,-0.02342576
0.8393555,0.05392598,1.119825,-0.0227076
