Time, X, Y, Z
13.047,-0.2039539,0.9045859,0.1849167
20.12701,-0.1836833,0.8992306,0.1413316
24.10699,-0.2357677,0.8862069,0.1441183
29.427,-0.1585116,0.9268043,0.2159501
35.40698,-0.132928,0.9435143,0.2066522
40.24701,-0.1557582,0.9088513,0.1772841
48.71045,-0.2117352,0.9172096,0.1251856
53.74701,-0.1874937,0.9341475,0.1735268
57.22699,-0.2013222,0.905649,0.1650685
63.46698,-0.1593233,0.9465315,0.1959185
67.90155,-0.1925653,0.9065191,0.1448844
72.16699,-0.1648384,0.9092853,0.1934077
74.99713,-0.2211164,0.8786363,0.1923197
79.20697,-0.1716723,0.8830342,0.177352
82.28699,-0.1752973,0.8961691,0.1908852
96.10699,-0.1608643,0.942602,0.188511
99.20697,-0.1805894,0.9059649,0.1707528
103.027,-0.1781541,0.9082702,0.2252186
126.147,-0.1841716,0.9141986,0.1980928
129.067,-0.2406813,0.902292,0.1783684
136.687,-0.2280636,0.8862187,0.1869951
140.067,-0.2105825,0.8942615,0.1559575
143.747,-0.1997572,0.9050542,0.184218
146.467,-0.1520914,0.9209473,0.1684051
149.207,-0.1623594,0.9062165,0.1725076
151.727,-0.1932812,0.8842558,0.1552166
156.107,-0.1790592,0.949671,0.1471879
175.167,-0.2031801,0.8714285,0.1841513
178.527,-0.1558332,0.8902888,0.1814082
181.507,-0.1581672,0.8807417,0.1622178
184.187,-0.1838128,0.8840153,0.1922651
188.547,-0.2188247,0.9060912,0.1946417
191.167,-0.1525431,0.8871039,0.1972159
216.887,-0.2354018,0.9038127,0.2101503
219.667,-0.1223228,0.8821,0.1513703
222.527,-0.1838165,0.901789,0.1538277
225.787,-0.2053187,0.8911797,0.2040922
228.007,-0.1683564,0.882599,0.1583089
235.487,-0.1676574,0.8778065,0.2036871
238.427,-0.2052351,0.9188606,0.1650995
241.227,-0.1728995,0.8993981,0.209072
245.087,-0.2460302,0.8920885,0.1959399
249.127,-0.2117364,0.9036232,0.2120955
253.727,-0.2016263,0.9050933,0.1923881
256.247,-0.244711,0.8959962,0.1880065
259.487,-0.1203661,0.901814,0.1591751
263.107,-0.1776341,0.9195411,0.1902781
265.2872,-0.2377111,0.8832309,0.1495994
267.867,-0.148031,0.9073958,0.1876216
274.227,-0.2306641,0.8960567,0.1849394
296.8834,-0.2009634,0.8800783,0.1669889
300.8601,-0.07335871,0.9180363,0.03218116
306.087,-0.1774675,0.9009347,0.1740649
308.407,-0.1933243,0.9037586,0.1497486
311.8469,-0.1856873,0.9312749,0.2283387
314.2974,-0.1842059,0.9214513,0.1702734
317.827,-0.2003173,0.89437,0.1922523
324.4869,-0.1642013,0.8773321,0.1660131
326.3163,-0.1982503,0.9264617,0.1125638
331.807,-0.08634585,0.9115951,0.118243
334.167,-0.2370663,0.92799,0.1917412
338.3669,-0.2199423,0.8962829,0.2051564
341.6069,-0.1915666,0.8953717,0.1915026
346.787,-0.1894459,0.8952807,0.2005121
351.027,-0.1288543,0.8880829,0.1687006
355.2469,-0.2025008,0.8963735,0.2189006
357.8669,-0.188671,0.9098217,0.1733911
361.121,-0.1730268,0.9011894,0.1923145
365.7269,-0.225464,0.8863927,0.2015683
373.767,-0.189419,0.9018881,0.224114
