Time, X, Y, Z
13.047,-0.2043907,0.86,0.1705616
20.12701,-0.175073,0.86,0.1399284
24.10699,-0.2184342,0.86,0.1390305
29.427,-0.1531018,0.86,0.2097557
35.40698,-0.2177188,0.86,0.2014256
40.24701,-0.1642387,0.86,0.1950869
48.71045,-0.212124,0.86,0.1406135
53.74701,-0.1730452,0.86,0.1698522
57.22699,-0.1930626,0.86,0.1361375
63.46698,-0.1703438,0.86,0.1921927
67.90155,-0.1878559,0.86,0.1601466
72.16699,-0.1625597,0.86,0.1927468
74.99713,-0.2191559,0.86,0.18611
79.20697,-0.1771832,0.86,0.1535138
82.28699,-0.1731263,0.86,0.1975741
96.10699,-0.2082314,0.86,0.2036246
99.20697,-0.1724078,0.86,0.150112
103.027,-0.1709493,0.86,0.2088844
126.147,-0.1606484,0.86,0.1679592
129.067,-0.2244957,0.86,0.1471272
136.687,-0.2145793,0.86,0.195972
140.067,-0.2133033,0.86,0.1353284
143.747,-0.2083016,0.86,0.1780468
146.467,-0.1623986,0.86,0.1520236
149.207,-0.1699458,0.86,0.1935804
151.727,-0.1809816,0.86,0.1367642
156.107,-0.1603032,0.86,0.1858456
175.167,-0.1992297,0.86,0.1806936
178.527,-0.1612992,0.86,0.1549664
181.507,-0.1645778,0.86,0.191063
184.187,-0.1699761,0.86,0.1469851
188.547,-0.2116076,0.86,0.198636
191.167,-0.1557927,0.86,0.1536759
216.887,-0.2191585,0.86,0.1999503
219.667,-0.1519591,0.86,0.1367026
222.527,-0.1885649,0.86,0.1398328
225.787,-0.1899196,0.86,0.1951168
228.007,-0.1589692,0.86,0.1470528
235.487,-0.1793999,0.86,0.1887862
238.427,-0.2007675,0.86,0.1491755
241.227,-0.1589785,0.86,0.2031007
245.087,-0.2233757,0.86,0.1586806
249.127,-0.1984787,0.86,0.2007044
253.727,-0.1694139,0.86,0.168717
256.247,-0.2189472,0.86,0.1562235
259.487,-0.1612552,0.86,0.1771324
263.107,-0.2174539,0.86,0.1746184
265.2872,-0.1868236,0.86,0.1444662
267.867,-0.1607521,0.86,0.1927354
274.227,-0.2153622,0.86,0.1448023
296.8834,-0.1528952,0.86,0.1653062
300.8601,-0.1870333,0.86,0.1867389
306.087,-0.1597332,0.86,0.1396581
308.407,-0.2034837,0.86,0.1379049
311.8469,-0.1934374,0.86,0.2097977
314.2974,-0.1674952,0.86,0.1414296
317.827,-0.2125472,0.86,0.1929362
324.4869,-0.1815993,0.86,0.1585625
326.3163,-0.2089714,0.86,0.1898708
331.807,-0.1588609,0.86,0.1443054
334.167,-0.2139987,0.86,0.1503485
338.3669,-0.2169473,0.86,0.2044235
341.6069,-0.1994344,0.86,0.1435208
346.787,-0.1849483,0.86,0.197917
351.027,-0.1582021,0.86,0.1553399
355.2469,-0.1935862,0.86,0.1784046
357.8669,-0.2058399,0.86,0.1398269
361.121,-0.1600456,0.86,0.1773525
365.7269,-0.2236284,0.86,0.1656131
373.767,-0.1680492,0.86,0.2062244
