Time, X, Y, Z
0.006652832,-0.2740355,1.132828,-0.08711417
0.007019043,-0.2740305,1.132818,-0.08711866
0.01757813,-0.2739357,1.132716,-0.08722688
0.02697754,-0.2738203,1.132512,-0.08721741
0.02874756,-0.273793,1.132471,-0.0872106
0.03961182,-0.2737249,1.132268,-0.08747344
0.04699707,-0.2738607,1.132127,-0.0875842
0.05084229,-0.274018,1.13203,-0.0875922
0.06201172,-0.2740919,1.131956,-0.08772923
0.0670166,-0.2740436,1.13192,-0.08781873
0.0748291,-0.2739094,1.13182,-0.08790532
0.08404541,-0.2738369,1.131743,-0.08815188
0.0869751,-0.2738048,1.131716,-0.08825514
0.09533691,-0.2735542,1.131698,-0.08833649
0.1062012,-0.2735571,1.131687,-0.0883752
0.1069946,-0.2735619,1.131685,-0.08837835
0.1176147,-0.2737384,1.131566,-0.08826261
0.1270142,-0.2737548,1.131468,-0.08839545
0.1287842,-0.2737474,1.131446,-0.08843154
0.1397705,-0.2739134,1.131409,-0.08829556
0.1469727,-0.2740569,1.131413,-0.08827373
0.151062,-0.2741536,1.131443,-0.08828756
0.1622314,-0.2741212,1.131617,-0.08861858
0.1669922,-0.274069,1.131724,-0.08875626
0.1733398,-0.2740071,1.131943,-0.08879513
0.1841431,-0.2739352,1.131761,-0.08885343
0.1870117,-0.2739291,1.131661,-0.08886574
0.1953735,-0.273873,1.131419,-0.08901228
0.2063599,-0.2736127,1.131366,-0.0891316
0.2069702,-0.2735957,1.131365,-0.08913822
0.2178345,-0.2737637,1.1311,-0.08916067
0.2269897,-0.2736461,1.131031,-0.08913735
0.2314453,-0.2735123,1.131016,-0.08911906
0.2398071,-0.2732405,1.131096,-0.08932352
0.2470093,-0.2731951,1.131103,-0.08943041
0.250061,-0.2732625,1.131072,-0.08945912
0.2612915,-0.2732201,1.131129,-0.08949177
0.2669678,-0.2731752,1.131119,-0.08950166
0.2722778,-0.2732443,1.130972,-0.08951336
0.2835083,-0.2731773,1.130914,-0.08966739
0.2869873,-0.2731524,1.130924,-0.08971874
0.2946167,-0.2729985,1.13095,-0.08971683
0.3057861,-0.2726714,1.130958,-0.08980216
0.3070068,-0.2726379,1.130968,-0.08981074
0.3168945,-0.2725413,1.130999,-0.08982608
0.3269653,-0.2724466,1.131016,-0.08976676
0.3279419,-0.2724401,1.131017,-0.089756
0.3391113,-0.272136,1.13107,-0.08969256
0.3469849,-0.2719324,1.131059,-0.08980618
0.3501587,-0.2719283,1.131003,-0.08990915
0.361145,-0.2719922,1.130941,-0.08990095
0.3670044,-0.2719679,1.130925,-0.08987808
0.3721924,-0.2718478,1.130955,-0.09000587
0.3862915,-0.2716098,1.131028,-0.08994983
0.3869629,-0.2715905,1.131033,-0.0899411
0.3946533,-0.2716993,1.130662,-0.08982994
0.4055786,-0.2717247,1.130489,-0.08986397
0.4069824,-0.2717113,1.13048,-0.08987997
0.416687,-0.2714688,1.130403,-0.08995114
0.427002,-0.2712023,1.130372,-0.08990876
0.4280396,-0.2711842,1.130377,-0.08989161
0.4389648,-0.2709653,1.130439,-0.08996916
0.4469604,-0.2707607,1.130422,-0.09011364
0.4500732,-0.2706896,1.13038,-0.0901391
