Time, X, Y, Z
0.006652832,-0.01333497,0.9667385,-0.07133934
0.007019043,-0.01334151,0.9667253,-0.07134455
0.01757813,-0.0135204,0.9662653,-0.07162349
0.02697754,-0.01363497,0.9658153,-0.07175855
0.02874756,-0.01364908,0.9657342,-0.07178147
0.03961182,-0.01364412,0.9652794,-0.07202218
0.04699707,-0.01371088,0.9648501,-0.07216102
0.05084229,-0.01378042,0.9645275,-0.0722382
0.06201172,-0.01393589,0.9638352,-0.07221406
0.0670166,-0.01399722,0.9634854,-0.07222364
0.0748291,-0.01412532,0.9628721,-0.0722327
0.08404541,-0.01415513,0.9622996,-0.07232466
0.0869751,-0.01416443,0.9620874,-0.07239082
0.09533691,-0.0141796,0.9614298,-0.07250084
0.1062012,-0.01427833,0.9608503,-0.07260806
0.1069946,-0.01428682,0.9608047,-0.07261971
0.1176147,-0.0144359,0.9599838,-0.07276087
0.1270142,-0.01455814,0.9593337,-0.07301902
0.1287842,-0.0145803,0.9591998,-0.07306816
0.1397705,-0.01465245,0.9586411,-0.07312027
0.1469727,-0.01468147,0.9581987,-0.07321343
0.151062,-0.01469311,0.9578819,-0.07327975
0.1622314,-0.01479413,0.9572454,-0.07335276
0.1669922,-0.01481853,0.9569448,-0.07342632
0.1733398,-0.01488125,0.9564048,-0.07351103
0.1841431,-0.01491795,0.9557635,-0.07356167
0.1870117,-0.01493696,0.9555722,-0.07356232
0.1953735,-0.01504598,0.9547818,-0.07358737
0.2063599,-0.01503109,0.9540006,-0.07360212
0.2069702,-0.01502994,0.9539533,-0.07360259
0.2178345,-0.01502264,0.9530433,-0.07350681
0.2269897,-0.015022,0.9523804,-0.07350224
0.2314453,-0.01499201,0.9520632,-0.07351507
0.2398071,-0.01493376,0.95161,-0.07372032
0.2470093,-0.01491103,0.9512179,-0.07388593
0.250061,-0.01489988,0.9510255,-0.07397454
0.2612915,-0.01497206,0.9504344,-0.07423425
0.2669678,-0.01499911,0.950093,-0.07440962
0.2722778,-0.01500235,0.94972,-0.07465526
0.2835083,-0.01502722,0.9491074,-0.07501426
0.2869873,-0.01506624,0.9488993,-0.07510415
0.2946167,-0.01525313,0.9484168,-0.07530794
0.3057861,-0.01530803,0.9478614,-0.07562231
0.3070068,-0.01532035,0.9478024,-0.0756515
0.3168945,-0.01534827,0.9473399,-0.07582384
0.3269653,-0.01537591,0.9468403,-0.07611199
0.3279419,-0.01538695,0.9467918,-0.07613879
0.3391113,-0.01548892,0.9462943,-0.07639187
0.3469849,-0.01551719,0.945949,-0.07663808
0.3501587,-0.01553246,0.9457306,-0.07678351
0.361145,-0.01564212,0.9451746,-0.07712086
0.3670044,-0.01568393,0.9447654,-0.07739093
0.3721924,-0.01575301,0.9441735,-0.07771217
0.3862915,-0.01617111,0.943036,-0.07829619
0.3869629,-0.01619082,0.942981,-0.07832593
0.3946533,-0.01643259,0.9423013,-0.07873189
0.4055786,-0.01673375,0.9415804,-0.07919856
0.4069824,-0.01677535,0.9414701,-0.07927079
0.416687,-0.01703399,0.9404019,-0.07982069
0.427002,-0.01724627,0.9394362,-0.08024026
0.4280396,-0.01728643,0.9393297,-0.08028262
0.4389648,-0.01763946,0.938388,-0.08057271
0.4469604,-0.01796803,0.9374532,-0.08088214
0.4500732,-0.01814868,0.9369587,-0.08108475
0.4612427,-0.01846258,0.935912,-0.08159858
0.46698,-0.0186575,0.9352573,-0.08192126
0.4721069,-0.01883935,0.9345677,-0.08235046
0.4833374,-0.01907296,0.93363,-0.08306167
0.4869995,-0.01916843,0.933365,-0.08328564
0.4945679,-0.01945644,0.932565,-0.08382238
0.5055542,-0.01973445,0.9314659,-0.08443147
0.507019,-0.01977599,0.9312881,-0.08453204
0.5166626,-0.01998715,0.9301834,-0.08516401
0.5269775,-0.0201383,0.9292374,-0.08558393
0.5278931,-0.02015569,0.9291179,-0.0856394
0.5419922,-0.02047267,0.9277748,-0.08615121
0.5469971,-0.0206345,0.9272447,-0.08631483
0.5499268,-0.02078014,0.9267485,-0.08643164
0.56073,-0.02114423,0.9256063,-0.08661628
0.5670166,-0.02140047,0.9249023,-0.08653122
0.5722656,-0.02163491,0.9244254,-0.08675259
0.5828857,-0.02201243,0.9237097,-0.08701983
0.5869751,-0.02227519,0.9233226,-0.0871396
0.5942383,-0.02264537,0.9225915,-0.08726493
0.6052246,-0.02299279,0.9217986,-0.08745012
0.6069946,-0.02297795,0.9215932,-0.08766554
0.616272,-0.02314648,0.9207026,-0.08806512
0.6270142,-0.02321719,0.9197101,-0.08846252
0.6273804,-0.02324938,0.9197492,-0.08850418
0.6383667,-0.02336515,0.9189434,-0.08890857
0.6469727,-0.02336937,0.9184923,-0.08932774
0.6496582,-0.02342717,0.9183036,-0.08946828
0.6607666,-0.02354647,0.917794,-0.08979644
0.6669922,-0.02352156,0.9174353,-0.09001052
0.6717529,-0.02365936,0.9171996,-0.09014627
0.6832886,-0.02386926,0.9168115,-0.09038652
0.6870117,-0.02399307,0.9166412,-0.09037896
0.6958008,-0.02426209,0.9162625,-0.09049292
0.7049561,-0.02450678,0.9159477,-0.09058407
0.7069702,-0.02447328,0.9158393,-0.09070054
0.7162476,-0.02459212,0.91545,-0.09093479
0.7269897,-0.02471659,0.9151478,-0.09106325
0.727478,-0.02468042,0.9151344,-0.09106991
0.7382813,-0.02469235,0.9148912,-0.09126619
0.7470093,-0.02467974,0.914741,-0.09141163
0.7494507,-0.02469216,0.914675,-0.09146502
0.7606201,-0.02459619,0.914119,-0.09173901
0.7669678,-0.0246186,0.9140409,-0.09178712
0.7717285,-0.02460893,0.9138882,-0.09193388
0.7828369,-0.02456499,0.9136101,-0.09221715
0.7869873,-0.02455702,0.9135162,-0.09230371
0.7938843,-0.02450179,0.9133433,-0.09250352
0.8049316,-0.02445361,0.913161,-0.09263888
0.8070068,-0.02443396,0.9132187,-0.09264423
0.8161011,-0.02429621,0.913137,-0.09274898
0.8269653,-0.02419012,0.9129868,-0.09297513
0.8271484,-0.02418926,0.9129841,-0.0929785
0.8384399,-0.02408282,0.912697,-0.09310582
0.8469849,-0.02386214,0.912573,-0.09344101
0.8508911,-0.02371336,0.9125209,-0.0935163
0.8604126,-0.02350662,0.9124568,-0.09359677
0.8670044,-0.02334645,0.9125757,-0.09360123
0.871582,-0.02298626,0.9126425,-0.09361642
0.8867188,-0.0228803,0.9126834,-0.09361532
0.8869629,-0.02287358,0.9126848,-0.09361419
0.894043,-0.02264759,0.9127381,-0.09358281
0.9041748,-0.02264752,0.9129056,-0.09345149
0.9069824,-0.02261195,0.9130456,-0.0934295
0.9153442,-0.02256092,0.9133419,-0.09331678
0.9264526,-0.0224402,0.9137896,-0.09309527
0.927002,-0.02244921,0.9138478,-0.09314122
0.9377441,-0.02239007,0.9144554,-0.09308654
