Time, X, Y, Z
0,-0.07462083,0.9204166,0.03721337
0,-0.06953857,0.9011257,0.008245313
0,-0.206203,0.8988092,0.1547642
0,-0.1816266,0.9003127,0.1386874
0,-0.2043187,0.9050595,0.1655624
0,-0.2066401,0.9060242,0.1584559
0,-0.1176557,0.9197564,0.1071331
0,-0.1758328,0.8857095,0.1718141
0,-0.2070218,0.904335,0.1926197
0,-0.2209586,0.8826018,0.1641137
0,-0.06579516,0.9389166,0.06083636
0,-0.167773,0.9042588,0.1760569
0,-0.191037,0.8927916,0.1409642
0,-0.1961811,0.8977371,0.1560533
0,-0.1790423,0.9032101,0.1532862
0,-0.1581001,0.9128143,0.1647025
0,-0.02526438,0.912636,-0.005630321
0,-0.1970209,0.9136283,0.133277
0,-0.2261636,0.897335,0.2021995
0,-0.03838423,0.9200218,0.1084334
0,-0.2240355,0.8932822,0.1982177
0,-0.1749834,0.900939,0.1776361
0,-0.1670044,0.9227682,0.08845652
0,-0.07519793,0.9120224,0.007109199
0,-0.1336216,0.9213225,0.06534334
0,-0.1250327,0.9315414,0.05901016
0,-0.1038108,0.9136887,0.07309076
0,-0.0819679,0.9065425,0.09506392
0,-0.1321379,0.9020779,0.1190321
0,-0.1229182,0.9199227,0.1375629
0,-0.2237773,0.8936273,0.1685495
0,-0.1265967,0.9104823,0.1236541
0,-0.1214771,0.9156072,0.1293438
0,-0.07999286,0.8829631,0.1573123
0,-0.1487972,0.9199631,0.1373294
0,-0.1033662,0.9152125,0.1017892
0,-0.1308335,0.9014655,0.004520689
0,-0.2006395,0.8890147,0.1584895
0,-0.1071649,0.9130024,0.1254307
0,-0.08198727,0.9490657,0.09423752
0,-0.1417109,0.9364043,0.1621827
0,-0.1012624,0.9158723,0.07843897
0,-0.09746699,0.9177219,0.1026169
0,-0.05331315,0.9068838,0.05717414
0,-0.1169855,0.8928817,0.07562953
0,-0.1145558,0.9075202,0.06559715
0,-0.1319678,0.9070234,0.01612071
0,-0.1768752,0.9063504,0.09761237
0,-0.1855944,0.884425,0.123785
0,-0.1865509,0.8844592,0.09434158
0,-0.2392846,0.9283151,0.2045066
0,-0.1847822,0.9093211,0.1430647
0,-0.1527061,0.924333,0.1814955
0,-0.232361,0.9055219,0.1460713
0,-0.1991162,0.9176674,0.1982111
0,-0.2072547,0.8984748,0.1750407
0,-0.152899,0.8863729,0.1423966
0,-0.1742894,0.8714191,0.184359
0,-0.1735914,0.8708515,0.09316384
0,-0.2075336,0.8876433,0.139286
0,-0.1563877,0.9097332,0.1622345
0,-0.1560576,0.9105621,0.1299133
0,-0.1851344,0.8598117,0.1371559
0,-0.1622168,0.8914253,0.1054481
0,-0.1753775,0.8841916,0.09575164
0,-0.1542645,0.8737456,0.1181953
0,-0.1723324,0.877407,0.1289952
0,-0.148095,0.9514343,0.06105359
0,-0.01289245,0.886297,0.03710155
0,-0.149131,0.9198186,0.1288152
0,-0.2132914,0.8818969,0.1457569
0,-0.2050088,0.8918485,0.1801837
0,-0.2282136,0.8740246,0.1266313
0,-0.1270783,0.9036025,0.03088175
0,-0.1202461,0.8929505,-0.00708756
0,-0.1623626,0.917978,0.127273
0,-0.1433007,0.917235,0.08866335
0,-0.0616301,0.8973114,0.0877015
11.36584,-0.1776496,0.8891385,0.1519909
12.62585,-0.1876241,0.884532,0.105765
15.92584,-0.213019,0.8694152,0.17662
17.52588,-0.1911512,0.8433846,0.1312188
18.90588,-0.1940246,0.9052419,0.167116
20.44586,-0.1837405,0.9180871,0.1859799
22.10583,-0.2164863,0.896087,0.1645188
23.56586,-0.1886102,0.9066628,0.160867
25.10583,-0.2412035,0.8919503,0.1600503
26.44586,-0.1887535,0.9313725,0.1033803
27.86584,-0.1776831,0.9283845,0.1554598
29.26587,-0.2068186,0.9198949,0.1524487
30.56586,-0.146943,0.9410933,0.1396192
32.04584,-0.1981387,0.9080302,0.1657703
33.64587,-0.2287385,0.9238904,0.2008554
34.94586,-0.1852131,0.9300666,0.1597547
62.08588,-0.1660624,0.8994295,0.1784284
63.26587,-0.2187405,0.8759835,0.1910209
64.22583,-0.1361343,0.9557334,0.1112612
65.48584,-0.1802028,0.9050536,0.196015
66.50586,-0.1642021,0.9538893,0.1427159
67.78589,-0.1904387,0.8963518,0.1928891
68.96588,-0.2166557,0.890638,0.1840323
70.20587,-0.217016,0.9020613,0.1579955
71.54584,-0.2197048,0.8714271,0.1887643
73.92584,-0.1612795,0.898511,0.1457578
75.28589,-0.1913309,0.8990148,0.1518216
76.66583,-0.1869071,0.8784307,0.1874704
78.00586,-0.2182215,0.8982314,0.1650652
79.34589,-0.1619914,0.9013954,0.1679538
80.78589,-0.1726941,0.8602172,0.171635
82.14587,-0.2102248,0.8807845,0.1785145
83.56586,-0.1926161,0.8835416,0.1062625
85.16583,-0.1024622,0.8908381,0.02874818
86.52588,-0.1870641,0.9006252,0.1573329
87.84589,-0.2072381,0.9201219,0.1454916
89.10583,-0.168356,0.8982399,0.1559683
90.60583,-0.227334,0.8971944,0.166169
91.98584,-0.1790648,0.8949823,0.1847764
93.18585,-0.1892583,0.9453326,0.1412733
96.70587,-0.1362677,0.9463208,0.008519523
108.4858,-0.214352,0.894107,0.1645033
109.9858,-0.1443901,0.9072924,0.193641
111.4858,-0.2135264,0.8749499,0.116332
112.8658,-0.1699781,0.9105183,0.1585032
114.2458,-0.197443,0.9233757,0.1526403
115.9258,-0.1455435,0.915931,0.1637526
158.5458,-0.1734902,0.8962986,0.1323668
160.5059,-0.1724582,0.8812211,0.1225587
161.7458,-0.182896,0.8858072,0.1109328
163.3658,-0.1719495,0.8868262,0.1995151
165.0458,-0.2364678,0.8947416,0.1683206
166.4659,-0.1932685,0.8871701,0.1530097
167.9459,-0.1898016,0.9206148,0.1889893
169.4858,-0.2059032,0.8718978,0.1593659
170.9459,-0.2016521,0.8966901,0.1851233
172.5259,-0.2178621,0.8906799,0.1765067
174.3058,-0.1846595,0.8778615,0.1851687
175.8459,-0.1703257,0.8967126,0.159369
178.3459,-0.2226146,0.8865845,0.203624
