Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.200146,0.86,0.196841
0,-0.2051365,0.86,0.1551431
0,-0.167308,0.86,0.1356183
0,-0.1999752,0.86,0.184277
0,-0.2028087,0.86,0.1420838
0,-0.1822305,0.86,0.2068943
0,-0.1607513,0.86,0.1765522
0,-0.207362,0.86,0.2037616
0,-0.213796,0.86,0.1607724
0,-0.1579252,0.86,0.146582
0,-0.1713857,0.86,0.1872105
0,-0.1797688,0.86,0.1521008
0,-0.2181077,0.86,0.1651513
0,-0.1855955,0.86,0.1433586
0,-0.1687658,0.86,0.1993405
0,-0.1701121,0.86,0.1605626
0,-0.2112084,0.86,0.1564962
0,-0.2186389,0.86,0.2008986
0,-0.1719998,0.86,0.2019414
0,-0.2117617,0.86,0.1933428
0,-0.15,0.86,0.2
0,-0.1958238,0.86,0.1975127
0,-0.1578902,0.86,0.164921
0,-0.2193666,0.86,0.1840191
0,-0.1689981,0.86,0.1888292
0,-0.1862426,0.86,0.1452055
0,-0.1789123,0.86,0.1977838
0,-0.1908071,0.86,0.1493221
0,-0.2149008,0.86,0.1963214
0,-0.1954096,0.86,0.1541306
0,-0.1724499,0.86,0.1911135
0,-0.2052836,0.86,0.160218
0,-0.1628397,0.86,0.1980682
0,-0.175996,0.86,0.1624174
0,-0.2142073,0.86,0.1925275
0,-0.1786555,0.86,0.1878524
0,-0.2165101,0.86,0.1607637
0,-0.2099749,0.86,0.1958919
0,-0.1733041,0.86,0.1507825
0,-0.2080459,0.86,0.1923169
0,-0.1558841,0.86,0.1472946
0,-0.200214,0.86,0.1536413
0,-0.1635013,0.86,0.1371048
0,-0.2156699,0.86,0.1662648
0,-0.1836279,0.86,0.1494168
0,-0.2246038,0.86,0.1396837
0,-0.1841785,0.86,0.1725581
0,-0.1696871,0.86,0.1390494
0,-0.1555073,0.86,0.1733518
0,-0.2178918,0.86,0.1602926
0,-0.1805103,0.86,0.1677789
0,-0.1684642,0.86,0.2028063
0,-0.2176369,0.86,0.1654028
0,-0.1740268,0.86,0.2089931
0,-0.2031983,0.86,0.162795
0,-0.1502637,0.86,0.1409769
0,-0.1548215,0.86,0.1782164
0,-0.163103,0.86,0.1353474
0,-0.2020774,0.86,0.1770893
0,-0.1588513,0.86,0.2086996
0,-0.2145956,0.86,0.1546117
0,-0.1798605,0.86,0.1725401
0,-0.2038889,0.86,0.2000258
0,-0.1745545,0.86,0.1520219
0,-0.160622,0.86,0.2059212
0,-0.1761505,0.86,0.1564959
0,-0.2175771,0.86,0.1815034
0,-0.1847382,0.86,0.1645332
0,-0.1713966,0.86,0.2096771
0,-0.2165525,0.86,0.1470976
0,-0.2022064,0.86,0.1840572
0,-0.160251,0.86,0.1445486
0,-0.2239152,0.86,0.2057317
0,-0.2096852,0.86,0.153474
0,-0.1713495,0.86,0.1621172
0,-0.2181332,0.86,0.2004625
0,-0.17096,0.86,0.1720423
11.36584,-0.15,0.86,0.2
12.62585,-0.1700953,0.86,0.1570342
15.92584,-0.2069065,0.86,0.2076684
17.52588,-0.2083407,0.86,0.1660895
18.90588,-0.1679811,0.86,0.1539896
20.44586,-0.1847253,0.86,0.2010771
22.10583,-0.1930155,0.86,0.1645313
23.56586,-0.1581936,0.86,0.1536904
25.10583,-0.2222892,0.86,0.1707533
26.44586,-0.2082663,0.86,0.1359949
27.86584,-0.1791524,0.86,0.1627236
29.26587,-0.2215595,0.86,0.1636286
30.56586,-0.1806397,0.86,0.1352166
32.04584,-0.2212235,0.86,0.1571349
33.64587,-0.2109566,0.86,0.2075729
34.94586,-0.1735821,0.86,0.1611414
62.08588,-0.1640695,0.86,0.1968334
63.26587,-0.2030072,0.86,0.2096659
64.22583,-0.1524893,0.86,0.1479996
65.48584,-0.1581072,0.86,0.2005828
66.50586,-0.2034615,0.86,0.1617844
67.78589,-0.1754156,0.86,0.2006167
68.96588,-0.2185132,0.86,0.1996248
70.20587,-0.1946917,0.86,0.1601448
71.54584,-0.2245541,0.86,0.2000785
73.92584,-0.1642317,0.86,0.1499921
75.28589,-0.2073495,0.86,0.1647451
76.66583,-0.1553372,0.86,0.1990921
78.00586,-0.211164,0.86,0.1731673
79.34589,-0.1542698,0.86,0.1739847
80.78589,-0.192514,0.86,0.1626074
82.14587,-0.222761,0.86,0.2053018
83.56586,-0.2085758,0.86,0.1430597
85.16583,-0.1792375,0.86,0.1916649
86.52588,-0.1824772,0.86,0.15135
87.84589,-0.2243269,0.86,0.1576404
89.10583,-0.1709967,0.86,0.1475029
90.60583,-0.2246725,0.86,0.1807339
91.98584,-0.183901,0.86,0.1738906
93.18585,-0.2125658,0.86,0.1528828
96.70587,-0.1636752,0.86,0.1864108
108.4858,-0.1988203,0.86,0.1778279
109.9858,-0.1578301,0.86,0.1962632
111.4858,-0.224524,0.86,0.1396574
112.8658,-0.1739056,0.86,0.174
114.2458,-0.2176792,0.86,0.1613721
115.9258,-0.1673839,0.86,0.2072599
158.5458,-0.1662758,0.86,0.1375792
160.5059,-0.1655896,0.86,0.1752219
161.7458,-0.1916944,0.86,0.1382034
163.3658,-0.1654082,0.86,0.1965712
165.0458,-0.1918121,0.86,0.1632278
166.4659,-0.1633296,0.86,0.1379163
167.9459,-0.1981642,0.86,0.2054255
169.4858,-0.1998726,0.86,0.1460996
170.9459,-0.1728345,0.86,0.1786292
172.5259,-0.2091171,0.86,0.1692896
174.3058,-0.1942033,0.86,0.20311
175.8459,-0.1582073,0.86,0.1599117
178.3459,-0.2146446,0.86,0.2096945
