Time, X, Y, Z
0.005859375,-0.05063321,0.9107474,-0.07580888
0.006469727,-0.05063416,0.9107439,-0.07582755
0.0177002,-0.05074947,0.9109385,-0.07602224
0.02587891,-0.0507291,0.9108205,-0.07619494
0.0289917,-0.05067712,0.9107072,-0.07617082
0.0401001,-0.05060825,0.9105091,-0.07621723
0.0458374,-0.05067122,0.9107497,-0.07616873
0.05133057,-0.05067464,0.9107495,-0.07610255
0.06274414,-0.0506814,0.9107366,-0.07608551
0.06585693,-0.05067202,0.9108058,-0.07614987
0.07366943,-0.05063901,0.9108194,-0.07629416
0.08496094,-0.05052542,0.9108228,-0.07643905
0.08587646,-0.05060035,0.9107471,-0.07644319
0.09655762,-0.05072943,0.9105214,-0.07665461
0.105835,-0.05071831,0.9104633,-0.07694927
0.1102295,-0.05070316,0.9104881,-0.07707056
0.1186523,-0.05067674,0.9105309,-0.07728691
0.1258545,-0.05064875,0.9104432,-0.07721418
0.12854,-0.05063691,0.9104216,-0.07723927
0.1398315,-0.05040853,0.9104456,-0.07753814
0.145874,-0.05013105,0.9105669,-0.07759853
0.1508179,-0.04992622,0.9106163,-0.07756649
0.1619263,-0.05009543,0.9106677,-0.07741266
0.1658325,-0.05014906,0.9105577,-0.07744966
0.1729126,-0.05018276,0.9104527,-0.07748061
0.184082,-0.05010684,0.9103903,-0.07747266
0.1858521,-0.05015425,0.9103575,-0.07748574
0.1950684,-0.05023067,0.9102263,-0.07754406
0.2058716,-0.05021725,0.9103323,-0.07773497
0.2062378,-0.05022045,0.9103333,-0.07774308
0.2174683,-0.05022667,0.9102521,-0.07781615
0.2258301,-0.05026067,0.9100665,-0.07778824
0.2284546,-0.05027331,0.9100057,-0.07779226
0.239624,-0.05031238,0.9102049,-0.07792609
0.2458496,-0.05025658,0.9100784,-0.07780441
0.2509766,-0.05022795,0.9100267,-0.0777326
0.2650146,-0.05022169,0.9101493,-0.07773413
0.2658691,-0.05021733,0.9101644,-0.07772922
0.2728271,-0.05017694,0.9103073,-0.07768167
0.2839355,-0.05010114,0.9102536,-0.07754794
0.2858887,-0.05003042,0.9102842,-0.07758901
0.295166,-0.04984596,0.910358,-0.0776014
0.3058472,-0.04993929,0.9102306,-0.07760774
0.3061523,-0.04994014,0.9102286,-0.07761111
0.3171997,-0.04988674,0.9101802,-0.07783785
0.3258667,-0.04987033,0.909939,-0.07784049
0.3283691,-0.04986697,0.9098654,-0.0778557
0.3395996,-0.04978884,0.9100044,-0.07798564
0.3458862,-0.04980847,0.9100489,-0.0779957
0.350708,-0.04980636,0.9101031,-0.07802381
0.3618164,-0.04971682,0.9101582,-0.0779931
0.3658447,-0.04967918,0.9101672,-0.07799877
0.3729858,-0.04964019,0.9101854,-0.07797183
0.3840332,-0.04950108,0.9098561,-0.07809234
0.3858643,-0.04946692,0.9098476,-0.07803398
0.3951416,-0.04930442,0.9097184,-0.07798823
0.4058838,-0.04909236,0.909784,-0.07794015
0.406311,-0.04908217,0.909781,-0.07794306
0.4204712,-0.04911807,0.9095469,-0.07769189
0.4258423,-0.04929922,0.9093655,-0.07776244
0.4282837,-0.04934255,0.9092842,-0.07776257
0.439209,-0.04919069,0.9091273,-0.0778062
0.4458618,-0.04918502,0.9090632,-0.07787022
0.4503174,-0.04917606,0.9090012,-0.07789876
0.4613647,-0.04918823,0.9089265,-0.07798161
0.4658813,-0.049218,0.9089692,-0.07797796
0.4726563,-0.04925163,0.9089855,-0.07799602
0.4836426,-0.04929218,0.9088912,-0.07810358
0.4858398,-0.04927086,0.9089245,-0.07815552
0.494751,-0.04929876,0.9089607,-0.0782766
0.5058594,-0.04918566,0.9090833,-0.07819903
0.5060425,-0.04918404,0.9090858,-0.0781991
0.5169678,-0.04938146,0.909182,-0.07819797
0.5258789,-0.04935273,0.909173,-0.07812589
0.5280151,-0.04935237,0.9091747,-0.07810815
0.5389404,-0.04922492,0.9092407,-0.07827348
0.5458374,-0.04924057,0.9092246,-0.07828005
0.550293,-0.04923682,0.909214,-0.07830315
0.5614624,-0.0492455,0.9091505,-0.0784128
0.5658569,-0.04916384,0.9091828,-0.07846768
0.5735474,-0.04906781,0.9091978,-0.07859945
0.5835571,-0.04895839,0.9089545,-0.07866079
0.5858765,-0.04895807,0.9089162,-0.07870306
0.5947876,-0.0489403,0.908761,-0.07882629
0.6057129,-0.04865266,0.9089352,-0.0790141
0.605835,-0.04869839,0.908884,-0.07899871
0.6169434,-0.04882535,0.9087124,-0.07911597
0.6258545,-0.04874426,0.9086514,-0.07921315
0.6279907,-0.04873038,0.9086359,-0.07923082
0.6390381,-0.04867764,0.9086485,-0.07938387
0.645874,-0.0485369,0.9086916,-0.07939576
0.6502686,-0.04843738,0.9087242,-0.07941347
0.6613159,-0.04811751,0.9087545,-0.07970358
0.6658325,-0.04799936,0.9086347,-0.07970326
0.6726074,-0.04776004,0.9085133,-0.07973447
0.6835938,-0.04747937,0.9083925,-0.07986502
0.6858521,-0.04738474,0.908405,-0.07983454
0.6948242,-0.04700892,0.9083745,-0.07976583
0.7056885,-0.04670558,0.9086311,-0.07977162
0.7058716,-0.04666906,0.9086259,-0.07979937
0.71698,-0.04615472,0.9088665,-0.0798846
0.7258301,-0.04620321,0.9088771,-0.08001913
0.7321777,-0.04604816,0.9089846,-0.08004774
0.7390747,-0.04591745,0.9090791,-0.08008123
0.7458496,-0.04597973,0.9093918,-0.08005699
0.7491455,-0.04599827,0.9095798,-0.08005014
0.760437,-0.04607454,0.9100477,-0.07996573
0.7658691,-0.04624217,0.9104503,-0.07980777
0.7717896,-0.04660415,0.9110425,-0.07955356
0.7824707,-0.04750051,0.9110516,-0.07859131
0.7858887,-0.04784832,0.9114264,-0.07820845
0.7935791,-0.04880498,0.9123936,-0.07717688
0.8048096,-0.04947689,0.9139181,-0.07502726
0.8058472,-0.04965772,0.914095,-0.07476279
0.8157959,-0.05146298,0.916093,-0.07187193
0.8258667,-0.05375334,0.9183956,-0.06892875
0.8268433,-0.05391673,0.9185576,-0.06872099
0.8381348,-0.05713376,0.9203624,-0.06567705
0.8458862,-0.05953323,0.9220327,-0.06268341
0.8491211,-0.06114784,0.9231622,-0.06068181
0.8601074,-0.06422275,0.9264156,-0.05651803
0.8658447,-0.06652035,0.9284904,-0.0541976
0.87146,-0.06959503,0.9312868,-0.05105787
0.8858643,-0.07580902,0.9375085,-0.04393841
0.8859863,-0.07585232,0.9375527,-0.04388828
0.8934937,-0.07831081,0.9396142,-0.04122302
0.9049072,-0.08385015,0.94435,-0.03564446
0.9058838,-0.08434094,0.9447255,-0.03510959
0.9158325,-0.08986069,0.9489895,-0.0291069
0.9258423,-0.09460327,0.9526865,-0.02327333
0.9268799,-0.09546909,0.9533657,-0.02220979
0.9380493,-0.1010839,0.956368,-0.01848847
0.9458618,-0.1050987,0.9590265,-0.01485889
0.9489746,-0.1078294,0.9608614,-0.01235787
0.9603882,-0.1129053,0.9641517,-0.008885086
0.9658813,-0.1159887,0.9656335,-0.007007413
0.9712524,-0.1200488,0.9675469,-0.004544616
0.9823608,-0.1245408,0.9700794,-0.0006917715
0.9858398,-0.1262138,0.9709442,0.000605315
0.9936523,-0.1308902,0.9733269,0.004185453
1.004822,-0.1346366,0.9760288,0.008896619
1.005859,-0.1351389,0.9762864,0.00948754
1.015747,-0.1409667,0.9791182,0.01630886
1.025879,-0.1453858,0.981152,0.02169611
1.026978,-0.1458949,0.9813695,0.02230283
1.041931,-0.1511368,0.98363,0.03019916
1.045837,-0.1520627,0.9847544,0.03236841
1.049011,-0.1537007,0.9859501,0.03532359
1.060425,-0.157537,0.9864032,0.04035048
1.065857,-0.1593112,0.9869151,0.04316136
1.071533,-0.1617112,0.987642,0.04704711
1.08252,-0.1664615,0.9875025,0.05172412
1.085876,-0.1680885,0.9872998,0.05331716
1.09375,-0.1727753,0.9865387,0.05781448
1.104919,-0.1757014,0.9856256,0.06145032
1.105835,-0.1760578,0.9855225,0.06181897
1.115784,-0.1812141,0.9837959,0.0667405
1.125854,-0.184407,0.9826909,0.06966791
1.126953,-0.1847832,0.9825873,0.0700046
1.138184,-0.1872731,0.9812482,0.07376103
1.145874,-0.1891711,0.9801076,0.07707743
1.149231,-0.1904389,0.9793323,0.07935536
1.160461,-0.1924824,0.9768695,0.08251768
1.165833,-0.193721,0.9751134,0.08414707
1.171448,-0.1954391,0.9725332,0.08629309
1.182312,-0.1974457,0.9694841,0.08887552
1.185852,-0.1979744,0.9681447,0.08941521
1.19458,-0.1992856,0.9639812,0.0904009
1.20459,-0.2001603,0.9621333,0.09268969
1.205872,-0.2002859,0.9617717,0.09298556
1.215759,-0.2015415,0.9578644,0.09697214
1.22583,-0.2027168,0.9529262,0.09844385
1.226929,-0.20279,0.952666,0.0985285
1.238037,-0.2039734,0.949228,0.1015775
1.24585,-0.2044958,0.9467765,0.1025282
1.249207,-0.2047905,0.9452023,0.1029577
1.260498,-0.2053837,0.9418945,0.1039412
1.265869,-0.2057593,0.9403825,0.1049091
1.271484,-0.2063349,0.938291,0.1064702
1.282471,-0.2078029,0.9358004,0.1086595
1.285889,-0.2081461,0.9349394,0.1094468
