Time, X, Y, Z
0.005859375,0.1092754,1.054717,0.0308769
0.006469727,0.1092751,1.054715,0.03087914
0.0177002,0.1092435,1.054771,0.03090701
0.02587891,0.1092441,1.054686,0.03076718
0.0289917,0.1092405,1.0547,0.03079273
0.0401001,0.1092353,1.054697,0.03077912
0.0458374,0.1091957,1.054614,0.03095939
0.05133057,0.1091588,1.054514,0.0310754
0.06274414,0.1091531,1.054319,0.03112958
0.06585693,0.1092038,1.054359,0.03101783
0.07366943,0.1093111,1.054297,0.03095079
0.08496094,0.1095134,1.054239,0.03094205
0.08587646,0.1094551,1.054262,0.03093497
0.09655762,0.1094803,1.054177,0.03089717
0.105835,0.1095504,1.054194,0.03078023
0.1102295,0.1095607,1.054237,0.03075275
0.1186523,0.1095796,1.054312,0.03070429
0.1258545,0.1096322,1.054292,0.03073207
0.12854,0.1096538,1.054294,0.03073195
0.1398315,0.1096795,1.054109,0.03074841
0.145874,0.1096186,1.054121,0.03068673
0.1508179,0.1096039,1.054106,0.03073417
0.1619263,0.1094549,1.054159,0.03074986
0.1658325,0.1094704,1.05413,0.03071965
0.1729126,0.1094719,1.054071,0.03065382
0.184082,0.1094388,1.054078,0.03071818
0.1858521,0.1095326,1.054084,0.03070973
0.1950684,0.1096467,1.054057,0.0307041
0.2058716,0.1095781,1.053925,0.03063367
0.2062378,0.1095743,1.05392,0.03063156
0.2174683,0.1095825,1.0539,0.03053653
0.2258301,0.1096838,1.053722,0.03052244
0.2284546,0.1097112,1.053666,0.03050897
0.239624,0.1095262,1.053638,0.03049068
0.2458496,0.1095404,1.05365,0.0305175
0.2509766,0.1095299,1.053651,0.03054062
0.2650146,0.1096616,1.05368,0.03059072
0.2658691,0.1096576,1.053683,0.03059015
0.2728271,0.1096201,1.053717,0.03058504
0.2839355,0.1095853,1.05366,0.03060277
0.2858887,0.1095969,1.053668,0.03064169
0.295166,0.1095979,1.053673,0.03070633
0.3058472,0.1096759,1.053673,0.03087448
0.3061523,0.1096771,1.053672,0.03087571
0.3171997,0.1094935,1.053608,0.03071186
0.3258667,0.109513,1.053481,0.03069893
0.3283691,0.1095033,1.053442,0.03068835
0.3395996,0.1093074,1.053568,0.0305839
0.3458862,0.1092993,1.053624,0.03045476
0.350708,0.1092651,1.053695,0.03035717
0.3618164,0.109351,1.053991,0.030297
0.3658447,0.109256,1.054066,0.03035183
0.3729858,0.1091392,1.054224,0.03040938
0.3840332,0.1091415,1.054241,0.03044944
0.3858643,0.1091213,1.05421,0.03042644
0.3951416,0.1090856,1.054219,0.03039093
0.4058838,0.1091266,1.054249,0.03060384
0.406311,0.1091283,1.054245,0.03060703
0.4204712,0.1092037,1.054384,0.03040971
0.4258423,0.1091232,1.054373,0.03047132
0.4282837,0.1091112,1.054382,0.03046952
0.439209,0.1091082,1.054327,0.03052716
0.4458618,0.1091311,1.054248,0.03067116
0.4503174,0.1091452,1.054198,0.03077118
0.4613647,0.1091294,1.054173,0.03062621
0.4658813,0.1091487,1.054161,0.03066163
0.4726563,0.1091742,1.054126,0.03068312
0.4836426,0.1092056,1.05414,0.03080966
0.4858398,0.1092356,1.054121,0.0307792
0.494751,0.1092565,1.05409,0.03080669
0.5058594,0.1093231,1.053958,0.0309318
0.5060425,0.1093242,1.053955,0.0309338
0.5169678,0.1092851,1.054022,0.03091113
0.5258789,0.1094315,1.054019,0.03100575
0.5280151,0.1094771,1.054015,0.03103314
0.5389404,0.1093284,1.053935,0.03096254
0.5458374,0.1093495,1.053906,0.03091806
0.550293,0.1093544,1.053872,0.03088044
0.5614624,0.1093909,1.053852,0.0307067
0.5658569,0.1093696,1.05377,0.03075676
0.5735474,0.1093404,1.053632,0.03075867
0.5835571,0.1093853,1.053646,0.03061293
0.5858765,0.1093506,1.053606,0.03068456
0.5947876,0.1092479,1.053493,0.03083374
0.6057129,0.1091551,1.053377,0.03070466
0.605835,0.1091907,1.053388,0.03072624
0.6169434,0.1091478,1.053309,0.03081542
0.6258545,0.109173,1.053164,0.03071743
0.6279907,0.1091781,1.053142,0.03070666
0.6390381,0.1090759,1.053254,0.03080308
0.645874,0.1089287,1.053372,0.03082679
0.6502686,0.1088303,1.053464,0.03084458
0.6613159,0.1087402,1.053299,0.03072548
0.6658325,0.1087208,1.053415,0.03079396
0.6726074,0.108697,1.053576,0.03086406
0.6835938,0.1086855,1.053695,0.03075648
0.6858521,0.108639,1.053719,0.03073108
0.6948242,0.1084901,1.053829,0.03066522
0.7056885,0.1085136,1.053881,0.03058147
0.7058716,0.1085242,1.053887,0.03057785
0.71698,0.1085237,1.054037,0.03053395
0.7258301,0.1084457,1.054124,0.03064882
0.7321777,0.1084386,1.054121,0.03073098
0.7390747,0.1084322,1.054121,0.03079852
0.7458496,0.1083917,1.05416,0.03096443
0.7491455,0.1083641,1.054182,0.03106844
0.760437,0.1084021,1.054151,0.031142
0.7658691,0.1083939,1.054067,0.03115249
0.7717896,0.1081977,1.054052,0.03127876
0.7824707,0.1082483,1.054241,0.0312921
0.7858887,0.108244,1.054163,0.03135326
0.7935791,0.1082191,1.053953,0.03152214
0.8048096,0.1083039,1.053967,0.03155231
0.8058472,0.1082894,1.053947,0.03154323
0.8157959,0.1081743,1.053765,0.03144182
0.8258667,0.108023,1.053549,0.03144363
0.8268433,0.1080144,1.053523,0.0314355
0.8381348,0.1080373,1.053344,0.03135709
0.8458862,0.1078966,1.053216,0.03125072
0.8491211,0.1078104,1.053135,0.03116918
0.8601074,0.1076495,1.053044,0.03109704
0.8658447,0.1075242,1.052983,0.03105042
0.87146,0.1073667,1.052929,0.03101046
0.8858643,0.1072275,1.053024,0.03111833
0.8859863,0.1072265,1.053026,0.03111953
0.8934937,0.1070386,1.053082,0.03102137
0.9049072,0.1068463,1.053048,0.03106122
0.9058838,0.1068426,1.053037,0.03107472
0.9158325,0.1068006,1.05292,0.03122103
0.9258423,0.1067446,1.052532,0.03135197
0.9268799,0.106743,1.052461,0.03137486
0.9380493,0.1067588,1.052209,0.03163039
0.9458618,0.1066715,1.051944,0.03174329
0.9489746,0.1065987,1.051771,0.03182427
0.9603882,0.1065391,1.051447,0.03191251
0.9658813,0.1064387,1.051436,0.0319258
0.9712524,0.1062831,1.051446,0.03195792
0.9823608,0.1062366,1.05124,0.03211135
0.9858398,0.1061593,1.051162,0.03212886
0.9936523,0.1059038,1.05094,0.03215809
1.004822,0.1056263,1.050705,0.03201455
1.005859,0.1056246,1.050657,0.03202091
1.015747,0.1056484,1.05007,0.03211749
1.025879,0.1055507,1.049647,0.03217724
1.026978,0.1055391,1.049584,0.03218354
1.041931,0.1052803,1.048976,0.03223298
1.045837,0.1051993,1.048818,0.0322455
1.049011,0.1050772,1.04856,0.03227007
1.060425,0.1049097,1.048062,0.03245945
1.065857,0.1048311,1.047922,0.03251663
1.071533,0.1047238,1.047751,0.03258581
1.08252,0.1042662,1.047622,0.03270511
1.085876,0.1041676,1.04757,0.0327649
1.09375,0.103913,1.047428,0.03296261
1.104919,0.103699,1.047117,0.03310168
1.105835,0.103661,1.047093,0.03312588
1.115784,0.1031514,1.046859,0.03349914
