Time, X, Y, Z
25.66809,-0.2177058,0.8729271,0.1432787
28.09998,-0.1580855,0.9006191,0.131596
30.07996,-0.139744,0.8771711,0.1613695
31.32007,-0.217658,0.8865827,0.2028171
32.69995,-0.2343012,0.8761191,0.1639684
33.92004,-0.1823797,0.9102527,0.1617076
35.38,-0.1868492,0.876966,0.1951635
36.64001,-0.2162053,0.8913824,0.1630588
37.90002,-0.2086052,0.9043655,0.1965401
39.30005,-0.1900155,0.8893799,0.2016211
40.56006,-0.2013542,0.8991899,0.168915
41.88,-0.1784553,0.8928437,0.1592554
43.28003,-0.1857798,0.8823425,0.1753274
44.78003,-0.169361,0.8897638,0.192621
47.28003,-0.1943899,0.8674016,0.1808453
49.21997,-0.1989483,0.8938215,0.1184721
72.68005,-0.233718,0.9009673,0.2212621
74.19995,-0.2458505,0.8972019,0.1824189
76.83997,-0.1598064,0.893827,0.1785135
78.28003,-0.2367968,0.8840831,0.1497867
79.78003,-0.1812295,0.8712005,0.1719838
81.26001,-0.1655712,0.8709438,0.1988238
82.71997,-0.2186206,0.9040811,0.1642488
84.28003,-0.1531912,0.871371,0.1605935
85.64001,-0.2068154,0.8698414,0.1644251
87.16003,-0.2532432,0.8960721,0.2001678
88.52002,-0.1883077,0.8780192,0.1430578
89.95996,-0.1927699,0.8497181,0.1878381
91.45996,-0.2222459,0.8762355,0.1572907
92.97998,-0.191857,0.8874307,0.1859897
94.40002,-0.2430281,0.8874146,0.1666266
95.94006,-0.1548184,0.8665894,0.1513394
155.26,-0.233759,0.8917534,0.1694715
156.66,-0.1528864,0.8678865,0.186871
157.8199,-0.2220355,0.8902635,0.1402433
159,-0.1716424,0.8749032,0.1921165
160.1,-0.2049951,0.9339564,0.1582952
162.48,-0.2573005,0.885182,0.1584816
163.9401,-0.1541953,0.8822247,0.1413133
165.2,-0.2239299,0.8919691,0.2052616
166.58,-0.1634475,0.9008379,0.1730471
168.1801,-0.1982015,0.8762454,0.2005191
170.1,-0.2183889,0.8935385,0.1852216
171.8,-0.1938462,0.8766459,0.2129856
173.66,-0.2386842,0.8859567,0.1801381
175.62,-0.178984,0.8917373,0.1619436
177.3,-0.1861297,0.9041064,0.1310086
180.12,-0.1891428,0.8854555,0.194441
181.62,-0.2122291,0.880724,0.1677867
184.24,-0.1665426,0.8744786,0.2034324
185.9,-0.240161,0.8892198,0.1801233
187.7,-0.163915,0.8935665,0.1704482
189.1801,-0.2020543,0.8782763,0.1698389
190.6,-0.2331776,0.9026328,0.1910069
192.2,-0.1901278,0.8773853,0.2041919
194.02,-0.1686192,0.9363933,0.1300559
195.5,-0.1901587,0.8865281,0.1732528
197.24,-0.2395495,0.8883727,0.1780435
198.6801,-0.1972765,0.8673794,0.1529154
200.2,-0.2460028,0.887076,0.1563773
201.5601,-0.1791767,0.9033297,0.1916537
