Time, X, Y, Z
25.66809,-0.2137743,0.86,0.1688712
28.09998,-0.1610544,0.86,0.170899
30.07996,-0.1506941,0.86,0.2078608
31.32007,-0.1733789,0.86,0.1700556
32.69995,-0.215387,0.86,0.1608634
33.92004,-0.1568637,0.86,0.1535196
35.38,-0.1786466,0.86,0.18922
36.64001,-0.199278,0.86,0.156051
37.90002,-0.2017368,0.86,0.1972563
39.30005,-0.1666093,0.86,0.2029124
40.56006,-0.197051,0.86,0.157594
41.88,-0.1501504,0.86,0.1441532
43.28003,-0.2099164,0.86,0.1872001
44.78003,-0.1674212,0.86,0.1788207
47.28003,-0.2042991,0.86,0.205984
49.21997,-0.1860262,0.86,0.1417608
72.68005,-0.2012195,0.86,0.2088351
74.19995,-0.2146892,0.86,0.169939
76.83997,-0.1800367,0.86,0.1935693
78.28003,-0.223827,0.86,0.1467017
79.78003,-0.1949612,0.86,0.179814
81.26001,-0.1683418,0.86,0.2098225
82.71997,-0.2022626,0.86,0.1546392
84.28003,-0.1529188,0.86,0.1641097
85.64001,-0.2202232,0.86,0.1658116
87.16003,-0.2158283,0.86,0.2039001
88.52002,-0.17067,0.86,0.1377046
89.95996,-0.1824708,0.86,0.1938488
91.45996,-0.200533,0.86,0.1515349
92.97998,-0.1812871,0.86,0.1889923
94.40002,-0.2212145,0.86,0.1557687
95.94006,-0.1572133,0.86,0.1441595
155.26,-0.2117677,0.86,0.1922057
156.66,-0.1603713,0.86,0.1946195
157.8199,-0.1732734,0.86,0.1353742
159,-0.1568304,0.86,0.1684435
160.1,-0.2142312,0.86,0.2030582
162.48,-0.2158114,0.86,0.1469943
163.9401,-0.1577235,0.86,0.1774808
165.2,-0.1861075,0.86,0.2045019
166.58,-0.1583319,0.86,0.1623875
168.1801,-0.1885934,0.86,0.1892119
170.1,-0.2152153,0.86,0.1651576
171.8,-0.1813575,0.86,0.2080278
173.66,-0.2124578,0.86,0.1665691
175.62,-0.1691048,0.86,0.1721138
177.3,-0.213573,0.86,0.1555926
180.12,-0.1747182,0.86,0.2016838
181.62,-0.1745318,0.86,0.157607
184.24,-0.1655328,0.86,0.2066366
185.9,-0.2055157,0.86,0.1701911
187.7,-0.1536453,0.86,0.1551355
189.1801,-0.1945636,0.86,0.1628096
190.6,-0.2212738,0.86,0.2098414
192.2,-0.1819091,0.86,0.1912824
194.02,-0.2066946,0.86,0.1563445
195.5,-0.1637211,0.86,0.1424338
197.24,-0.2240369,0.86,0.1760016
198.6801,-0.1828384,0.86,0.1451106
200.2,-0.2206616,0.86,0.146221
201.5601,-0.1887803,0.86,0.2076446
