Time, X, Y, Z
0,-0.1035574,0.8953536,0.03814989
0.00769043,-0.1036695,0.895211,0.03805143
0.01879883,-0.1040635,0.8952637,0.0378511
0.02001953,-0.104086,0.8952009,0.03777879
0.02978516,-0.104516,0.8949319,0.03734742
0.04003906,-0.1047096,0.8948703,0.0374625
0.04089355,-0.1047422,0.8948683,0.0374662
0.05212402,-0.105723,0.895046,0.03743029
0.06005859,-0.1060827,0.8953379,0.03691518
0.06311035,-0.1063024,0.8954968,0.03669372
0.07434082,-0.1063444,0.8960148,0.03701544
0.07995605,-0.1063374,0.8962798,0.03699291
0.08544922,-0.1063253,0.8965812,0.0369876
0.09667969,-0.1062033,0.8968248,0.03745307
0.09997559,-0.1061515,0.8968959,0.03753094
0.1077881,-0.106024,0.8970915,0.03778744
0.1199951,-0.1059344,0.8968949,0.03781797
0.1208496,-0.1059371,0.8968798,0.03780562
0.1296387,-0.1060891,0.8968177,0.03752583
0.1400146,-0.1062378,0.8969187,0.03726271
0.1403809,-0.106256,0.8969303,0.03722814
0.1514893,-0.1062569,0.8968711,0.03737751
0.1600342,-0.1061623,0.8967528,0.03736769
0.1627197,-0.106155,0.8967417,0.03739198
0.1740723,-0.1061511,0.8968424,0.03764205
0.1800537,-0.1061645,0.8969281,0.03778848
0.1848145,-0.1061777,0.8970066,0.03792727
0.1958008,-0.105889,0.897076,0.03768599
0.1999512,-0.1058686,0.8969249,0.0376789
0.2070313,-0.1058575,0.8965904,0.03766739
0.2181396,-0.1061683,0.89635,0.03756429
0.2199707,-0.106198,0.8963381,0.03760049
0.229126,-0.1063569,0.8962831,0.03781496
0.2399902,-0.1065304,0.8962412,0.03781082
0.2403564,-0.1065405,0.8962433,0.03781214
0.2513428,-0.1063665,0.8963383,0.03770791
0.2600098,-0.1065256,0.8966627,0.03784044
0.2628174,-0.106605,0.8968062,0.03790843
0.2766113,-0.1067052,0.8970947,0.03802282
0.2800293,-0.106664,0.8970232,0.03805594
0.284668,-0.1065954,0.8970265,0.0381351
0.2950439,-0.1064647,0.8968952,0.0382361
0.3000488,-0.1062491,0.8968482,0.03825636
0.3061523,-0.1058533,0.8968001,0.03826018
0.3172607,-0.1055759,0.8967441,0.03831165
0.3200684,-0.105539,0.8967196,0.03832704
0.3283691,-0.1054401,0.8965372,0.03831984
0.3394775,-0.1054422,0.896603,0.03822947
0.3399658,-0.1054431,0.8966073,0.0382255
0.350708,-0.1052303,0.8963299,0.03804621
0.3599854,-0.1052379,0.8956983,0.03783908
0.3616943,-0.1052398,0.8955625,0.03778423
0.3726807,-0.1052444,0.895049,0.03753558
0.3800049,-0.1051857,0.894751,0.03749587
0.3839111,-0.1051344,0.8945625,0.03747115
0.3950195,-0.1051592,0.8946855,0.0374828
0.4000244,-0.1051729,0.8948109,0.0374849
0.4061279,-0.1052046,0.8950474,0.03748445
0.4174805,-0.1051869,0.895374,0.03761885
0.4200439,-0.1051327,0.8954638,0.03766915
0.4295654,-0.1050698,0.895664,0.03780158
0.4394531,-0.1049042,0.8957885,0.03805286
0.4400635,-0.104895,0.8957955,0.03806786
0.4506836,-0.1048638,0.89564,0.03826866
0.4599609,-0.104846,0.8952341,0.03800923
0.4616699,-0.1048458,0.8951625,0.03795837
0.4727783,-0.1049233,0.8943962,0.03726009
0.4799805,-0.104964,0.8938484,0.03672752
0.4838867,-0.1049985,0.8935077,0.03637293
0.4949951,-0.104953,0.892868,0.035652
0.5,-0.1048965,0.8926776,0.03536591
0.5062256,-0.1047931,0.8925993,0.03504182
0.5172119,-0.104753,0.8928417,0.03493597
0.5200195,-0.1047428,0.8929303,0.03494908
0.5284424,-0.1047531,0.893392,0.03524585
0.5393066,-0.1050885,0.8937759,0.03549843
0.5400391,-0.105112,0.8937999,0.03551933
0.5505371,-0.1053394,0.8938006,0.03540157
0.5600586,-0.1056944,0.8935287,0.03511833
0.5615234,-0.1057536,0.8934802,0.0350761
0.572876,-0.1061976,0.8932928,0.03501759
0.5799561,-0.1066239,0.8933712,0.03503993
0.5854492,-0.1070693,0.8935385,0.03513405
0.5949707,-0.1074606,0.8932216,0.03521907
0.5999756,-0.1076927,0.8929953,0.03510071
0.6062012,-0.1080748,0.8927037,0.03481986
0.6169434,-0.1089363,0.8933246,0.03490667
0.6199951,-0.1092005,0.8935298,0.03491195
0.6281738,-0.1094905,0.8935114,0.03428009
0.6396484,-0.1101333,0.8939281,0.03361769
0.6400146,-0.1101566,0.89394,0.03359014
