Time, X, Y, Z
0,0.1211955,0.8917559,0.04184687
0.00769043,0.1210101,0.8916677,0.04179683
0.01879883,0.120394,0.8918191,0.04181996
0.02001953,0.1203767,0.8918523,0.04183325
0.02978516,0.1198709,0.8920665,0.04197645
0.04003906,0.1192765,0.8921214,0.04208483
0.04089355,0.1192196,0.8921263,0.0420991
0.05212402,0.1185724,0.8918955,0.04209498
0.06005859,0.1182151,0.8917633,0.04211362
0.06311035,0.1180065,0.891711,0.0421496
0.07434082,0.1176473,0.8920099,0.04232985
0.07995605,0.1175155,0.8921052,0.04234068
0.08544922,0.1173719,0.8922265,0.04236871
0.09667969,0.1173287,0.892586,0.04235086
0.09997559,0.1173498,0.8927127,0.04241303
0.1077881,0.1173816,0.8930469,0.04255724
0.1199951,0.1172732,0.8932745,0.04280066
0.1208496,0.1172552,0.8932877,0.04280284
0.1296387,0.1170153,0.8932101,0.04279175
0.1400146,0.1170491,0.8931752,0.04273334
0.1403809,0.1170535,0.8931705,0.04272541
0.1514893,0.1172981,0.8930882,0.04294959
0.1600342,0.117286,0.8933026,0.04310614
0.1627197,0.1172442,0.8934363,0.04322344
0.1740723,0.1170231,0.8938742,0.04362935
0.1800537,0.1170672,0.894128,0.04370774
0.1848145,0.1171062,0.8943679,0.04378644
0.1958008,0.1172394,0.8944731,0.04394929
0.1999512,0.1172659,0.8945456,0.04405323
0.2070313,0.1173005,0.8946816,0.04425128
0.2181396,0.1173932,0.8943665,0.04436332
0.2199707,0.1173871,0.8943805,0.04439692
0.229126,0.1173465,0.8944683,0.04458889
0.2399902,0.1173214,0.8945944,0.04476942
0.2403564,0.1173162,0.8946023,0.04477762
0.2513428,0.1169649,0.8948336,0.04504403
0.2600098,0.1170336,0.8949434,0.04497902
0.2628174,0.1170694,0.8949873,0.04494703
0.2766113,0.1171439,0.8951226,0.04500279
0.2800293,0.1171463,0.8950933,0.04501036
0.284668,0.1172079,0.8951233,0.04504782
0.2950439,0.1175127,0.8952829,0.04530984
0.3000488,0.1177361,0.8952428,0.04549617
0.3061523,0.1180834,0.8951001,0.04580091
0.3172607,0.1181498,0.8955544,0.04652125
0.3200684,0.1181471,0.8956632,0.04667811
0.3283691,0.1181979,0.8958673,0.04690859
0.3394775,0.1185772,0.8953773,0.04671626
0.3399658,0.1185963,0.8953514,0.04670623
0.350708,0.1188484,0.8947188,0.04634807
0.3599854,0.1188739,0.8941894,0.04619367
0.3616943,0.1188791,0.8940766,0.04614928
0.3726807,0.1188907,0.893625,0.04574133
0.3800049,0.1189897,0.8935449,0.04563533
0.3839111,0.1190751,0.8935456,0.04559343
0.3950195,0.1192121,0.8934059,0.04544021
0.4000244,0.119352,0.8933538,0.04539053
0.4061279,0.1195941,0.8933253,0.04537573
0.4174805,0.1197704,0.8928176,0.04522471
0.4200439,0.1198671,0.8927539,0.04519658
0.4295654,0.1201589,0.8926025,0.04515785
0.4394531,0.1205516,0.8924315,0.0453286
0.4400635,0.1205762,0.8924171,0.04533754
0.4506836,0.1206382,0.8920587,0.04521842
0.4599609,0.1208003,0.8916218,0.0448885
0.4616699,0.1208298,0.8915467,0.04483086
0.4727783,0.1209576,0.890991,0.04422769
0.4799805,0.1210503,0.8905982,0.04376446
0.4838867,0.1211004,0.89035,0.04345776
