Time, X, Y, Z
16.47534,-0.1505818,0.9154508,0.1809227
21.06,-0.2503095,0.905678,0.1441049
23.16003,-0.08927497,0.8792724,-0.01528751
28.04004,-0.21171,0.8808902,0.2043625
32.85999,-0.1771613,0.9122666,0.1897502
36.73999,-0.2351171,0.9256123,0.1567776
39.40002,-0.2117837,0.9263577,0.1703373
41.97998,-0.1325413,0.9005905,0.1516589
44.72003,-0.1799161,0.907612,0.1491098
46.82776,-0.2136914,0.9057343,0.1706828
49.40002,-0.2149655,0.9225623,0.1553401
51.62,-0.187418,0.9079823,0.1813256
53.90002,-0.2137029,0.8946671,0.1722009
55.58002,-0.2155759,0.901821,0.1223383
58.08002,-0.2319844,0.9225689,0.1502635
60.29999,-0.1961675,0.8902929,0.1738932
61.90002,-0.2347197,0.9010871,0.1262088
64.17999,-0.1770217,0.9274726,0.1684854
66.17999,-0.1922561,0.9288024,0.09464668
68.62,-0.2009291,0.9255682,0.163758
72.52679,-0.2088375,0.9187905,0.1539505
74.82001,-0.09696223,1.027211,0.08775785
76.90002,-0.1916411,0.9019479,0.1502635
101.82,-0.2245863,0.9006227,0.1920463
103.1673,-0.04612197,0.9119446,0.03363695
114.9,-0.1660866,0.8915427,0.06746783
116.84,-0.149417,0.901594,0.1209848
126.28,-0.1498264,0.9460971,0.1381931
129.22,-0.1528068,0.8846614,0.1374089
131.2401,-0.1852124,0.8718603,0.1526363
134.52,-0.1485639,0.8931046,0.1218976
136.7,-0.1922349,0.8982151,0.1636474
138.64,-0.1966568,0.9192912,0.1722193
141.04,-0.2111707,0.9013917,0.0959648
143.1201,-0.1416622,0.8967102,0.1834261
148.54,-0.1835784,0.9008062,0.1031733
150.94,-0.1267115,0.8586686,0.07597348
152.7,-0.1953025,0.9090149,0.1104751
154.98,-0.1600468,0.8571849,0.184753
180.7,-0.2008821,0.8781326,0.1343469
182.44,-0.1969881,0.8917422,0.1730489
183.96,-0.1736878,0.8750358,0.1144357
185.54,-0.194789,0.901759,0.11411
187.3801,-0.1381355,0.8898548,0.07566836
191.56,-0.1639762,0.8931067,0.09957815
193.5945,-0.1784332,0.9061681,0.1799295
197.9366,-0.2028723,0.9123213,0.1538861
201.4245,-0.1717149,0.9068971,0.127422
205.3,-0.07677165,0.9156784,0.08231879
207.6104,-0.2471636,0.8970697,0.1297708
212.3,-0.2126499,0.9073253,0.1541121
214.84,-0.2237443,0.8743333,0.1518961
221.1,-0.1866792,0.8804654,0.1635337
225.08,-0.1336599,0.8987418,0.08796814
226.82,-0.1396924,0.9058702,0.1917468
228.82,-0.185171,0.8906839,0.09920791
235.16,-0.1567355,0.8668395,0.1584112
238.72,-0.1711596,0.8911196,0.1334424
241.14,-0.1135182,0.9189688,0.1335817
260.8,-0.2560669,0.9147305,0.1366579
263.78,-0.1510468,0.8681933,0.1071509
265.84,-0.1799943,0.8795192,0.1876267
267.82,-0.2123725,0.9067911,0.1793406
271.56,-0.1926861,0.8635224,0.1816139
274.3799,-0.1010657,0.8909637,0.09784198
278.84,-0.2166947,0.8752753,0.1941151
281.56,-0.149063,0.86292,0.1515725
284.0001,-0.1873835,0.8767368,0.1700949
286.7401,-0.1100412,0.8861768,0.07769738
289.16,-0.1875711,0.8818964,0.2029524
292.1,-0.1144111,0.8852912,0.06701485
294.1201,-0.2075322,0.8801461,0.1557227
296.66,-0.2033994,0.8969637,0.1545009
