Time, X, Y, Z
0,-0.09676559,1.044707,0.02281438
0.002075195,-0.09674463,1.044707,0.02281252
0.01318359,-0.09688091,1.044732,0.02281654
0.02001953,-0.09685513,1.044832,0.02267514
0.02423096,-0.09683607,1.044909,0.02256523
0.03533936,-0.09681299,1.044903,0.02245411
0.04003906,-0.09677384,1.044834,0.02245773
0.04644775,-0.09670701,1.044718,0.02246317
0.05761719,-0.09669104,1.044717,0.02246059
0.05999756,-0.09670376,1.044706,0.02246121
0.06866455,-0.09676389,1.044639,0.02245484
0.07977295,-0.09674589,1.04472,0.022516
0.08001709,-0.09674545,1.044722,0.0225172
0.09088135,-0.0967273,1.044759,0.02246451
0.1000366,-0.09668837,1.044775,0.02237715
0.1021118,-0.09668016,1.044781,0.02235959
0.1151733,-0.09673011,1.044729,0.02238262
0.1199951,-0.09677228,1.044672,0.02242547
0.1240845,-0.09681196,1.044615,0.0224576
0.1353149,-0.09698424,1.044537,0.02258763
0.1400146,-0.09701361,1.044468,0.0225874
0.1463013,-0.09705386,1.044354,0.02257679
0.1574097,-0.0971401,1.044322,0.02243581
0.1600342,-0.09714127,1.044324,0.02244665
0.1685791,-0.09712246,1.044341,0.02254103
0.1797485,-0.09712299,1.044308,0.02259338
0.1799927,-0.09712292,1.044307,0.02259465
0.190979,-0.0971248,1.044402,0.02258213
0.2000122,-0.09722514,1.044387,0.02279183
0.2021484,-0.09724594,1.044386,0.02283882
0.2130127,-0.09714916,1.04437,0.02269797
0.2200317,-0.09727444,1.044274,0.02278066
0.2241821,-0.09738556,1.044194,0.02285653
0.2351685,-0.09727731,1.044133,0.02288567
0.2399902,-0.09725851,1.044151,0.02288675
0.2463379,-0.09723851,1.0442,0.0228823
0.2575073,-0.09734973,1.044216,0.02284463
0.2600098,-0.097341,1.04422,0.02280226
0.2697754,-0.09725504,1.044245,0.02257417
0.2796631,-0.09730603,1.04415,0.02259517
0.2800293,-0.09730801,1.044147,0.02259539
0.2908325,-0.09743919,1.044125,0.02255949
0.2999878,-0.09732544,1.044186,0.02259661
0.3019409,-0.09730157,1.044198,0.02260439
0.3130493,-0.09738318,1.044193,0.02267647
0.3200073,-0.09746307,1.044209,0.02280292
0.3242188,-0.09752528,1.044225,0.02290939
0.3353271,-0.09751215,1.044377,0.02276321
0.3400269,-0.09748902,1.044394,0.02268024
0.3464966,-0.09743978,1.044402,0.02255806
0.357666,-0.09740545,1.044442,0.02250387
0.3599854,-0.0974175,1.044452,0.02248649
0.3687134,-0.09754171,1.044499,0.02241257
0.3798218,-0.09758569,1.044508,0.02239017
0.3800049,-0.09758648,1.044508,0.0223899
0.3909302,-0.09763642,1.044432,0.02241838
0.4000244,-0.09773322,1.044406,0.0224845
0.4019775,-0.09775415,1.0444,0.0225009
0.413269,-0.09789279,1.044376,0.02258685
0.4199829,-0.09792669,1.044434,0.02256487
0.4257202,-0.0979343,1.044482,0.02251375
0.4353027,-0.09813762,1.044349,0.02253661
0.4400024,-0.0982497,1.044296,0.02255672
0.4466553,-0.09839833,1.044235,0.02260211
0.4575806,-0.09845793,1.044189,0.02257568
0.460022,-0.09846894,1.044189,0.02256975
0.4686279,-0.09851373,1.044145,0.02249891
0.4799805,-0.09867535,1.044134,0.0224621
0.4799805,-0.09867535,1.044134,0.0224621
0.4909668,-0.09871393,1.044102,0.02238318
0.5,-0.09887481,1.044063,0.02222298
0.5025024,-0.09892162,1.044051,0.02217937
0.5132446,-0.09901024,1.044054,0.02208628
0.5200195,-0.09903374,1.044086,0.02203926
0.524353,-0.09904303,1.044127,0.02201542
0.5354004,-0.09916329,1.044185,0.02188762
0.5400391,-0.09917363,1.044174,0.02174944
0.5466919,-0.09916852,1.044156,0.0214643
0.5578613,-0.09939957,1.044221,0.02129647
0.5599976,-0.09944107,1.044194,0.02125525
0.5689697,-0.09959695,1.044111,0.02110216
0.5800171,-0.09998066,1.044081,0.02079317
0.5827637,-0.1000728,1.044027,0.02070649
0.5909424,-0.1002191,1.04407,0.02054165
0.6000366,-0.100549,1.044087,0.02040884
0.6011963,-0.1006338,1.044098,0.02039108
0.6123047,-0.100959,1.044684,0.02019297
0.6199951,-0.1012832,1.04486,0.01997235
0.623291,-0.1015441,1.04472,0.01981919
0.6345215,-0.1021294,1.044731,0.01954545
0.6400146,-0.1025029,1.044796,0.01950879
0.645752,-0.1030064,1.044785,0.01960957
0.6566772,-0.1036469,1.045189,0.01955709
0.6600342,-0.1038424,1.045379,0.01950632
0.6678467,-0.1043437,1.045564,0.01930678
0.678894,-0.1049167,1.04615,0.01930901
0.6799927,-0.1049839,1.046228,0.01931465
0.6898193,-0.1056524,1.046766,0.019205
0.7000122,-0.1062166,1.047179,0.0192762
0.7010498,-0.1062669,1.047216,0.01928952
0.7121582,-0.1068963,1.047454,0.01911047
0.7200317,-0.1073752,1.047624,0.01919881
0.7232666,-0.1076173,1.04772,0.0193305
0.7362671,-0.1084445,1.047953,0.01944551
0.7399902,-0.1087376,1.048015,0.0194657
0.7454224,-0.1092359,1.048103,0.01949187
0.7565918,-0.1097409,1.048275,0.01957576
0.7600098,-0.109839,1.04841,0.0196258
